CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
41638850,QUECHUA NOSTRA,Manhattan,1634,LEXINGTON AVENUE,10029,2124100707,Peruvian,2024-09-16,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2024-09-16,2025-09-18,Cycle Inspection / Initial Inspection,40.790406452253,-73.947627833993,111,08,016600,1051912,1016310016,MN33,
50050922,LETICIAS RESTAURANT,Queens,4032,NATIONAL ST,11368,7185778180,Latin American,2024-10-02,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,38,,,2025-09-18,Cycle Inspection / Initial Inspection,40.748964940826,-73.863033840867,404,21,040500,4048541,4019740020,QN26,
50111814,CAFFE VALENCIA,Brooklyn,255,BERRY STREET,11249,7188694459,Latin American,2024-09-30,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12,A,2024-09-30,2025-09-18,Cycle Inspection / Re-inspection,40.714895811137,-73.96289563947,301,34,055100,3413711,3023920008,BK73,
40545555,PC'S BAR AND GRILL,Brooklyn,7215,5 AVENUE,11209,7184912845,American,2024-01-29,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,2024-01-29,2025-09-18,Cycle Inspection / Initial Inspection,40.631502458423,-74.021796595907,310,43,013000,3147454,3059100004,BK31,
50120540,BOCCA DI BACCO,Manhattan,830,9 AVENUE,10019,2122658828,Italian,2023-03-21,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,24,B,2023-03-21,2025-09-18,Pre-permit (Operational) / Re-inspection,40.766304983799,-73.98687380995,104,03,013900,1025421,1010450061,MN15,
50054222,CHEZ OSKAR,Brooklyn,373,DECATUR STREET,11233,9179304302,French,2022-03-01,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2022-03-01,2025-09-18,Cycle Inspection / Re-inspection,40.681923536304,-73.929303787234,303,36,029700,3047163,3016760047,BK61,
41242270,COLGATE PALMOLIVE,Manhattan,300,PARK AVENUE,10022,2123102263,American,2024-06-26,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,7,A,2024-06-26,2025-09-18,Cycle Inspection / Initial Inspection,40.756795007987,-73.974271156741,105,04,010200,1081146,1012850036,MN17,
50073613,LE REVEIL COFFEE SHOP,Manhattan,1322,2 AVENUE,10021,3472169453,Coffee/Tea,2024-06-06,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,30,,,2025-09-18,Cycle Inspection / Initial Inspection,40.76726473227,-73.959469232044,108,05,012600,1044833,1014440051,MN31,
50124440,NEW CHINATOWN,Manhattan,1650,3 AVENUE,10128,2129873500,Chinese,2025-04-16,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,47,Z,2025-04-16,2025-09-18,Cycle Inspection / Re-inspection,40.782890072184,-73.951017244509,108,05,015801,1048353,1015210034,MN40,
50132762,MIKADO,Queens,11609,METROPOLITAN AVE,11418,7185590088,Japanese,2023-05-18,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,35,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.707400728788,-73.835736242986,409,29,077500,4079425,4033240002,QN60,
50118356,ORIGINAL MIKE'S PIZZA,Brooklyn,3324,FULTON STREET,11208,7182777494,Italian,2024-06-13,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,33,,,2025-09-18,Cycle Inspection / Initial Inspection,40.683433904922,-73.872900373953,305,37,117800,3092734,3041460031,BK83,
50101082,DANTE WEST VILLAGE,Manhattan,551,HUDSON STREET,10014,3477075656,Italian,2025-09-02,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,49,,,2025-09-18,Cycle Inspection / Initial Inspection,40.735234883433,-74.006062067345,102,03,007500,1011886,1006330058,MN23,
50135301,RONGWANG RESTAURANT,Queens,136-51,ROOSEVELT AVENUE,11354,3472967110,Chinese,2024-12-23,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,2025-09-18,Administrative Miscellaneous / Initial Inspection,40.759996277067,-73.82842267792,407,20,087100,4112511,4049800064,QN22,
50151013,THE VINTAGE TEA,Staten Island,23,NELSON AVENUE,10308,7185684177,Sandwiches,2024-06-03,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,2025-09-18,Administrative Miscellaneous / Initial Inspection,40.54937182635,-74.150682390109,503,51,013203,5065708,5051430008,SI54,
50108083,GYRO UNO,Queens,2801,STEINWAY ST,11103,7182744870,Mediterranean,2025-02-14,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18,B,2025-02-14,2025-09-18,Cycle Inspection / Re-inspection,40.765233162612,-73.913883318279,401,22,014700,4010790,4006630020,QN70,
41693205,M & O BAGELS,Queens,9219,101 AVENUE,11416,7183233100,American,2023-12-26,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,12,A,2023-12-26,2025-09-18,Cycle Inspection / Initial Inspection,40.683952391992,-73.847883782115,409,32,003800,4188541,4090660030,QN53,
50152863,DI' TASTE,Brooklyn,1695,PRESIDENT STREET,11213,9178318679,Caribbean,2024-09-30,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,21,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.666984538886,-73.930653409317,309,41,034900,3037787,3014030001,BK61,
40423819,ALFONSO'S PASTRY SHOPPE,Staten Island,1899,VICTORY BOULEVARD,10314,7182738802,Bakery Products/Desserts,2022-02-09,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,42,,,2025-09-18,Cycle Inspection / Initial Inspection,40.612741882335,-74.127216633526,501,50,015100,5011065,5003780185,SI07,
41026496,LITTLE RUBY'S,Manhattan,219,MULBERRY STREET,10012,2129255755,American,2023-01-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,29,,,2025-09-18,Cycle Inspection / Initial Inspection,40.722301642751,-73.996139792595,102,01,004300,1007532,1004950038,MN24,
50061111,PIZZA STOP,Manhattan,2166,FREDERICK DOUGLASS BOULEVARD,,2122224000,Pizza,2022-02-03,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,19,B,2022-02-03,2025-09-18,Cycle Inspection / Re-inspection,0.0,0.0,,,,,1,,
50151083,NO FILTER COFFEE,Brooklyn,175,PROSPECT AVENUE,11215,2254416263,Coffee/Tea,2024-07-23,Violations were cited in the following area(s).,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,Critical,33,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.665800364669,-73.993252183664,307,39,011700,3024085,3010510039,BK37,
50011004,BRAVO AFRICAN RESTAURANT,Bronx,1473,WESTCHESTER AVENUE,10472,9292631433,African,2024-10-21,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,51,C,2024-10-21,2025-09-18,Cycle Inspection / Re-inspection,40.828407547546,-73.88136692926,209,17,005400,2024999,2037700030,BX08,
50017248,SHORE HAVEN DINER,Bronx,622,CASTLE HILL AVENUE,10473,7188240094,American,2023-04-03,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,2023-04-03,2025-09-18,Cycle Inspection / Re-inspection,40.819436994639,-73.848114837406,209,18,009000,2021926,2035730025,BX09,
50056175,SUNDAY IN BROOKLYN,Brooklyn,348,WYTHE AVENUE,11249,3472226722,American,2024-06-20,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,41,,,2025-09-18,Cycle Inspection / Initial Inspection,40.71416368276,-73.965208282135,301,33,055100,3321284,3024150026,BK73,
41311641,ROLLIN GREENS,Queens,24777,JAMAICA AVENUE,11426,7183433313,American,2023-05-16,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,38,,,2025-09-18,Cycle Inspection / Initial Inspection,40.725844137994,-73.719019145174,413,23,161700,4176965,4086620032,QN43,
41543722,DOMINO'S,Manhattan,736,WEST  181 STREET,10033,2127813700,Pizza,2024-01-05,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,17,,,2025-09-18,Cycle Inspection / Initial Inspection,40.85067595321,-73.937527825143,112,10,026500,1064276,1021760115,MN36,
50172151,NENA SWEETS CAKES,Queens,620,GRANDVIEW AVENUE,11385,7184174198,Coffee/Tea,2025-07-08,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,39,,,2025-09-18,Pre-permit (Non-operational) / Initial Inspection,40.708225777419,-73.90520328485,405,30,058900,4080691,4033850049,QN20,
50070157,A-POU'S TASTE,Brooklyn,963,GRAND STREET,11211,7183888111,Asian/Asian Fusion,2024-05-22,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,49,,,2025-09-18,Cycle Inspection / Initial Inspection,40.71307791197,-73.936026846517,301,34,048100,3070478,3029240044,BK90,
41579661,DUNKIN,Bronx,3421,EAST TREMONT AVENUE,10465,7188236660,Donuts,2023-07-14,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,13,A,2023-07-14,2025-09-18,Cycle Inspection / Re-inspection,40.832660165293,-73.827931020558,210,13,016400,2076429,2054190114,BX52,
41021528,SUBWAY,Staten Island,1724,VICTORY BOULEVARD,10314,7187277444,Sandwiches,2022-01-21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,,,2025-09-18,Cycle Inspection / Initial Inspection,40.613168400692,-74.121162901951,501,49,016901,5017876,5007070016,SI07,
50083912,THE SHANNON POT 2,Queens,1050,44TH DR,11101,9173961828,Irish,2023-05-23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,2023-05-23,2025-09-18,Cycle Inspection / Initial Inspection,40.748717671596,-73.950620201915,402,26,000700,4000429,4000510024,QN31,
50091299,PHAYUL RESTAURANT,Queens,3759,74TH ST,11372,7184339688,Asian/Asian Fusion,2022-02-24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,,,2025-09-18,Cycle Inspection / Initial Inspection,40.747554444998,-73.891559049176,403,25,028900,4029817,4012850007,QN28,
41708809,HL SPRING GARDEN,Brooklyn,8706,5 AVENUE,11209,7189217171,Chinese,2024-08-28,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,20,B,2024-08-28,2025-09-18,Cycle Inspection / Re-inspection,40.620744573454,-74.026868513243,310,43,016000,3153758,3060500035,BK31,
41456053,LA ABUNDANCIA,Queens,7502,ROOSEVELT AVENUE,11372,7182055021,Latin American,2024-03-29,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,10,A,2024-03-29,2025-09-18,Cycle Inspection / Initial Inspection,40.746943952474,-73.890343809394,404,25,026700,4036732,4014860025,QN29,
50164438,KENNEDY CHICKEN AND GRILL,Bronx,919,EAST  174 STREET,10460,7188600465,Chicken,2025-04-21,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,8,A,2025-04-21,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.837326009403,-73.8876211421,203,17,016100,2010682,2029910001,BX75,
50091775,THE JUICE BOX,Brooklyn,852,BUSHWICK AVENUE,11221,7184847078,"Juice, Smoothies, Fruit Salads",2025-04-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,18,Z,2025-04-10,2025-09-18,Cycle Inspection / Re-inspection,40.694196479338,-73.926614963995,304,34,039300,3074019,3032520034,BK78,
41717500,JOE'S PIZZA,Manhattan,150,EAST   14 STREET,10003,2123889474,Pizza,2024-04-09,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,24,,,2025-09-18,Cycle Inspection / Initial Inspection,40.733656184932,-73.988081826031,103,02,004200,1080125,1005590032,MN22,
50087861,ELENA'S 43 RESTAURANT,Queens,8948,FRANCIS LEWIS BLVD,11427,7184684500,Latin American,2025-06-09,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,30,,,2025-09-18,Cycle Inspection / Initial Inspection,40.718859307966,-73.757807682148,412,23,048400,4223433,4104920104,QN07,
41379435,MI CASA BAKERY,Bronx,18,EAST  200 STREET,10468,7187337895,Bakery Products/Desserts,2023-05-03,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,50,,,2025-09-18,Cycle Inspection / Initial Inspection,40.872989601915,-73.888923822219,207,14,040701,2017612,2033200011,BX28,
41403222,YOLIE'S BAR & RESTAURANT,Brooklyn,5722,CLARENDON ROAD,11203,3475292510,Creole,2022-12-14,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches in facility's food or non-food area.,Critical,45,,,2025-09-18,Cycle Inspection / Second Compliance Inspection,40.644856426709,-73.922561485745,317,45,094600,3393794,3079150046,BK96,
50001350,NOMURA CAFE (5TH FL NOMURA CAFE),Manhattan,309,WEST   49 STREET,10019,2124368092,American,2024-07-19,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,11,A,2024-07-19,2025-09-18,Cycle Inspection / Initial Inspection,40.76187496657,-73.987062397117,104,03,012700,1076203,1010400029,MN15,
50106520,HADRAMOUT,Brooklyn,172,ATLANTIC AVENUE,11201,3472543607,Middle Eastern,2024-09-12,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,86,,,2025-09-18,Cycle Inspection / Re-inspection,40.69002852246,-73.993657190998,306,39,004500,3002977,3002860012,BK33,
50112184,EL CHILTEPIN INC,Bronx,2148,WESTCHESTER AVENUE,10462,2039187475,Mexican,2025-01-29,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,,,2025-09-18,Cycle Inspection / Initial Inspection,40.834053508301,-73.852909322748,209,18,009200,2026600,2038140034,BX59,
50032753,AGAVI ORGANIC JUICEBAR,Manhattan,72,EAST    7 STREET,10003,2123908042,"Juice, Smoothies, Fruit Salads",2022-09-20,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,2022-09-20,2025-09-18,Cycle Inspection / Re-inspection,40.727389741423,-73.986766050405,103,02,003800,1006277,1004480020,MN22,
50061235,METRO FEAST,Brooklyn,340,LIVINGSTON STREET,11217,3476893295,Fusion,2023-06-27,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,13,A,2023-06-27,2025-09-18,Cycle Inspection / Initial Inspection,40.687834074355,-73.981152491429,302,33,003700,3000522,3001670003,BK38,
50083431,PRIVATE ROOM NYC,Queens,2279,STEINWAY ST,11105,9177450057,Caribbean,2022-10-22,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,26,,,2025-09-18,Cycle Inspection / Initial Inspection,40.771590607643,-73.90757861032,401,22,011900,4015365,4007950001,QN72,
50060293,AOC EAST,Manhattan,1590,1 AVENUE,10028,6469985749,French,2024-05-08,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,40,,,2025-09-18,Cycle Inspection / Initial Inspection,40.774675000757,-73.950965542193,108,05,013600,1050444,1015620046,MN32,
50132459,NEW RIO FRIED CHICKEN & PIZZA,Queens,17933,HILLSIDE AVE,11432,6462362196,Chicken,2023-09-18,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,25,B,2023-09-18,2025-09-18,Pre-permit (Operational) / Re-inspection,40.712767538728,-73.783321736755,408,24,046600,4212923,4099370052,QN06,
50088411,VAN LEEUWEN ICE CREAM,Manhattan,1625,2 AVENUE,10028,6465486468,Frozen Desserts,2023-03-23,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,10,A,2023-03-23,2025-09-18,Cycle Inspection / Initial Inspection,40.776802845412,-73.952534595567,108,05,014601,1048739,1015300024,MN32,
50073108,AREPALICIOUS,Queens,13720,CROSSBAY BLVD,11417,7184806049,Spanish,2023-02-02,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,24,,,2025-09-18,Cycle Inspection / Compliance Inspection,40.671360998626,-73.843006327716,410,32,005800,4458765,4114090010,QN56,
50079571,4 CAMINOS MEXICAN RESTAURANT & BAR,Queens,6722,FRESH POND RD,11385,7184188853,Mexican,2024-06-05,Violations were cited in the following area(s).,20-04,"“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",Not Critical,,,,2025-09-18,Administrative Miscellaneous / Initial Inspection,40.705248259532,-73.896334939332,405,30,058500,4085090,4035320030,QN20,
40483695,MARQUIS THEATER,Manhattan,1535,BROADWAY,10036,2123544624,American,2024-05-07,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,2024-05-07,2025-09-18,Cycle Inspection / Initial Inspection,40.75825992874,-73.985467647469,105,03,011900,1024727,1010170029,MN17,
50106209,THE COMMERCE INN,Manhattan,50,COMMERCE STREET,10014,6464796864,American,2024-07-25,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2024-07-25,2025-09-18,Cycle Inspection / Initial Inspection,40.731381259221,-74.005560180629,102,03,006700,1009822,1005840020,MN23,
50091775,THE JUICE BOX,Brooklyn,852,BUSHWICK AVENUE,11221,7184847078,"Juice, Smoothies, Fruit Salads",2022-04-28,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,20,,,2025-09-18,Cycle Inspection / Initial Inspection,40.694196479338,-73.926614963995,304,34,039300,3074019,3032520034,BK78,
50118533,JEFFREY KATZ,Manhattan,85,W 10TH ST,10011,2123393970,,1900-01-01,,,,Not Applicable,,,,2025-09-18,,40.734526878583,-73.998094799158,102,02,006300,,1,MN23,
50111176,WENDY'S,Brooklyn,1602,SHORE PARKWAY,11214,5613016257,American,2023-10-06,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2023-10-06,2025-09-18,Cycle Inspection / Initial Inspection,40.595646658947,-74.000172838449,311,47,029400,3170080,3064910050,BK28,
41290491,NARUTO RAMEN,Manhattan,1596,3 AVENUE,10128,2122897803,Japanese,2024-12-05,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,28,,,2025-09-18,Cycle Inspection / Initial Inspection,40.781122998858,-73.952318462745,108,05,014802,1048124,1015180037,MN40,
50148055,HASSY JUICE BAR,Manhattan,2265,1 AVENUE,10035,5165905493,"Juice, Smoothies, Fruit Salads",2024-08-02,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,Z,2024-08-02,2025-09-18,Pre-permit (Operational) / Re-inspection,40.796240965995,-73.935245951763,111,08,018800,1052961,1016880025,MN34,
50168475,YANGDONGHIA NEW YORK INC,Queens,4296,MAIN ST,11355,9175631212,Chinese,2025-05-05,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,33,N,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.752649147549,-73.826997943764,407,20,079702,4115453,4051240043,QN22,
50036199,NOMO SOHO,Manhattan,9,CROSBY STREET,10013,6462186400,Mediterranean,2025-06-23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,67,,,2025-09-18,Cycle Inspection / Initial Inspection,40.719919249309,-74.000288603281,102,01,004500,1088790,1002330002,MN24,
50172201,JEJUDO SEAFOOD RESTAURANT,Queens,14922,41ST AVE,11355,3477324857,Other,2025-06-30,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,47,N,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.762245592483,-73.815154272636,407,20,116700,4114864,4050540032,QN51,
41521360,PARIS BAGUETTE,Manhattan,6,WEST   32 STREET,10001,2122440404,Bakery Products/Desserts,2024-06-11,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,56,,,2025-09-18,Cycle Inspection / Initial Inspection,40.74737428198,-73.986051085599,105,03,007600,1015824,1008330049,MN17,
50128348,NEW YORK BAN JUM,Queens,22134,HORACE HARDING EXPY,11364,7184285959,Korean,2024-07-15,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,61,,,2025-09-18,Cycle Inspection / Initial Inspection,40.74935440461,-73.755523676819,411,23,137700,4163157,4076440033,QN42,
41671751,GULSHAN TERRACE,Queens,5915,37 AVENUE,11377,7184574577,Bangladeshi,2025-09-15,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,61,Z,2025-09-15,2025-09-18,Cycle Inspection / Re-inspection,40.749875966909,-73.903223708714,402,26,025900,4027374,4011980001,QN63,
50142097,SINGLISH,Manhattan,17,EAST   13 STREET,10003,6466092633,Asian/Asian Fusion,2025-03-18,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,42,,,2025-09-18,Pre-permit (Operational) / Initial Inspection,40.734921938187,-73.993187423102,102,02,006100,1009401,1005710030,MN23,
50097377,BLOOM CAFE,Staten Island,1203,BAY STREET,10305,9293082863,American,2025-07-22,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,7,A,2025-07-22,2025-09-18,Cycle Inspection / Initial Inspection,40.613938099334,-74.066013640576,501,49,000600,5042172,5028300011,SI37,
50061233,ARTICHOKE BASILLE'S PIZZA,Manhattan,321,EAST   14 STREET,10003,2122282004,Pizza,2022-08-24,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20,,,2025-09-18,Cycle Inspection / Initial Inspection,40.731995117718,-73.984087849803,106,02,004800,1020396,1009210013,MN21,
41722445,MIDNIGHTS,Brooklyn,149,NORTH    6 STREET,11249,9292958176,American,2024-03-27,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,2024-03-27,2025-09-18,Cycle Inspection / Re-inspection,40.717433236749,-73.958558119055,301,34,055300,3062085,3023270029,BK73,
