_id,APPLICATION#,APPLICATION_TYPE,DATE_SUBMITTED,DESCRIPTION,HEARING_DATE,POSTAL,REFERENCE_FILE#,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,X,Y
861074,11 235789 STE 30 OZ,OZ,2011-07-11,Rezoning application to permit the redevelopment of the lands for a new 12-storey mixed use building containing retail uses at grade and 311 dwelling units.  The existing three-storey office building will be retained.,,M4M,,Closed, ,CARLAW,345,AVE,317582.453,4835924.287
861075,12 162027 STE 27 OZ,OZ,2012-04-26,Rezoning application to permit a 33 storey mixed-use building including a four storey base building containing ground floor retail uses and three storeys of office space. The proposal includes 337 residential units and 164 parking spaces in four levels of underground parking.  There are also 369 bicycle parking spaces proposed.,,   ,,Closed, ,MCGILL,89,ST,314580.294,4835404.711
861076,17 161104 NNY 23 MV,MV,2017-05-16,To construct a new two storey dwelling with integral garage.,2017-08-03,M2N,A0541/17NY,Closed, ,PEWTER,8,RD,311435.91000000003,4846013.618
861077,08 154980 000 00 CO,CO,2008-05-05,"This is an application under Sections, 50, 53 and 54 of the Planning Act, for the consent of the Secretary Treasurer, for the creation of an easement/right-of-way.",2008-06-04,M2R,B0036/08NY,Closed, ,BATHURST,4600,ST,309525.039,4846951.127
861078,15 227822 000 00 CO,CO,2015-09-24,"To obtain consent to sever a portion of the land for the purpose of a lot addition, and to grant an easement.",2015-11-20,M2R,B0046/15NY,Closed, ,BATHURST,4600,ST,309525.039,4846951.127
861079,18 108877 WET 17 MV,MV,2018-01-24,To create a parking area in the rear yard (Part 2).,2018-08-16,M6N,A0076/18EYK,Closed, ,PELHAM,55,AVE,308384.99,4836193.194
861080,18 108881 WET 17 CO,CO,2018-01-24,To obtain consent to sever a portion of the lot for the purpose of a lot addition.,2018-08-16,M6N,B0010/18EYK,Conditional Consent, ,PELHAM,55,AVE,308384.99,4836193.194
861081,18 151101 WET 17 OZ,OZ,2018-04-30,"This application is for a City-initiated amendment to the Toronto Official Plan to redesignate the western rear portion of the property municipally known as 55 Pelham Avenue from Neighbourhoods to Core Employment Areas. This portion, which has a lot area of approximately 1,112 square metres, will be conveyed to the adjacent property, municipally known as 69 Pelham Avenue and designated Core Employment Areas, and will be used as a parking area for the associated Core Employment Area use. ",,M6N,,Closed, ,PELHAM,55,AVE,308384.99,4836193.194
861082,18 257569 WET 17 CO,CO,2018-11-16,To obtain consent to sever a portion of the lot for the purpose of a lot addition.,2019-02-21,M6N,B0094/18EYK,Closed, ,PELHAM,55,AVE,308384.99,4836193.194
861083,16 129617 000 00 CO,CO,2016-03-18,To obtain a consent to sever the property to create three lots.,2016-07-13,M6J,B0017/16TEY,Closed,W,DUNDAS,1002,ST,311577.869,4834291.3100000005
861084,16 129626 000 00 MV,MV,2016-03-18,To construct a new three-storey semi-detached dwelling with roof-top amenity space as described in Consent Application B0017/16TEY.,2016-07-13,M6J,A0328/16TEY,Closed,W,DUNDAS,1002,ST,311577.869,4834291.3100000005
861085,16 129630 000 00 MV,MV,2016-03-18,To construct a new three-storey semi-detached dwelling with roof-top amenity space as described in Consent Application B0017/16TEY.,2016-07-13,M6J,A0329/16TEY,Closed,W,DUNDAS,1002,ST,311577.869,4834291.3100000005
861086,12 134920 000 00 MV,MV,2012-03-09,This is an application to permit the construction of a deck attached to the rear of the dwelling. The proposed second storey addition will be built in compliance with the By-law requirements.,2012-05-09,M2K,A177/12NY,Closed, ,FOREST GROVE,80,DR,314999.489,4848692.079
861087,12 196322 STE 19 OZ,OZ,2012-06-19,Rezoning application for the construction of a new mixed use building - commercial at grade and residential above - 7 storey building - 24 residential units - parking stacker with 10 spaces - 28 bicycle parking spaces. - See 12 196328 STE19 SA for Site Plan Approval Application,,M5T,,Closed, ,BATHURST,202,ST,312486.231,4833997.899
861088,12 196328 STE 19 SA,SA,2012-06-19,Site Plan Approval application for the construction of a new mixed use building - commercial at grade and residenital above - 7 storey building - 24 residential units - parking stacker with 10 spaces - 28 bicycle parking spaces. - See 12 196322 STE 19 OZ for rezoning,,M5T,,Closed, ,BATHURST,202,ST,312486.231,4833997.899
861089,11 326102 WET 02 SA,SA,2011-12-14,"Proposal to construct a one-storey addition (14,431 square metres) to the north conference building municipally known as 1020 Martin Grove Road.  The proposal for a new 12-storey hotel, in conjunction with the existing Toronto Congress Centre facility has been put on hold.",,M9W,,Closed, ,MARTIN GROVE,1020,RD,298913.346,4839245.775
861090,11 197896 000 00 MV,MV,2011-05-18,"To construct a two-storey addition at the rear of the existing two-storey dwelling, a garage will be located in the basement level of the addition.",2011-08-31,M5P,A0421/11TEY,Closed, ,GLENAYR,110,RD,311327.02,4839061.039
861091,11 236335 000 00 MV,MV,2011-07-12,GIVE TO JENNY - MET WITH APPLICANT,2011-08-19,M2N,A515/11NY,Closed, ,STUART,57,AVE,311394.376,4845722.659
861092,11 169962 STE 20 OZ,OZ,2011-04-08,Rezoning application to permit the lands municipally known as 124-128 Pears Ave to be used for the purposes of a new 11 storey mixed use building containing ground floor commercial area and 43 residential suites above.  Included in the proposal are 49 vehicular parking spaces to serve the building.,,M5R,,Council Approved, ,PEARS,128,AVE,313019.005,4837077.013
861093,11 217704 000 00 MV,MV,2011-06-13,To construct a one and one-half storey addition along the north side wall of the existing dwelling.,2011-08-25,M8X,A371/11EYK,Closed, ,KINGSWAY,69,CRES,304581.216,4835161.117
861094,11 273872 000 00 MV,MV,2011-09-13,To construct a new two-storey dwelling with an attached garage.,2011-11-17,M8W,A566/11EYK,Closed, ,CONNORVALE,19,AVE,302429.586,4829396.617
861095,11 183361 000 00 MV,MV,2011-04-28,,2011-07-28,M9V,A268/11EYK,Closed, ,BENSTROW,16,AVE,298619.485,4844376.485
861096,11 259856 000 00 MV,MV,2011-08-18,The applicant is proposing to construct a new third storey addition atop the existing two storey dwelling on the above noted property.  The applicant is also proposing the construction of a three storey addition to the rear east portion of the existing dwelling.,2012-01-19,M4G,A601/11NY,Closed, ,RUMSEY,153,RD,315473.981,4840635.883
861097,11 249329 STE 19 PL,PL,2011-08-02,"Application for part lot control exemption in relation to 37 unit townhouse development.

Councillor Layton moved a motion that required that prior to the introduction of the Part Lot Control Exemption Bill, City Council require the owner to register on title an appropriate agreements which secures the conveyance of and construction of the lane widening and lane extension",,M6G,,Closed, ,SHAW,486,ST,311154.761,4834914.355
861098,11 190585 WET 02 SB,SB,2011-05-09,"The Draft Plan of Subdivision application proposes a residential development comprisingdetached houses and  semi-detached houses, to be accessed from a new public local road.",,   ,,Closed, ,HARPREET,70,CRCL,294902.477,4842740.467
861099,11 190585 WET 02 SB,SB,2011-05-09,"The Draft Plan of Subdivision application proposes a residential development comprisingdetached houses and  semi-detached houses, to be accessed from a new public local road.",,   ,,Closed, ,HARPREET,64,CRCL,294896.353,4842721.237
861100,11 140737 000 00 MV,MV,2011-03-08,To construct a circular driveway in the front yard.,2011-09-22,M9B,A164/11EYK,Closed, ,GREENFIELD,29,DR,301024.038,4832894.973
861101,11 130606 000 00 MV,MV,2011-02-22,This is an application to permit the construction of a two storey addition to the rear of the existing dwelling.,2011-04-28,M4P,A101/11NY,Closed, ,STIBBARD,77,AVE,313213.282,4841605.746
861102,11 253735 STE 28 PL,PL,2011-08-09,Part lot control exemption - West Don Lands - Phase 2 - to facilitate the future conveyance of the development blocks within Phase 2 into their individual ownership/development parcels.  Refer to related Plan of Subdivision application for the creation of the 16 larger development blocks from which the individual parcels will be created.,,M5A,,Closed, ,EASTERN,153,AVE,316396.49600000004,4834724.624
861103,11 188577 000 00 CO,CO,2011-05-05,"Proposal to convey the rear 15.24 m of the lot at 196 Nantucket Boulevard as a lot addition to 1279 Kennedy Road, and to create an easement over 196 Nantucket Boulevard for access to 1279 Kennedy Road. The land to be conveyed and the proposed easement are shown on the attached Lot Division Plan. The purpose of the conveyance and easement is to provide vehicle access to loading facilities at 1279 Kennedy Road from Nantucket Blvd. Access to the loading facilities is no longer available from Kennedy Road over the property 1285-1287 Kennedy Road. ",2011-11-18,M1P,B020/11SC,Closed, ,NANTUCKET,196,BLVD,322842.779,4846296.217
861104,11 188581 000 00 CO,CO,2011-05-05,"Proposal to create an easement over 196 Nantucket Boulevard for access to the land at 1279 Kennedy Road. Under a separate application (File A020/11SC), the owner proposes to convey the rear 15.24 m of the lot at 196 Nantucket Boulevard as a lot addition to 1279 Kennedy Road. The land to be conveyed and the proposed easement are shown on the attached Lot Division Plan. The purpose of the conveyance and easement is to provide vehicle access to loading facilities at 1279 Kennedy Road from Nantucket Blvd. ",2011-11-18,M1P,B021/11SC,Closed, ,NANTUCKET,196,BLVD,322842.779,4846296.217
861105,11 212223 000 00 MV,MV,2011-06-07,This is an application to permit the construction of a one storey addition to the north and east side of the existing building. The existing one storey free standing building located along the east property line would be demolished.,2011-07-27,M4G,A402/11NY,Closed, ,MILLWOOD,1073 A,RD,316040.125,4840079.142
861106,11 212296 000 00 MV,MV,2011-06-07,This is an application to permit the construction of a new two storey dwelling on the above noted property. The existing dwelling would be demolished.,2011-09-07,M2R,A403/11NY,Closed, ,ELLERSLIE,460,AVE,309802.792,4847165.75
861107,11 273551 000 00 MV,MV,2011-09-13,To convert the existing three-unit converted house into a four -unit converted house by converting the basement into a forth unit.  ,2012-01-11,M5R,A0746/11TEY,Closed, ,MADISON,83,AVE,312530.483,4836541.3780000005
861108,11 131533 000 00 CO,CO,2011-02-23,To obtain consent to the creation of a right-of-way.,2011-04-20,M4E,B0008/11TEY,Closed, ,KINGSTON,590,RD,320904.682,4837434.992
861109,10 186660 ESC 44 OZ,OZ,2010-06-01,"The Zoning By-law amendment application is to permit the construction of 23 detached dwelling units with appropriate setbacks, height and massing.  An associated plan of subdivision has been filed to create 23 proposed lots for the construction of a detached dwelling per each of these land parcels.  Cross-Reference Plan of Subdivision Application No. 12 286202 ESC 44 SB.  The subdivision is also for the southerly extension of Asterfield Drive to connect with Lawrence Avenue East.",,   ,,Council Approved, ,ASTERFIELD,1,DR,331040.294,4847770.083000001
861110,10 288949 STE 27 SA,SA,2010-11-01,"Site Plan application for a 25-storey mixed use building containing 204 residential suites, including retail at grade. A total of 79 parking spaces are provided in 5 levels of underground parking.  Rezoning Application No. 10 288955 STE 27 OZ. Minor Variance A0062/15TEY. OMB Decision PL120514",,M5R,,Closed, ,CUMBERLAND,94,ST,313594.192,4836518.414
861111,10 288955 STE 27 OZ,OZ,2010-11-01,"Rezoning application for a 22-storey mixed use building containing 127 residential suites, including 3 storeys of retail. A total of 87 parking spaces are provided in 5 levels of underground parking.  Site Plan Application No. 10 288949 STE 27 SA has been filed concurrently with this Rezoning Application.  ",,M5R,,Closed, ,CUMBERLAND,94,ST,313594.192,4836518.414
861112,10 242700 000 00 MV,MV,2010-08-19,,,M4G,A0596/10NY,Closed, ,DONEGALL,102,DR,314860.955,4840675.275
861113,10 247793 000 00 MV,MV,2010-08-26,The applicant is proposing to convert the existing detached garage into a cabana/storage accessory structure on the above noted property. ,2011-01-26,M4R,A0615/10NY,Closed, ,ALEXANDRA,143,BLVD,312222.283,4841521.492
861114,11 114004 000 00 MV,MV,2011-01-26,The applicant is proposing to construct a new two storey dwelling with an integral at grade single car garage on the above noted property. The existing dwelling would be demolished.,2011-04-28,M2N,A033/11NY,Closed, ,BURNETT,242,AVE,310959.109,4846722.703
861115,11 114073 000 00 CO,CO,2011-01-26,To obtain consent to sever the property into two lots and to create an access right-of-way.,2011-05-18,M4J,B0002/11TEY,Closed, ,DONLANDS,274,AVE,317540.08,4838739.906
861116,10 314096 000 00 MV,MV,2010-12-14,This is an application to permit interior alterations to the the existing dwelling to allow the third floor attic area to be utilized as habitable space.,2011-05-18,M4N,A0751/10NY,Closed, ,VALLEYANNA,6,DR,314540.92100000003,4842594.989
861117,09 170627 NNY 26 SA,SA,2009-09-18,One and two storey additions to existing dwelling,,M4G,,Closed, ,RYKERT,62,CRES,316116.739,4841783.733
861118,10 240546 000 00 CO,CO,2010-08-16,"To consent to the technical severance of the subject properties (Nos. 43 and 50 Upton Road), which merged in title.  The Conveyed Parcel is identified as Parts 3, 4, 5, 6 and 10 on a Draft Reference Plan filed with the application; the Retained Parcel is identified as Parts 7, 8, 9, 11 to 22 and Part 33 on the same plan.",2011-12-07,M1L,B045/10SC,Closed, ,UPTON,43,RD,322643.356,4841923.388
861119,10 240568 000 00 MV,MV,2010-08-16,To permit a Vehicle Repair Shop (public garage) with the existing building on the property.,2010-10-28,M8Z,A421/10EYK,Closed, ,CORONET,35,RD,301018.761,4831241.228999999
861120,10 305406 000 00 MV,MV,2010-11-30,The applicant proposes to construct a one storey detached garage at the rear (south end) of the subject property.  Currently existing on the property is a single detached dwelling.  This proposal complies with North York Zoning By-law No. 7625.,2011-02-09,M3K,A0727/10NY,Closed, ,HOME,87,RD,307520.965,4843814.521000001
861121,10 319438 000 00 MV,MV,2010-12-23,To permit relief from the minimum required parking standards in connection with the parking complement for the residential towers (Solaris Towers A and B) on the subject property. This is part of the larger development known as Metrogate. ,2011-02-15,   ,A265/10SC,Closed, ,VILLAGE GREEN,125,SQ,322396.203,4848407.286
861122,10 238253 000 00 MV,MV,2010-08-12,This is an application to permit the construction of a two storey addition to the rear of the existing dwelling.,2010-09-01,M5M,A0574/10NY,Closed, ,ST GERMAIN,184,AVE,312056.818,4843222.55
861123,10 236527 000 00 MV,MV,2010-08-10,This is an application to permit the construction of a second storey addition above the existing dwelling.,2010-10-27,M3H,A0567/10NY,Closed, ,REINER,223,RD,308559.942,4845215.606000001
861124,10 295887 000 00 CO,CO,2010-11-12,To obtain consent to sever the property into two residential lots.,2011-03-24,M9P,B83/10EYK,Closed, ,LOCKHEED,39,BLVD,302474.283,4839644.177
861125,10 295891 000 00 MV,MV,2010-11-12,To construct a new two-storey dwelling.,2011-03-24,M9P,A528/10EYK,Closed, ,LOCKHEED,39,BLVD,302474.283,4839644.177
861126,10 295892 000 00 MV,MV,2010-11-12,To construct a new two-storey dwelling.,2011-03-24,M9P,A529/10EYK,Closed, ,LOCKHEED,39,BLVD,302474.283,4839644.177
861127,10 184872 000 00 CO,CO,2010-05-31,To obtain consent to sever a portion of the land for the purpose of lot addition.,2010-07-29,M9B,B41/10EYK,Closed, ,BURNHAMTHORPE,241,RD,301372.592,4834297.732
861128,10 281019 000 00 MV,MV,2010-10-20,To construct a front second floor addition above the existing porch of the two-storey detached dwelling.,2010-12-15,M4S,A0865/10TEY,Closed,E,MANOR,285,RD,314052.50800000003,4840329.026000001
861129,10 227202 NNY 10 OZ,OZ,2010-07-23,"Rezoning application to permit the construction of 197 townhouse units on existing vacant land municipally known as 55 Antibes Drive.  Application revised to permit 203 townhouses comprised of 41 standard units, 96 stacked units and 66 back-to-back units.By-law 160--2012 in effect.  ",,   ,,Closed, ,ANTIBES,71,DR,308848.631,4848610.898
861130,10 227202 NNY 10 OZ,OZ,2010-07-23,"Rezoning application to permit the construction of 197 townhouse units on existing vacant land municipally known as 55 Antibes Drive.  Application revised to permit 203 townhouses comprised of 41 standard units, 96 stacked units and 66 back-to-back units.By-law 160--2012 in effect.  ",,   ,,Closed, ,CONEFLOWER,6,CRES,308769.07899999997,4848572.596
861131,10 227493 STE 19 SA,SA,2010-07-23,Demolition of existing school and redevelopment of the lands for the purposes of a 45 unit rowhouse development located in 8 construction blocks above a common underground parking facility leading to enclosed private parking for each unit.  Each unit will have frontage on a munipal street and access to the proposed parking facility would be provided via Manning Ave ,,M6J,,Closed, ,CLAREMONT,213,ST,311905.08,4834458.351
861132,10 272799 WET 05 OZ,OZ,2010-10-06,"Demolition of all existing buildings and redevelopment of the site with 5 condominium apartment buildings containing 7 towers up to 30 stories high.  Two of the buildings have adjoining mixed-use, 8 storey sections with ground floor, street-related commercial uses and 2nd and 3rd floor office space fronting on Dundas Street West.",,M9B,,Closed,W,DUNDAS,5475,ST,301324.951,4832307.869
861133,10 272799 WET 05 OZ,OZ,2010-10-06,"Demolition of all existing buildings and redevelopment of the site with 5 condominium apartment buildings containing 7 towers up to 30 stories high.  Two of the buildings have adjoining mixed-use, 8 storey sections with ground floor, street-related commercial uses and 2nd and 3rd floor office space fronting on Dundas Street West.",,M9B,,Closed,W,DUNDAS,5421-5429,ST,301417.425,4832449.952
861134,14 266022 000 00 MV,MV,2014-12-19,"To construct a new two-storey detached dwelling with an integral, at grade, three car garage. The existing dwelling would be demolished.",2015-02-19,M2L,A1019/14NY,Closed, ,JUNEWOOD,29,CRES,315019.519,4846178.313
861135,15 129628 STE 32 OZ,OZ,2015-03-19,"Proposal for a 6-storey mixed-use building with 88 residential units.  A total of 55 parking spaces are proposed in an underground parking garage.  Revised proposal includes 1624, 1628, and 1630 Queen Street East.",,M4L,,Closed,E,QUEEN,1624,ST,319614.609,4836101.5
861136,14 259837 000 00 MV,MV,2014-12-03,"To construct a new two-storey detached dwelling with an integral, at grade, one car garage. The existing dwelling would be demolished.",2015-02-05,M4G,A955/14NY,Closed, ,BROADWAY,438,AVE,314917.778,4841419.666
861137,14 267151 STE 22 OZ,OZ,2014-12-23,Proposal for official plan amendment and rezoning related to a proposed 7 storey mixed use building with a commercial ground floor and residential above (a total of 157 units) with 3 levels of underground parking,,M4S,,Council Approved, ,SOUDAN,709,AVE,314728.256,4840731.8889999995
861138,14 258807 STE 27 SA,SA,2014-12-01,"To obtain site plan approval for a surface commercial parking lot.  Second submission dated April 21, 2015, revision to design and updates to reports.",,M5G,,Closed, ,EDWARD,20,ST,314262.803,4835024.77
861139,15 134854 000 00 MV,MV,2015-03-31,"To alter the three-storey semi-detached dwelling containing two dwelling units by converting the ground floor into a third dwelling unit, and to construct a rear second floor deck, and a rear third floor deck.",2015-05-27,M6G,A0335/15TEY,Closed, ,EUCLID,669,AVE,311695.602,4835736.358
861140,14 266860 000 00 MV,MV,2014-12-22,"The Committee of Adjustment approved several variances in August 2014 to permit the construction of a new two storey single family residential dwelling.  The applicant was before the Committee again, on February 19, 2015 as a result  of a missed variance for lot coverage under the Zoning By-law 8786.  The Committee at the request of the applicant deferred the application in order to give opportunity to meet with Community Planning staff to discuss issues raised in a staff report.  Furthermore there have been changes made to the plans resulting in the variances below.",2015-05-14,M1N,A321/14SC,Closed, ,AUDREY,160,AVE,322984.275,4838349.59
861141,14 266862 000 00 MV,MV,2014-12-22,"The Committee of Adjustment approved several variances in August 2014 to permit the construction of a new two storey single family residential dwelling.  The applicant was before the Committee again, on February 19, 2015 as a result  of a missed variance for lot coverage under the Zoning By-law 8786.  The Committee at the request of the applicant deferred the application in order to give opportunity to meet with Community Planning staff to discuss issues raised in a staff report.  Furthermore there have been changes made to the plans resulting in the variances below.",2015-05-14,M1N,A322/14SC,Closed, ,AUDREY,160,AVE,322984.275,4838349.59
861142,14 261885 000 00 MV,MV,2014-12-09,"To construct a one-storey side addition, a partial second floor rear addition, new rear and front steps and a  new detached garage with roof top deck at the rear.",2015-02-11,M6J,A1143/14TEY,Closed, ,MARKHAM,130,ST,312279.018,4834331.438999999
861143,15 137167 000 00 MV,MV,2015-04-07,"To construct a new two-storey detached dwelling with an integral, at grade, two car garage. The existing dwelling would be demolished.",2015-05-21,M2N,A0357/15NY,Closed, ,CHURCHILL,137,AVE,310935.024,4847673.155
861144,15 137210 000 25 MV,MV,2015-04-07,To legalize and facilitate the continued operation of the existing Regional Shopping Centre.,2017-06-08,M3C,A0359/15NY,Hearing Scheduled,E,LAWRENCE,939,AVE,317275.709,4843768.847
861145,17 188997 WET 06 MV,MV,2017-06-28,To construct a two-storey rear addition. ,2017-09-28,M8V,A0623/17EYK,Closed, ,SYMONS,122,ST,305032.60000000003,4829482.678
861146,17 168392 S45 13 TLAB,TLAB,2017-05-29,To convert the existing attic into habitable space in order to accomodate an additional secondary suite for a total of three residential units.,,M6S,17-168392,Closed, ,GARDENVIEW,112,CRES,305097.031,4835889.245
861147,17 206577 STE 19 MV,MV,2017-07-27,To legalize and maintain the existing three-storey fitness club.,2017-11-22,M6J,A0824/17TEY,Closed, ,OSSINGTON,64,AVE,311261.94899999996,4833746.913
861148,17 166471 WET 05 MV,MV,2017-05-25,To construct a second storey addition above the existing and a new rear deck.,2017-07-27,M8Z,A0469/17EYK,Closed, ,VAN DUSEN,19,BLVD,303853.61600000004,4833521.3780000005
861149,17 153483 WET 06 SA,SA,2017-05-03,"Site Plan application  for 53 and 55 Judson street. The proposal includes three blocks of 4-storey residential townhouse units along the south side of Judson Street, containing a total of 72 units, and two blocks of 3-storey commercial condominium units on the southerly portion of the site, containing a total of 28 units. A total gross floor area of approximately 16,921 square metres is proposed.",,M8Z,,Under Review , ,JUDSON,55,ST,304599.769,4830309.045
861150,17 123732 WET 17 MV,MV,2017-03-02,"To construct a two-storey front addition with a new front porch, a two-storey rear addition and a second storey front addition above the existing attached garage. ",2017-04-20,M6C,A0208/17EYK,Closed, ,ROBINA,130,AVE,309879.84,4838053.324
861151,17 129069 WET 12 MV,MV,2017-03-15,To construct a rear detached garage.,2017-04-20,M6M,A0250/17EYK,Deferred, ,CAMERON,151,AVE,307078.022,4838642.645
861152,17 155282 WET 13 MV,MV,2017-05-06,"To construct a second storey rear deck, a new basement walk-out and a secondary suite in the basement.",2017-06-15,M6P,A0418/17EYK,Closed, ,MAHER,51,AVE,306416.284,4835587.8100000005
861153,17 171397 STE 20 CD,CD,2017-06-01,"Draft Plan of Standard Condominium to permit a 8-storey mixed-use building containing 625 residential units and 1,222 square metres of retail space and 748 square metres of office space. A total of 414 parking spaces will be provided in a below grad garage. The application is related to Site Plan Application 12 210557 STE 20 SA.",,   ,,Draft Plan Approved, ,HOUSEY,20,ST,312891.32300000003,4832941.157
861154,17 193474 NNY 16 MV,MV,2017-07-06,"To construct a new two-storey dwelling. The existing dwelling would be demolished. Please be advised the subject property went before the Committee of Adjustment on September 14th, DEFERRED SINE DIE, in order to allow the applicant the opportunity to consult with planning.",2017-12-07,M5M,A0644/17NY,Closed, ,ELM,403,RD,311514.571,4843572.34
861155,17 179441 STE 27 OZ,OZ,2017-06-13,OPA and Rezoning application to permit a 12-storey mixed-use building (38.5 m plus mechanical penthouse) consisting of 225 square metres of retail uses at grade and 96 dwelling units above.  A total of 96 bicycle parking spaces and 20 vehicular parking are proposed.,,M4Y,,OMB Appeal, ,CHURCH,572,ST,314343.475,4836038.977
861156,17 186498 STE 22 SA,SA,2017-06-23,"Application to permit the construction of a mixed use building with a maximum building height of 115 m (excluding the mechanical penthouse) or 35 storeys, containing 31,305 m2 of combined residential and non-residential GFA.  The proposal will include a 6 storey podium containing 600 m2 of retail at grade, and 8267m2 of office space on floors 2-6 as well a residential tower above containing 288 new dwelling units (22434m2).  Parking will be provided in 4 level of underground parking with 155 spaces.",,M4S,,Under Review , ,YONGE,2161,ST,313047.382,4840308.602
861157,17 186503 STE 22 OZ,OZ,2017-06-23,"This zoning by-law amendment application proposes to permit the construction of a mixed use building with a maximum height of 36 storeys (118 metres plus a 6 metre mechanical penthouse).  The proposed  building includes a 6-storey base building containing 600 square metres of ground floor retail uses and 8,267 square metres of office space on floors 2-6.  The residential tower above is proposed to contain 288 new dwelling units. Parking would be provided in a 4-level underground parking garage with 155 spaces.",,M4S,,OMB Appeal, ,YONGE,2161,ST,313047.382,4840308.602
861158,17 122231 WET 06 MV,MV,2017-02-28,To construct a second storey addition above the existing dwelling. ,2017-06-01,M8W,A0188/17EYK,Closed, ,NORFOLK,22,AVE,300514.98,4829220.812
861159,17 182799 STE 31 MV,MV,2017-06-19,"To alter the existing one-storey detached dwelling by constructing a two-storey side addition which will contain an integral garage, complete second storey addition, rear deck, rear basement walk out, and front porch with stairs.",2017-10-25,M4C,A0694/17TEY,Closed, ,WOODMOUNT,354,AVE,319185.745,4839648.757
861160,17 141634 ESC 36 MV,MV,2017-04-09,To construct a new two-storey detached dwelling.,2017-06-01,M1M,A0112/17SC,Closed, ,ANSON,1,AVE,325569.653,4842531.635
861161,17 238878 NNY 16 MV,MV,2017-09-26,To construct a new two storey addition to the rear of the existing day.,2017-11-21,M5N,A0864/17NY,Closed, ,CASTLEWOOD,84,RD,311568.33,4840407.954
861162,18 122399 SPS 00 OZ,OZ,2018-02-27,,,   ,,Under Review , ,SOUTH DISTRICT STUDY,1, ,,
861163,18 122410 NNY 16 MV,MV,2018-02-27,To construct a new two-storey detached dwelling with an integral garage.,2018-05-31,M5N,A0162/18NY,Closed, ,CORTLEIGH,163,BLVD,311810.691,4841189.597
861164,17 240875 NNY 16 MV,MV,2017-09-29,To construct a new three-storey dwelling. The existing dwelling would be demolished.,2017-11-21,M4R,A0876/17NY,Closed, ,LYTTON,33,BLVD,312643.095,4841537.177
861165,17 258984 WET 02 MV,MV,2017-11-07,To construct a new detached dwelling with an attached garage.,2018-01-11,M9P,A0942/17EYK,Closed, ,CRANE,33,AVE,303071.76399999997,4839041.688999999
861166,17 219827 STE 19 MV,MV,2017-08-21,To construct a covered rear ground floor deck.,2018-01-10,M6G,A0913/17TEY,Closed, ,MELVILLE,30,AVE,311012.157,4836531.4860000005
861167,17 219892 WET 05 MV,MV,2017-08-21,To construct a second floor addition with second storey front balcony.,2017-09-28,M8Z,A0729/17EYK,Closed, ,LILLIBET,37,RD,304057.01399999997,4832503.613
861168,17 245613 WET 13 MV,MV,2017-10-10,To construct two-storey rear addition.,2017-12-07,M6S,A0868/17EYK,Closed, ,LARKIN,1,AVE,306183.37,4834070.817
861169,17 247467 STE 28 MV,MV,2017-10-13,To alter the existing 2½-storey semi-detached dwelling by constructing a rear 2-storey addition with a ground floor deck and third floor terrace.,2018-03-21,M5A,A1115/17TEY,Closed, ,SHUTER,385,ST,315873.026,4835054.321
861170,17 245498 STE 20 SA,SA,2017-10-10,"One of four site plan applications for the residential portion of the redevelopment of the former Globe and Mail lands (aka ""The Well"").  These residential site plan applications are related to the non-residential ""Master"" site plan application (file no. 16 269540 STE 20 SA).  This application refers to Building ""F"", a 39 storey residential building with a total of 590 residential units.  ",,M5V,,NOAC Issued,W,FRONT,444,ST,313158.544,4833382.9860000005
861171,17 245526 STE 20 SA,SA,2017-10-10,"Submissioon 3 for BUILDINGS A & B: One of four site plan applications for the residential portion of the redevelopment of the former Globe and Mail lands (aka ""The Well"").  These applications are related to the non-residential ""Master"" site plan application (file no. 16 269540).  This application refers to 'Buildings ""A and B"", two 16 storey residential buildings with a total of 330 residential units.",,M5V,,NOAC Issued,W,FRONT,444,ST,313158.544,4833382.9860000005
861172,17 245539 STE 20 SA,SA,2017-10-10,"Submission 3 for BUILDING C: One of four site plan applications for the residential portion of the redevelopment of the former Globe and Mail lands (aka ""The Well"").  These residential site plan applications are related to the non-residential ""Master"" site plan application (file no. 16 269540 STE 20 SA).  This application refers to Building ""C"", a 14-storey residential building with 99 units.",,M5V,,NOAC Issued,W,FRONT,444,ST,313158.544,4833382.9860000005
861173,17 245560 STE 20 SA,SA,2017-10-10,"One of four site plan applications for the residential portion of the redevelopment of the former Globe and Mail lands (aka ""The Well"").  These residential site plan applications are related to the non-residential ""Master"" site plan application (file no. 16 269540 STE 20 SA).  This application refers to Building ""D"" and ""E"", (22 and 39 storeys), with a total of 659 residential units.   ",,M5V,,NOAC Issued,W,FRONT,444,ST,313158.544,4833382.9860000005
861174,17 269658 STE 28 OZ,OZ,2017-11-30,"Zoning By-law Amendment to permit a 19-storey mixed-use building (75.5 metres including mechanical penthouse) with street related retail uses and residential dwelling units above. The proposed development is comprised of a total gross floor area of approximately 45,824 square metres, including 6,197 square metres of retail gross floor area that is distributed between the first two levels of the building.",,M5A,,Under Review ,E,FRONT,250,ST,315767.333,4834415.183
861175,18 116206 WET 05 MV,MV,2018-02-12,To convert the existing attached garage into habitable space and a proposed circular driveway in the rear yard.,2018-05-10,M9B,A0158/18EYK,Deferred, ,ASHBOURNE,49,DR,301297.175,4833493.86
