MAPID,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME,Geom,Geo Local Area
DFPB0169,"Fountain location:
Tea Swamp Park",NE corner of park,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.09857497062325, 49.25746168419921]}",Mount Pleasant
DFPB0171,"Fountain location:
Tisdall Park",near North baseball diamond,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.11825117290374, 49.22847607289638]}",Oakridge
DFPB0187,"Fountain location:
Vancouver Technical HS",NE of the sport field,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.05011946685549, 49.26062486270534]}",Renfrew-Collingwood
DFPB0174,"Fountain location:
Vandusen Botanical Garden - upper gardens",upper gardens,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12992421918467, 49.23872068169798]}",Shaughnessy
DFPB0177,"Fountain location:
Victoria Park",adjacent to children's play area,Parks,spring to fall,,Victoria Park - drinking fountain - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.06674701318637, 49.27171896210611]}",Grandview-Woodland
DFPB0178,"Fountain location:
Victory Square",south corner of park,Parks,spring to fall,,Victory Square - drinking fountain - 2008.JPG,"{""type"": ""Point"", ""coordinates"": [-123.11005097846787, 49.2819511927667]}",Downtown
DFPB0180,"Fountain location:
West End minipark",Bute & Haro,Parks,spring to fall,,West End Minipark @ Bute & Haro - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.1280300840173, 49.285296255875174]}",West End
DFPB0185,"Fountain location:
Woodland Park",in front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.07340875242025, 49.278548135565664]}",Grandview-Woodland
DFENG0502,"Bottle Filling Station location: 
Granville Island Pumping Station",North side of sewage pumping station on seawall east of the granville island entrance,Engineering,Year Round,N,GranvilleIslandPumpingStation.jpg,"{""type"": ""Point"", ""coordinates"": [-123.136177, 49.269566]}",Fairview
DFENG0002,"Fountain location:
39th & Nanaimo",Southwest corner of 39th & Nanaimo,Engineering,May-October,N,Nanaimo&39th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.058912, 49.234752]}",Kensington-Cedar Cottage
DFENG0014,"Fountain location:
7th & Yukon",Southwest corner of 7th & Yukon,Engineering,May-October,N,Yukon&7th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.112967, 49.2646599]}",Mount Pleasant
DFENG0024,"Fountain location:
Burrard & Davie",Northwest corner of Burrard & Davie,Engineering,Year Round,N,Davie&Burrard.jpg,"{""type"": ""Point"", ""coordinates"": [-123.12923210062, 49.2792475453812]}",West End
DFENG0025,"Fountain location:
Comox & Cardero",Northeast corner of Comox & Cardero,Engineering,Year Round,N,Comox&Cardero.jpg,"{""type"": ""Point"", ""coordinates"": [-123.136516, 49.2867384]}",West End
DFENG0006,"Fountain location:
Gilford & Nelson",Northwest corner of Gilford & Nelson,Engineering,May-October,N,P3011198.jpg,"{""type"": ""Point"", ""coordinates"": [-123.14022516, 49.29049866]}",West End
DFENG0029,"Fountain location:
Granville & 59th",Northeast corner of Granville & 59th,Engineering,Year Round,N,Granville&59th.jpg,"{""type"": ""Point"", ""coordinates"": [-123.139586, 49.2173117]}",Marpole
DFENG0034,"Fountain location:
Hastings & Kamloops",Northeast corner of Hastings & Kamloops,Engineering,May-October,N,Hastings Kamploops 1.JPG,"{""type"": ""Point"", ""coordinates"": [-123.054448, 49.280998]}",Hastings-Sunrise
DFENG0007,"Fountain location:
Nelson & Broughton",In mini park at Nelson & Broughton,Engineering,May-October,N,P2130403.JPG,"{""type"": ""Point"", ""coordinates"": [-123.13333675, 49.28571023]}",West End
DFENG0010,"Fountain location:
Robson & Chilco",In mini park at Robson & Chilco,Engineering,May-October,N,P2020133.JPG,"{""type"": ""Point"", ""coordinates"": [-123.13827002, 49.29345716]}",West End
DFENG0046,Fountain location: 733 W 14th Avenue,North side of 14th Avenue,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.121414, 49.258738]}",Fairview
DFENG0039,Fountain location: Davie & Bute (Jim Deva Plaza),1200 Davie Street,Engineering,Year Round,Y,,"{""type"": ""Point"", ""coordinates"": [-123.133952, 49.281882]}",West End
DFENG0043,Fountain location: Ormidale St & Vanness Avenue,Southeast corner of Ormidale St & Vanness Avenue,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.024717, 49.234702]}",Renfrew-Collingwood
DFPB0001,"Fountain location:
Aberdeen Park",plaza,Parks,spring to fall,,Aberdeen Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.02723857691211, 49.235052244781656]}",Renfrew-Collingwood
DFPB0003,"Fountain location:
Alexandra Park",west plaza gateway,Parks,spring to fall,,Alexandra Park - drinking fountain - 2003.jpg,"{""type"": ""Point"", ""coordinates"": [-123.14237717569814, 49.28566025871612]}",West End
DFPB0006,"Fountain location:
Andy Livingstone Park - South of soccer fields",north side of fieldhouse,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.10355994686793, 49.27805711332229]}",Downtown
DFPB0007,"Fountain location:
Arbutus Greenway Park",S-side of playground,Parks,spring to fall,,Arbutus Greenway Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.15530331979778, 49.26223376304301]}",Kitsilano
DFPB0012,"Fountain location:
Bobolink Park",in front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.0560918132228, 49.215625829513684]}",Victoria-Fraserview
DFPB0132,"Fountain location:
Brewers Park",S-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.06621079065098, 49.24755549015022]}",Kensington-Cedar Cottage
DFPB0030,"Fountain location:
CRAB Park at Portside",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10180591766984, 49.28475995490833]}",Downtown
DFPB0017,"Fountain location:
Charleson Park",N of school off of seawall,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12588611678844, 49.26811789687622]}",Fairview
DFPB0018,"Fountain location:
China Creek North Park",S central side along jogging c,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.08311885257991, 49.2644778372994]}",Mount Pleasant
DFPB0025,"Fountain location:
Columbia Park",in front of wading pool,Parks,spring to fall,,Columbia Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.11299013036627, 49.231930146654]}",Oakridge
DFPB0026,"Fountain location:
Connaught Park - North of playground",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.16141535959855, 49.26187335311721]}",Kitsilano
DFPB0032,"Fountain location:
David Lam Park - South west of basketball courts",near playground and tennis court,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12570510564845, 49.2717379729765]}",Downtown
DFPB0034,"Fountain location:
Devonian Harbour Park",near Stanley Park entrance,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.13598610995344, 49.295091459181194]}",
DFPB0035,"Fountain location:
Douglas Park - Right side of wading pool",in front of wading pool,Parks,spring to fall,,Douglas Park - drinking fountain 1 - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12230213245175, 49.25319458591402]}",South Cambie
DFPB0040,"Fountain location:
Emery Barnes Park - South west of playground",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.12426708261285, 49.27664197562022]}",Downtown
DFPB0042,"Fountain location:
English Bay Beach Park - West of bath-house",opposite entrance to bathhouse,Parks,year-round,,English Bay Park - drinking fountain - 2005.jpg,"{""type"": ""Point"", ""coordinates"": [-123.14302017755426, 49.28613326803492]}",West End
DFPB0043,"Fountain location:
English Bay Beach Park - concessions",concessions,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.13792016443693, 49.27900682012942]}",West End
DFPB0045,"Fountain location:
Fraser River Park - South west",,Parks,spring to fall,,Fraser River Park - drinking fountain - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.15079343698349, 49.206524604715234]}",Kerrisdale
DFPB0047,"Fountain location:
Fraserview Golf Course - West of kerr st.",West of kerr st.,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.04226773752653, 49.211400947247654]}",Killarney
DFPB0050,"Fountain location:
Fraserview Golf Course - driving range",driving range,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.0513797921426, 49.21249686599673]}",Killarney
DFPB0056,"Fountain location:
Grandview Park - South of playground",By the Playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.06985194061305, 49.27384806653218]}",Grandview-Woodland
DFPB0057,"Fountain location:
Granville Loop Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.13774119438631, 49.2672333741722]}",Fairview
DFPB0059,"Fountain location:
Guelph Park",w-side of tennis courts,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.09555993281812, 49.26432582925835]}",Mount Pleasant
DFPB0062,"Fountain location:
Harbour Green Park - In front of washrooms",near spray pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.12167903062401, 49.29010735949297]}",Downtown
DFPB0060,"Fountain location:
Harbour Green Park - Viewpoint","west, by seawall",Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.1232550375787, 49.291334384434094]}",Downtown
DFPB0067,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",north of empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03337505588075, 49.28381447906172]}",Hastings-Sunrise
DFPB0066,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",field house at empire field,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03424848993296, 49.282669236667665]}",Hastings-Sunrise
DFPB0068,"Fountain location:
Hastings Park -Plateau Sport Parks / Empire Fields",East of basketball courts,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.034264, 49.282563]}",Hastings-Sunrise
DFPB0071,"Fountain location:
Hillcrest Park - North of playground",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.106969, 49.2456626]}",Riley Park
DFPB0073,"Fountain location:
Jericho Beach Park",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.19172152670885, 49.27201435405524]}",West Point Grey
DFPB0075,"Fountain location:
Jonathan Rogers Park",E-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.10749900955489, 49.26426982320041]}",Mount Pleasant
DFPB0080,"Fountain location:
Killarney Park - E 45th Ave. @ Killarney St.",north plaza,Parks,spring to fall,,Killarney Park - drinking fountain 2 - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.04532770779115, 49.22930011794244]}",Killarney
DFPB0079,"Fountain location:
Killarney Park - East of wading pool",in front of wading pool,Parks,spring to fall,,Killarney Park - drinking fountain 1 - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.04186669078801, 49.227164074533114]}",Killarney
DFPB0083,"Fountain location:
Kitsilano Beach Park - South of playground",besides playground,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.153186687643, 49.27478748031104]}",Kitsilano
DFPB0088,"Fountain location:
Langara Golf Course - clubhouse building",clubhouse building,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.11252814833458, 49.22389007931097]}",Oakridge
DFPB0089,"Fountain location:
Locarno Beach Park",near concessions,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.20714961781954, 49.27507501211316]}",West Point Grey
DFPB0090,"Fountain location:
MacDonald Park",near NW corner of tennis court,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.09849604345541, 49.230075113614106]}",Sunset
DFPB0093,"Fountain location:
Maple Grove Park - South of baseball diamond",S-side of baseball diamond,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.16081645575363, 49.22361195604753]}",Kerrisdale
DFPB0095,"Fountain location:
Marpole Park",west entrance to playground,Parks,spring to fall,,Marpole Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.13894336301057, 49.20572859250458]}",Marpole
DFPB0100,"Fountain location:
McCleery Golf Course - servive yard",servive yard,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.17072538868275, 49.22073774832735]}",Kerrisdale
DFPB0106,"Fountain location:
Moberly Park - Arts & Cultural Centre",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.08718501007823, 49.21544341401607]}",Sunset
DFPB0107,"Fountain location:
Morton Park",,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.14224916999193, 49.287535297882734]}",West End
DFPB0110,"Fountain location:
Nanaimo Park",in front of wading pool,Parks,spring to fall,,Nanaimo Park - drinking fountain - 2005.JPG,"{""type"": ""Point"", ""coordinates"": [-123.05690478396131, 49.228382094384926]}",Victoria-Fraserview
DFPB0111,"Fountain location:
Nelson Park",middle of park,Parks,spring to fall,,Nelson Park - drinking fountain - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12996610354612, 49.28294420590987]}",West End
DFPB0115,"Fountain location:
Norquay Park",front of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.05081271824574, 49.23827830254492]}",Renfrew-Collingwood
DFPB0117,"Fountain location:
Oak Park - East of fieldhouse",East side of fieldhouse,Parks,spring to fall,,Oak Park - drinking fountain 3 - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12814026541413, 49.21698683039526]}",Marpole
DFPB0118,"Fountain location:
Oak Park - East of spray park",In spray park,Parks,spring to fall,,Oak Park - drinking fountain 1 - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12737226202022, 49.216689824099134]}",Marpole
DFPB0116,"Fountain location:
Oak Park - North west of field hockey",Near parking lot,Parks,spring to fall,,Oak Park - drinking fountain 2 - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12910727287776, 49.21671182405714]}",Marpole
DFPB0120,"Fountain location:
Pandora Park",N-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.0573907228131, 49.28241944355695]}",Grandview-Woodland
DFPB0121,"Fountain location:
Park Site On South East False Creek - Hinge",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.11019100783243, 49.27115666646443]}",Mount Pleasant
DFPB0122,"Fountain location:
Pioneer Place (Pigeon Park)",,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10448994330177, 49.281769090820944]}",Downtown
DFPB0124,"Fountain location:
Queen Elizabeth Park - 37th and Ontario",37th and Ontario,Parks,spring to fall,,Queen Elizabeth Park - drinking fountain 1 - 2006.JPG,"{""type"": ""Point"", ""coordinates"": [-123.10560606822328, 49.23752526603095]}",Riley Park
DFPB0188,"Fountain location:
Riley Park",West side of the park,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.10479228037154, 49.2426880999357]}",Riley Park
DFPB0129,"Fountain location:
Riverfront Park - West of tennis courts",w-side of tennis courts,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.05096580744122, 49.205843628445386]}",Killarney
DFPB0131,"Fountain location:
Ross Park",near shelter,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.08261997732612, 49.21705184897251]}",Sunset
DFPB0134,"Fountain location:
Rupert Park - South of golf entrance booth",S-side of golf entrance booth,Parks,spring to fall,,Rupert Park - drinking fountain 2 - 2007.JPG,"{""type"": ""Point"", ""coordinates"": [-123.03062049301315, 49.27317703975057]}",Hastings-Sunrise
DFPB0137,"Fountain location:
Seaforth Peace Park",S end plaza,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.14619023821574, 49.27109595186446]}",Kitsilano
DFPB0159,"Fountain location:
Stanley Park - Brockton Cricket Pavilion",Brockton Clubhouse,Parks,,,,"{""type"": ""Point"", ""coordinates"": [-123.148332, 49.310653]}",
DFPB0161,"Fountain location:
Stanley Park - Dog Off-leash area",Beside Dog off-leash area,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.148332, 49.310653]}",
DFPB0141,"Fountain location:
Stanley Park - Prospect Point Lookout",Prospect Point viewing,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.1424377015813, 49.313489270665016]}",
DFPB0156,"Fountain location:
Stanley Park - Prospect Point Picnic Site",Prospect Point picnic area,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.14818844616497, 49.31072472615588]}",
DFPB0143,"Fountain location:
Stanley Park - Tennis Courts",near Tennis Courts & Fish House,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.14599767463297, 49.292326017929625]}",
DFPB0153,"Fountain location:
Stanley Park - Third Beach Seawall",Third beach seawall,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.15632021825063, 49.30326262273198]}",
DFPB0164,"Fountain location:
Strathcona Park - besides baseball diamond",besides baseball diamond,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.08667384655139, 49.27493305453203]}",Strathcona
DFPB0168,"Fountain location:
Sutcliffe Park",S-side of false creek communit,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.13401616561772, 49.26922691690112]}",Fairview
DFPB0170,"Fountain location:
Tecumseh Park",middle of park,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.07017586403101, 49.2297128163117]}",Victoria-Fraserview
DFPB0172,"Fountain location:
Trafalgar Park",E-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.16382240251893, 49.25137853323129]}",Arbutus-Ridge
DFPB0173,"Fountain location:
Trillium Park",on west side of building,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.09310688779313, 49.27506635498275]}",Strathcona
DFPB0176,"Fountain location:
Vanier Park (Burrard Civic Marina)",,Parks,year-round,,,"{""type"": ""Point"", ""coordinates"": [-123.13975418570803, 49.27521804024948]}",Kitsilano
DFPB0179,"Fountain location:
W.C. Shelly Park",,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.07309279284456, 49.26315381297962]}",Grandview-Woodland
DFPB0183,"Fountain location:
West Point Grey Park - North of wading pool",N-side of wading pool,Parks,spring to fall,,,"{""type"": ""Point"", ""coordinates"": [-123.20524762794798, 49.266126826024426]}",West Point Grey
DFENG0503,"Bottle Filling Station location: 
Granville St Pumping Station",North side of sewage pumping station under Granville Bridge on bike route,Engineering,Year Round,N,GranvilleStPumpingStation.jpg,"{""type"": ""Point"", ""coordinates"": [-123.131579, 49.2733345]}",Downtown
DFENG0504,"Bottle Filling Station location: 
Kitsilano Pumping Station",North side of sewage pumping station on w/s/ 1300 Arbutus,Engineering,Year Round,N,KitsilanoPumpingStation.jpg,"{""type"": ""Point"", ""coordinates"": [-123.1527806, 49.2737142]}",Kitsilano
DFENG0505,"Bottle Filling Station location: 
Thornton Park Pumping Station",West side of sewage pumping station on w/s/ 1200 Station St,Engineering,Year Round,N,ThorntonParkPumpingStation.jpg,"{""type"": ""Point"", ""coordinates"": [-123.098886, 49.2730368]}",Strathcona
DFENG0001,"Fountain location:
28th & Main",Northeast corner of 28th & Main,Engineering,May-October,N,Main 28th 1.JPG,"{""type"": ""Point"", ""coordinates"": [-123.10102, 49.245762]}",Riley Park
DFENG0012,"Fountain location:
37th & Oak",Southeast corner of 37th & Oak,Engineering,May-October,N,Oak 37th 2.JPG,"{""type"": ""Point"", ""coordinates"": [-123.127384, 49.237587]}",South Cambie
DFENG0018,"Fountain location:
37th & Prince Edward",Northwest corner of 37th & Prince Edward,Engineering,May-October,Y,Prince Ed 37th 4.JPG,"{""type"": ""Point"", ""coordinates"": [-123.09728295, 49.2371952]}",Riley Park
DFENG0004,"Fountain location:
56th & Ontario",Northwest corner of 56th & Ontario,Engineering,May-October,Y,Ontario 56th 2.JPG,"{""type"": ""Point"", ""coordinates"": [-123.106415, 49.219505]}",Oakridge
DFENG0022,"Fountain location:
Ashburn & Elliot",Northwest corner of Ashburn & Elliot,Engineering,May-October,N,Ashburn&Elliot.jpg,"{""type"": ""Point"", ""coordinates"": [-123.055044, 49.2187548]}",Victoria-Fraserview
DFENG0015,"Fountain location:
Broadway & Ontario",Southwest corner of Broadway & Ontario,Engineering,May-October,N,Broadway ON 2.JPG,"{""type"": ""Point"", ""coordinates"": [-123.105026, 49.262875]}",Mount Pleasant
DFENG0032,"Fountain location:
Broadway & Stephens",Northwest corner of Broadway & Stephens,Engineering,May-October,N,P3140921.JPG,"{""type"": ""Point"", ""coordinates"": [-123.1666474, 49.26423514]}",Kitsilano
DFENG0020,"Fountain location:
Hastings & Gore",Northeast corner of Hastings & Gore,Engineering,Year Round,N,Hastings&Gore.jpg,"{""type"": ""Point"", ""coordinates"": [-123.097231, 49.281386]}",Strathcona
DFENG0009,"Fountain location:
Robson & Burrard",Northeast corner of Robson & Burrard,Engineering,May-October,Y,P2190667.JPG,"{""type"": ""Point"", ""coordinates"": [-123.12229054, 49.28306599]}",Downtown
DFENG0030,"Fountain location:
Union & Hawks",In mini park at Union & Hawks,Engineering,Year Round,N,Union&Hawks.jpg,"{""type"": ""Point"", ""coordinates"": [-123.087389, 49.2775724]}",Strathcona
DFENG0045,Fountain location: 2001 W 10th Avenue,North side of 10th Avenue,Engineering,May-October,N,,"{""type"": ""Point"", ""coordinates"": [-123.152238, 49.262911]}",Kitsilano
DFENG0040,Fountain location: Point Grey Road & Waterloo,1600 Waterloo St,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.179475, 49.271936]}",Kitsilano
DFENG0042,Fountain location: W 63rd Avenue & Yukon Street,Southeast corner of W 63rd Avenue & Yukon Street,Engineering,Year Round,N,,"{""type"": ""Point"", ""coordinates"": [-123.114629, 49.213173]}",Marpole
