KEY;ZONE;INSTALLATION;LOCATION_1;LOCATION_2;ORIENTATION;BIA;Geo Local Area;Geom
CVS122;DT;2010;False Creek;Seaside (David Lam Park);135;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.124852, 49.271957]}"
CVS123;DT;2009;Robson;Seymour;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.118898, 49.280857]}"
CVS124;DT;2009;Burrard;Davie;135;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.129448, 49.279092]}"
CVS125;OT;2010;Commercial;E 3rd;90;Commercial Drive;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.069466, 49.267735]}"
CVS146;DT;2009;Denman;Haro/Barclay;135;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.136835, 49.290421]}"
CVS149;DT;2009;Robson;Granville;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120039, 49.281291]}"
CVS150;DT;2015;Denman;Davie;135;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.141596, 49.287303]}"
CVS153;DT;2015;Davie;Nicola;135;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.137661, 49.284413]}"
CVS154;DT;2015;Georgia;Bute;135;Downtown Vancouver;West End;"{""type"": ""Point"", ""coordinates"": [-123.125545, 49.287108]}"
CVS155;DT;2015;Cordova;Burrard;135;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.116532, 49.287567]}"
CVS157;DT;2015;Burrard;Davie;45;West End;West End;"{""type"": ""Point"", ""coordinates"": [-123.129306, 49.279276]}"
CVS158;DT;2015;Burrard;Nelson;135;Downtown Vancouver;West End;"{""type"": ""Point"", ""coordinates"": [-123.125972, 49.281348]}"
CVS165;DT;2015;Hamilton;Helmcken;135;Yaletown;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120927, 49.27589]}"
CVS166;DT;2015;Beatty;Robson;45;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.113964, 49.277495]}"
CVS167;DT;2015;Beach Cr;Seaside (False Creek);135;None;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.126024, 49.270981]}"
CVS170;DT;2015;Georgia;Burrard;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.120963, 49.284208]}"
CVS171;DT;2015;Georgia;Bute;45;Downtown Vancouver;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.124959, 49.287089]}"
CVS174;DT;2015;Manitoba;Seaside (False Creek);180;None;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.106573, 49.272099]}"
CVS176;DT;2015;Island Park Walk;The Castings;180;None;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.131545, 49.267124]}"
CVS182;OT;2015;Hastings;Commercial;180;Hastings North;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.070576, 49.281089]}"
CVS185;OT;2015;Nanaimo;Kingsway;35;None;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.058, 49.241668]}"
CVS188;OT;2015;Kingsway;Tyne;21;Collingwood;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.031682, 49.231956]}"
CVS193;OT;2015;Point Grey Rd;Alma;180;None;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.185693, 49.272394]}"
CVS195;Metro Core;2015;W 4th;Vine;180;Kitsilano 4th Avenue;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.157327, 49.268292]}"
