Account Number,Assessment Year,Suite,House Number,Street Name,Legal Description,Latitude,Longitude,Point Location,Neighbourhood,Actual Year Built,Garage,Zoning,Lot Size,Assessed Value,Assessment Class 1,Assessment Class % 1,Assessment Class 2,Assessment Class % 2,Assessment Class 3,Assessment Class % 3
1013127,2017,,146,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 4  Lot: 3R,53.50788,-113.61055,POINT (-113.61055 53.50788),WESTRIDGE,,N,AP,410.3100,2000.00,COMMERCIAL,100,,,,
1036938,2014,,9315,179 AVENUE NW,Plan: 8120894  Block: 10  Lot: 107A,53.64148,-113.48593,POINT (-113.48593 53.64148),LAGO LINDO,1986,Y,RF4,306.0300,303000.00,RESIDENTIAL,100,,,,
1007012,2014,,8831,152B AVENUE NW,Plan: 8023176  Block: 31  Lot: 89,53.61421,-113.4781,POINT (-113.4781 53.61421),EVANSDALE,1983,Y,RF1,478.9900,358000.00,RESIDENTIAL,100,,,,
1018399,2016,,96,WILLOW WAY NW,Plan: 7921480  Unit: 19,53.50354,-113.60145,POINT (-113.60145 53.50354),WESTRIDGE,1978,Y,RF5,484.9980,421500.00,RESIDENTIAL,100,,,,
1015429,2017,,540,WOLF WILLOW ROAD NW,Plan: 4697TR  Block: 6  Lot: 45,53.50767,-113.60711,POINT (-113.60711 53.50767),WESTRIDGE,1987,Y,RF1,669.8930,665500.00,RESIDENTIAL,100,,,,
1009513,2019,,17404,111 AVENUE NW,Plan: 7620381  Lot: A,53.56012,-113.62287,POINT (-113.62287 53.56012),ARMSTRONG INDUSTRIAL,2005,N,IB,15442.6260,10409500.00,COMMERCIAL,100,,,,
1036847,2019,,17727,94 STREET NW,Plan: 8120894  Block: 10  Lot: 99,53.64033,-113.48555,POINT (-113.48555 53.64033),LAGO LINDO,1987,Y,RF1,428.6970,355000.00,RESIDENTIAL,100,,,,
1007566,2019,,8339,152B AVENUE NW,Plan: 8023176  Block: 47  Lot: 119,53.61427,-113.47039,POINT (-113.47039 53.61427),EVANSDALE,1982,Y,RF1,481.9460,329000.00,RESIDENTIAL,100,,,,
1014810,2016,,10404,16 AVENUE NW,Plan: 8023036  Block: 12  Lot: 135,53.44659,-113.49406,POINT (-113.49406 53.44659),BEARSPAW,1983,Y,RF1,668.4580,402000.00,RESIDENTIAL,100,,,,
1014398,2016,,10435,14 AVENUE NW,Plan: 8023036  Block: 12  Lot: 112,53.44451,-113.4961,POINT (-113.4961 53.44451),BEARSPAW,1984,Y,RF1,510.7710,378500.00,RESIDENTIAL,100,,,,
1026913,2012,19,1020,41 STREET NW,Plan: 8120382  Unit: 15,53.43868,-113.40593,POINT (-113.40593 53.43868),CRAWFORD PLAINS,1979,N,RF5,237.2460,185000.00,RESIDENTIAL,100,,,,
1007475,2016,,17604,STONY PLAIN ROAD NW,Plan: 994KS  Lot: A,53.54204,-113.62528,POINT (-113.62528 53.54204),STONE INDUSTRIAL,2003,N,CHY,11212.8800,17933500.00,COMMERCIAL,100,,,,
1010545,2018,,77,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 1  Lot: 23,53.50691,-113.61266,POINT (-113.61266 53.50691),WESTRIDGE,2004,Y,RF1,817.2960,951000.00,RESIDENTIAL,100,,,,
1018514,2013,,10615,87 AVENUE NW,Plan: I12  Block: C,53.52241,-113.50426,POINT (-113.50426 53.52241),STRATHCONA,,N,RA9,68.6770,500.00,COMMERCIAL,100,,,,
1017300,2015,,622,WOLF WILLOW ROAD NW,Plan: 4697TR  Block: 9  Lot: 20,53.50623,-113.59986,POINT (-113.59986 53.50623),WESTRIDGE,1975,Y,RF1,612.9220,478500.00,RESIDENTIAL,100,,,,
1034586,2018,,10844,21 AVENUE NW,Plan: 8120954  Block: 2  Lot: 43A,53.45311,-113.50579,POINT (-113.50579 53.45311),KEHEEWIN,1982,Y,RF4,407.8040,325500.00,RESIDENTIAL,100,,,,
1036607,2014,,17916,94 STREET NW,Plan: 8120894  Block: 1  Lot: 235,53.64202,-113.48747,POINT (-113.48747 53.64202),LAGO LINDO,1987,Y,RF1,450.6690,357000.00,RESIDENTIAL,100,,,,
1028083,2014,9,10131,154 STREET NW,Plan: 8120494  Unit: 20,53.54294,-113.58631,POINT (-113.58631 53.54294),CANORA,1966,N,RA7,118.4660,97000.00,RESIDENTIAL,100,,,,
1011626,2019,,255,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 2  Lot: 25,53.50948,-113.61049,POINT (-113.61049 53.50948),WESTRIDGE,1975,Y,RF1,832.9050,696000.00,RESIDENTIAL,100,,,,
1037027,2019,,17720,94 STREET NW,Plan: 8120894  Block: 11  Lot: 10,53.64009,-113.4863,POINT (-113.4863 53.64009),LAGO LINDO,1987,Y,RF1,458.7830,342000.00,RESIDENTIAL,100,,,,
1010776,2019,,272,RHATIGAN ROAD WEST NW,Plan: 8023232  Block: 53  Lot: 4,53.47667,-113.58976,POINT (-113.58976 53.47667),RHATIGAN RIDGE,1983,Y,RF1,521.6010,523500.00,RESIDENTIAL,100,,,,
1007079,2019,,,,Plan: 8023176  Block: 31  Lot: 93PUL,53.61419,-113.4789,POINT (-113.4789 53.61419),EVANSDALE,,N,RF1,138.0110,0.00,COMMERCIAL,100,,,,
1014927,2014,,26,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 6  Lot: 20,53.50781,-113.60821,POINT (-113.60821 53.50781),WESTRIDGE,1975,Y,RF1,1391.8060,546500.00,RESIDENTIAL,100,,,,
1024488,2018,,18441,66 AVENUE NW,Plan: 8120597  Unit: 16,53.50028,-113.64085,POINT (-113.64085 53.50028),ORMSBY PLACE,1978,N,RF5,237.1530,171000.00,RESIDENTIAL,100,,,,
1010263,2017,,27,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 1  Lot: 11,53.50659,-113.60881,POINT (-113.60881 53.50659),WESTRIDGE,1975,Y,RF1,709.9920,636000.00,RESIDENTIAL,100,,,,
1012996,2017,,10623,10 AVENUE NW,Plan: 8023036  Block: 12  Lot: 37,53.43961,-113.49942,POINT (-113.49942 53.43961),BEARSPAW,1984,Y,RF1,510.8010,389000.00,RESIDENTIAL,100,,,,
1012863,2019,,116,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 3  Lot: 13,53.50784,-113.61378,POINT (-113.61378 53.50784),WESTRIDGE,1975,Y,RF1,587.1490,478500.00,RESIDENTIAL,100,,,,
1013168,2018,,44,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 4  Lot: 4,53.50761,-113.61055,POINT (-113.61055 53.50761),WESTRIDGE,1975,Y,RF1,1240.9100,670000.00,RESIDENTIAL,100,,,,
1007079,2014,,,,Plan: 8023176  Block: 31  Lot: 93PUL,53.61419,-113.4789,POINT (-113.4789 53.61419),EVANSDALE,,N,RF1,138.0110,0.00,RESIDENTIAL,100,,,,
1029644,2013,41,2020,105 STREET NW,Plan: 8120896  Unit: 40,53.4516,-113.50248,POINT (-113.50248 53.4516),KEHEEWIN,1980,N,RF5,246.9260,246500.00,RESIDENTIAL,100,,,,
1007459,2018,,8503,152B AVENUE NW,Plan: 8023176  Block: 47  Lot: 111,53.6143,-113.47212,POINT (-113.47212 53.6143),EVANSDALE,1982,Y,RF1,631.2840,410000.00,RESIDENTIAL,100,,,,
1011998,2016,,18240,99 AVENUE NW,Plan: 8022937  Block: 50  Lot: 28A,53.53607,-113.63835,POINT (-113.63835 53.53607),LA PERLE,1985,Y,RF1,558.3780,356500.00,RESIDENTIAL,100,,,,
1012921,2018,,10651,10 AVENUE NW,Plan: 8023036  Block: 12  Lot: 30,53.43961,-113.50107,POINT (-113.50107 53.43961),BEARSPAW,1984,Y,RF1,561.8720,422000.00,RESIDENTIAL,100,,,,
1016401,2012,,87,WOLF CRESCENT NW,Plan: 4697TR  Block: 8  Lot: 23,53.50723,-113.60011,POINT (-113.60011 53.50723),WESTRIDGE,1975,Y,RF1,1637.5270,634500.00,RESIDENTIAL,100,,,,
1036219,2018,,9523,180 AVENUE NW,Plan: 8120894  Block: 1  Lot: 197,53.64138,-113.4896,POINT (-113.4896 53.64138),LAGO LINDO,1986,Y,RF1,500.9030,439500.00,RESIDENTIAL,100,,,,
1034693,2017,,10866,21 AVENUE NW,Plan: 8120954  Block: 2  Lot: 49,53.45291,-113.50663,POINT (-113.50663 53.45291),KEHEEWIN,1984,Y,RF4,375.5440,346500.00,RESIDENTIAL,100,,,,
1016898,2014,,1232,104 STREET NW,Plan: 8023036  Block: 20  Lot: 18,53.44371,-113.49483,POINT (-113.49483 53.44371),BEARSPAW,1984,Y,RF1,475.0120,381500.00,RESIDENTIAL,100,,,,
1024942,2013,100,17413,107 AVENUE NW,Plan: 8120652  Unit: 1,53.55286,-113.6215,POINT (-113.6215 53.55286),MCNAMARA INDUSTRIAL,1980,N,IM,917.3740,970500.00,COMMERCIAL,100,,,,
1027838,2016,24,3812,20 AVENUE NW,Plan: 8120611  Unit: 73,53.45176,-113.40076,POINT (-113.40076 53.45176),DALY GROVE,1980,N,RF5,236.5510,202500.00,RESIDENTIAL,100,,,,
1029438,2018,19,2020,105 STREET NW,Plan: 8120896  Unit: 19,53.4516,-113.50248,POINT (-113.50248 53.4516),KEHEEWIN,1980,N,RF5,246.9260,243500.00,RESIDENTIAL,100,,,,
1027317,2014,1,3812,20 AVENUE NW,Plan: 8120611  Unit: 21,53.45176,-113.40076,POINT (-113.40076 53.45176),DALY GROVE,1980,N,RF5,236.5510,182000.00,RESIDENTIAL,100,,,,
1016641,2019,,10462,14 AVENUE NW,Plan: 8023036  Block: 19  Lot: 46,53.44482,-113.49712,POINT (-113.49712 53.44482),BEARSPAW,1983,Y,RF1,589.8400,389500.00,RESIDENTIAL,100,,,,
1082973,2018,,,,Plan: 8122243  Unit: 172,53.54077,-113.53211,POINT (-113.53211 53.54077),OLIVER,1975,N,DC1,0.4410,8500.00,RESIDENTIAL,100,,,,
1029636,2015,40,2020,105 STREET NW,Plan: 8120896  Unit: 39,53.4516,-113.50248,POINT (-113.50248 53.4516),KEHEEWIN,1980,N,RF5,246.9260,257500.00,RESIDENTIAL,100,,,,
1016138,2012,,1434,104 STREET NW,Plan: 8023036  Block: 19  Lot: 17,53.44581,-113.49542,POINT (-113.49542 53.44581),BEARSPAW,1983,Y,RF1,578.6990,380500.00,RESIDENTIAL,100,,,,
1008846,2015,,8632,152B AVENUE NW,Plan: 8023176  Block: 49  Lot: 25,53.61553,-113.47438,POINT (-113.47438 53.61553),EVANSDALE,1983,Y,RF1,865.4030,391500.00,RESIDENTIAL,100,,,,
1029941,2012,,6159,38 AVENUE NW,Plan: 8120902  Unit: 7,53.47351,-113.43127,POINT (-113.43127 53.47351),HILLVIEW,1980,N,RF5,237.0740,182500.00,RESIDENTIAL,100,,,,
1036862,2016,,17803,94 STREET NW,Plan: 8120894  Block: 10  Lot: 101,53.64057,-113.48555,POINT (-113.48555 53.64057),LAGO LINDO,1986,Y,RF1,428.7990,359000.00,RESIDENTIAL,100,,,,
1026046,2016,105,10738,108 STREET NW,Plan: 8120220  Unit: 4,53.55261,-113.50712,POINT (-113.50712 53.55261),CENTRAL MCDOUGALL,1980,N,RA8,62.2890,107000.00,RESIDENTIAL,100,,,,
1031491,2012,,1039,109 STREET NW,Plan: 8120984  Unit: 4,53.44148,-113.50558,POINT (-113.50558 53.44148),BEARSPAW,1980,Y,RF5,412.9220,337500.00,RESIDENTIAL,100,,,,
1021526,2014,,141,WOLF WILLOW CRESCENT NW,Plan: 7822494  Unit: 10,53.50215,-113.59804,POINT (-113.59804 53.50215),WESTRIDGE,1978,N,RF5,346.2410,400000.00,RESIDENTIAL,100,,,,
1011824,2012,,291,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 2  Lot: 35,53.50874,-113.60805,POINT (-113.60805 53.50874),WESTRIDGE,1975,Y,RF1,988.3610,691500.00,RESIDENTIAL,100,,,,
1026780,2013,31,1020,41 STREET NW,Plan: 8120382  Unit: 2,53.43868,-113.40593,POINT (-113.40593 53.43868),CRAWFORD PLAINS,1979,N,RF5,237.2460,185500.00,RESIDENTIAL,100,,,,
1032069,2013,,2556,79 STREET NW,Plan: 8120949  Unit: 30,53.45703,-113.45432,POINT (-113.45432 53.45703),MEYONOHK,1980,N,RF5,243.3440,184500.00,RESIDENTIAL,100,,,,
1013093,2015,,1003,106 STREET NW,Plan: 8023036  Block: 12  Lot: 43,53.43976,-113.49806,POINT (-113.49806 53.43976),BEARSPAW,1984,Y,RF1,557.6860,451500.00,RESIDENTIAL,100,,,,
1028109,2017,6,10131,154 STREET NW,Plan: 8120494  Unit: 22,53.54294,-113.58631,POINT (-113.58631 53.54294),CANORA,1966,N,RA7,80.5350,80500.00,RESIDENTIAL,100,,,,
1015965,2014,,7,WOLF CRESCENT NW,Plan: 4697TR  Block: 8  Lot: 2,53.50499,-113.59854,POINT (-113.59854 53.50499),WESTRIDGE,1985,Y,RF1,665.0490,618500.00,RESIDENTIAL,100,,,,
1029552,2014,32,2020,105 STREET NW,Plan: 8120896  Unit: 31,53.4516,-113.50248,POINT (-113.50248 53.4516),KEHEEWIN,1980,N,RF5,246.9260,249000.00,RESIDENTIAL,100,,,,
1006535,2016,108,14004,26 STREET NW,Plan: 8023191  Unit: 13,53.60417,-113.38284,POINT (-113.38284 53.60417),BANNERMAN,1980,N,RA7,150.2120,145000.00,RESIDENTIAL,100,,,,
1036888,2017,,17811,94 STREET NW,Plan: 8120894  Block: 10  Lot: 103,53.64083,-113.48555,POINT (-113.48555 53.64083),LAGO LINDO,1985,Y,RF1,473.6760,375500.00,RESIDENTIAL,100,,,,
1036318,2014,,18028,96 STREET NW,Plan: 8120894  Block: 1  Lot: 207,53.64245,-113.49041,POINT (-113.49041 53.64245),LAGO LINDO,1986,Y,RF1,749.7840,360500.00,RESIDENTIAL,100,,,,
1006980,2018,,8823,152B AVENUE NW,Plan: 8023176  Block: 31  Lot: 87,53.61421,-113.47767,POINT (-113.47767 53.61421),EVANSDALE,1983,Y,RF1,478.9400,334500.00,RESIDENTIAL,100,,,,
1033364,2019,,10616,153 STREET NW,Plan: 8120602  Block: 27  Lot: 17B,53.55004,-113.58559,POINT (-113.58559 53.55004),CANORA,1970,Y,RF2,344.1980,278000.00,RESIDENTIAL,100,,,,
1031996,2018,,2570,79 STREET NW,Plan: 8120949  Unit: 23,53.45703,-113.45432,POINT (-113.45432 53.45703),MEYONOHK,1980,N,RF5,243.3440,197500.00,RESIDENTIAL,100,,,,
1017953,2016,,1023,107 STREET NW,Plan: 8023036  Block: 21  Lot: 40,53.44041,-113.50137,POINT (-113.50137 53.44041),BEARSPAW,1984,Y,RF1,662.9210,432000.00,RESIDENTIAL,100,,,,
1014976,2012,,10436,16 AVENUE NW,Plan: 8023036  Block: 12  Lot: 143,53.44653,-113.49603,POINT (-113.49603 53.44653),BEARSPAW,1983,Y,RF1,510.8020,377000.00,RESIDENTIAL,100,,,,
1032283,2014,105,8108,125 AVENUE NW,Plan: 8120903  Unit: 4,53.58166,-113.46677,POINT (-113.46677 53.58166),ELMWOOD PARK,1965,N,RA7,55.3990,49500.00,RESIDENTIAL,100,,,,
1006568,2019,205,14004,26 STREET NW,Plan: 8023191  Unit: 16,53.60417,-113.38284,POINT (-113.38284 53.60417),BANNERMAN,1980,N,RA7,119.1330,97000.00,RESIDENTIAL,100,,,,
1026244,2015,404,10738,108 STREET NW,Plan: 8120220  Unit: 24,53.55261,-113.50712,POINT (-113.50712 53.55261),CENTRAL MCDOUGALL,1980,N,RA8,62.7070,109000.00,RESIDENTIAL,100,,,,
1030089,2019,,6131,38 AVENUE NW,Plan: 8120902  Unit: 21,53.47351,-113.43127,POINT (-113.43127 53.47351),HILLVIEW,1980,N,RF5,242.0820,216000.00,RESIDENTIAL,100,,,,
1009471,2016,,909,RICE ROAD NW,Plan: 8023232  Block: 51  Lot: 56,53.47784,-113.58518,POINT (-113.58518 53.47784),RHATIGAN RIDGE,1981,Y,RF1,1095.4530,637500.00,RESIDENTIAL,100,,,,
1009778,2017,,727,RIDDELL STREET NW,Plan: 8023232  Block: 51  Lot: 77,53.47953,-113.58995,POINT (-113.58995 53.47953),RHATIGAN RIDGE,1981,Y,RF1,705.7410,595500.00,RESIDENTIAL,100,,,,
1035708,2013,,9523,178 AVENUE NW,Plan: 8120894  Block: 1  Lot: 150A,53.63983,-113.48964,POINT (-113.48964 53.63983),LAGO LINDO,1988,Y,RF4,369.0190,302000.00,RESIDENTIAL,100,,,,
1012335,2013,,15116,45 AVENUE NW,Plan: 8023171  Unit: 7,53.48456,-113.58192,POINT (-113.58192 53.48456),RAMSAY HEIGHTS,1980,Y,RF5,354.0880,307000.00,RESIDENTIAL,100,,,,
1010875,2013,,252,RHATIGAN ROAD WEST NW,Plan: 8023232  Block: 53  Lot: 9,53.47686,-113.58853,POINT (-113.58853 53.47686),RHATIGAN RIDGE,1983,Y,RF1,689.1810,451000.00,RESIDENTIAL,100,,,,
1024660,2017,,6526,184 STREET NW,Plan: 8120597  Unit: 34,53.50028,-113.64085,POINT (-113.64085 53.50028),ORMSBY PLACE,1978,N,RF5,231.1030,190500.00,RESIDENTIAL,100,,,,
1033448,2018,,18423,96A AVENUE NW,Plan: 8120095  Block: 52  Lot: 2A,53.53208,-113.64119,POINT (-113.64119 53.53208),LA PERLE,1981,Y,RPL,349.6810,324500.00,RESIDENTIAL,100,,,,
1032168,2012,,2586,79 STREET NW,Plan: 8120949  Unit: 40,53.45703,-113.45432,POINT (-113.45432 53.45703),MEYONOHK,1980,N,RF5,241.0700,184000.00,RESIDENTIAL,100,,,,
1029628,2012,39,2020,105 STREET NW,Plan: 8120896  Unit: 38,53.4516,-113.50248,POINT (-113.50248 53.4516),KEHEEWIN,1980,N,RF5,246.9260,233000.00,RESIDENTIAL,100,,,,
1018365,2017,,90,WILLOW WAY NW,Plan: 7921480  Unit: 16,53.50354,-113.60145,POINT (-113.60145 53.50354),WESTRIDGE,1978,Y,RF5,536.3510,437000.00,RESIDENTIAL,100,,,,
1028349,2013,25,10453,20 AVENUE NW,Plan: 8120013  Unit: 17,53.44972,-113.49878,POINT (-113.49878 53.44972),KEHEEWIN,1980,N,RF5,238.6820,224000.00,RESIDENTIAL,100,,,,
1002534,2013,,12,WEDGEWOOD CRESCENT NW,Plan: 6483KS  Block: 1  Lot: 1,53.48112,-113.64034,POINT (-113.64034 53.48112),WEDGEWOOD HEIGHTS,1969,Y,RR,4528.7480,670000.00,RESIDENTIAL,100,,,,
1016690,2013,,1215,105 STREET NW,Plan: 8023036  Block: 20  Lot: 4,53.44299,-113.49685,POINT (-113.49685 53.44299),BEARSPAW,1984,Y,RF1,553.1630,369500.00,RESIDENTIAL,100,,,,
1025709,2015,2,12725,81 STREET NW,Plan: 8120373  Unit: 4,53.58543,-113.46504,POINT (-113.46504 53.58543),BALWIN,1965,N,RA9,154.1310,104500.00,RESIDENTIAL,100,,,,
1029834,2018,60,2020,105 STREET NW,Plan: 8120896  Unit: 59,53.4516,-113.50248,POINT (-113.50248 53.4516),KEHEEWIN,1980,N,RF5,246.9260,246500.00,RESIDENTIAL,100,,,,
1032333,2016,206,8108,125 AVENUE NW,Plan: 8120903  Unit: 9,53.58166,-113.46677,POINT (-113.46677 53.58166),ELMWOOD PARK,1965,N,RA7,100.2810,93000.00,RESIDENTIAL,100,,,,
1026558,2018,202,11211,109 AVENUE NW,Plan: 8120428  Unit: 4,53.55441,-113.51448,POINT (-113.51448 53.55441),QUEEN MARY PARK,1980,N,RA7,119.4040,88000.00,RESIDENTIAL,100,,,,
1010479,2017,,910,RICE ROAD NW,Plan: 8023232  Block: 52  Lot: 44,53.47838,-113.58673,POINT (-113.58673 53.47838),RHATIGAN RIDGE,1984,Y,RF1,607.6810,549000.00,RESIDENTIAL,100,,,,
1034560,2017,,10840,21 AVENUE NW,Plan: 8120954  Block: 2  Lot: 42A,53.45291,-113.50581,POINT (-113.50581 53.45291),KEHEEWIN,1982,Y,RF4,375.5580,323500.00,RESIDENTIAL,100,,,,
1017656,2013,,1016,106 STREET NW,Plan: 8023036  Block: 21  Lot: 23,53.44037,-113.49875,POINT (-113.49875 53.44037),BEARSPAW,1984,Y,RF1,568.2720,372000.00,RESIDENTIAL,100,,,,
1007657,2019,,8307,152B AVENUE NW,Plan: 8023176  Block: 47  Lot: 128,53.61426,-113.46852,POINT (-113.46852 53.61426),EVANSDALE,1983,Y,RF1,508.1580,402500.00,RESIDENTIAL,100,,,,
1036003,2018,,9543,178A AVENUE NW,Plan: 8120894  Block: 1  Lot: 176,53.6407,-113.49083,POINT (-113.49083 53.6407),LAGO LINDO,1982,Y,RF1,1178.5740,349500.00,RESIDENTIAL,100,,,,
1030717,2013,33,10160,119 STREET NW,Plan: 8120783  Unit: 33,53.54227,-113.52735,POINT (-113.52735 53.54227),OLIVER,1980,N,RA8,59.4920,229500.00,RESIDENTIAL,100,,,,
1031251,2014,208,11026,106 STREET NW,Plan: 8120692  Unit: 8,53.55767,-113.50345,POINT (-113.50345 53.55767),CENTRAL MCDOUGALL,1979,N,RA7,122.4260,179500.00,RESIDENTIAL,100,,,,
1032259,2019,102,8108,125 AVENUE NW,Plan: 8120903  Unit: 1,53.58166,-113.46677,POINT (-113.46677 53.58166),ELMWOOD PARK,1965,N,RA7,81.1730,54000.00,RESIDENTIAL,100,,,,
1027721,2013,58,3812,20 AVENUE NW,Plan: 8120611  Unit: 62,53.45176,-113.40076,POINT (-113.40076 53.45176),DALY GROVE,1980,N,RF5,236.5510,182500.00,RESIDENTIAL,100,,,,
1084375,2015,,,,Plan: 8122243  Unit: 248,53.54077,-113.53211,POINT (-113.53211 53.54077),OLIVER,1975,N,DC1,0.4410,9000.00,RESIDENTIAL,100,,,,
1020734,2016,,154,WOLF WILLOW CRESCENT NW,Plan: 7521087  Block: 13  Lot: 14,53.5017,-113.59653,POINT (-113.59653 53.5017),WESTRIDGE,1976,Y,RF1,1038.9470,763000.00,RESIDENTIAL,100,,,,
1030162,2015,,6115,38 AVENUE NW,Plan: 8120902  Unit: 29,53.47351,-113.43127,POINT (-113.43127 53.47351),HILLVIEW,1980,N,RF5,237.0740,224000.00,RESIDENTIAL,100,,,,
1016013,2017,,10419,16 AVENUE NW,Plan: 8023036  Block: 19  Lot: 11,53.44608,-113.4951,POINT (-113.4951 53.44608),BEARSPAW,1983,Y,RF1,510.7530,384500.00,RESIDENTIAL,100,,,,
1027069,2016,4,1020,41 STREET NW,Plan: 8120382  Unit: 30,53.43868,-113.40593,POINT (-113.40593 53.43868),CRAWFORD PLAINS,1979,N,RF5,237.2460,212500.00,RESIDENTIAL,100,,,,
1017565,2016,,613,WOLF WILLOW ROAD NW,Plan: 4697TR  Block: 10  Lot: 4,53.50609,-113.60162,POINT (-113.60162 53.50609),WESTRIDGE,1977,Y,RF1,931.8630,573000.00,RESIDENTIAL,100,,,,
1015585,2016,,526,WOLF WILLOW ROAD NW,Plan: 4697TR  Block: 6  Lot: 53,53.50716,-113.6069,POINT (-113.6069 53.50716),WESTRIDGE,1976,Y,RF1,724.6930,512000.00,RESIDENTIAL,100,,,,
1009224,2019,,17904,STONY PLAIN ROAD NW,Plan: 8023059  Lot: B,53.54205,-113.63152,POINT (-113.63152 53.54205),MORIN INDUSTRIAL,1985,N,CHY,4017.2010,1018500.00,COMMERCIAL,100,,,,
1031921,2017,,7927,27 AVENUE NW,Plan: 8120949  Unit: 16,53.45703,-113.45432,POINT (-113.45432 53.45703),MEYONOHK,1980,N,RF5,241.0700,198000.00,RESIDENTIAL,100,,,,
1010669,2013,,101,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 1  Lot: 29,53.50702,-113.61449,POINT (-113.61449 53.50702),WESTRIDGE,1983,Y,RF1,1383.5490,535000.00,RESIDENTIAL,100,,,,
1010792,2016,,268,RHATIGAN ROAD WEST NW,Plan: 8023232  Block: 53  Lot: 5,53.4767,-113.58954,POINT (-113.58954 53.4767),RHATIGAN RIDGE,1984,Y,RF1,574.1410,507000.00,RESIDENTIAL,100,,,,
1007202,2013,,8838,152B AVENUE NW,Plan: 8023176  Block: 31  Lot: 103,53.61478,-113.47853,POINT (-113.47853 53.61478),EVANSDALE,1981,Y,RF1,577.1120,369000.00,RESIDENTIAL,100,,,,
1034172,2013,,68,STIRLING ROAD NW,Plan: 8120687  Block: 31  Lot: 44B,53.62149,-113.50366,POINT (-113.50366 53.62149),BEAUMARIS,1980,N,RF4,418.7580,248000.00,RESIDENTIAL,100,,,,
1006733,2012,306,14004,26 STREET NW,Plan: 8023191  Unit: 28,53.60417,-113.38284,POINT (-113.38284 53.60417),BANNERMAN,1980,N,RA7,119.1330,125500.00,RESIDENTIAL,100,,,,
1014943,2015,,28,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 6  Lot: 21,53.50795,-113.60837,POINT (-113.60837 53.50795),WESTRIDGE,1975,Y,RF1,1028.1010,587500.00,RESIDENTIAL,100,,,,
1035823,2014,,9532,178 AVENUE NW,Plan: 8120894  Block: 1  Lot: 158,53.64031,-113.49002,POINT (-113.49002 53.64031),LAGO LINDO,1987,Y,RF1,469.1420,354500.00,RESIDENTIAL,100,,,,
1016419,2019,,10432,14 AVENUE NW,Plan: 8023036  Block: 19  Lot: 32,53.44496,-113.49622,POINT (-113.49622 53.44496),BEARSPAW,1984,Y,RF1,612.9030,421000.00,RESIDENTIAL,100,,,,
1002591,2016,,10,WEDGEWOOD CRESCENT NW,Plan: 6483KS  Block: 1  Lot: 3,53.48127,-113.64177,POINT (-113.64177 53.48127),WEDGEWOOD HEIGHTS,1969,Y,RR,4441.7730,912500.00,RESIDENTIAL,100,,,,
1010362,2016,,39,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 1  Lot: 15,53.50688,-113.61018,POINT (-113.61018 53.50688),WESTRIDGE,1974,Y,RF1,1168.1090,570000.00,RESIDENTIAL,100,,,,
1013697,2014,,10419,12 AVENUE NW,Plan: 8023036  Block: 12  Lot: 77,53.44225,-113.49535,POINT (-113.49535 53.44225),BEARSPAW,1984,Y,RF1,612.8550,458500.00,RESIDENTIAL,100,,,,
1007798,2019,,15249,83 STREET NW,Plan: 8023176  Block: 47  Lot: 137,53.61537,-113.46796,POINT (-113.46796 53.61537),EVANSDALE,1983,Y,RF1,710.3500,447500.00,RESIDENTIAL,100,,,,
1014208,2018,,234,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 5  Lot: 20,53.50974,-113.61231,POINT (-113.61231 53.50974),WESTRIDGE,1975,Y,RF1,580.3320,526000.00,RESIDENTIAL,100,,,,
1026210,2013,406,10738,108 STREET NW,Plan: 8120220  Unit: 21,53.55261,-113.50712,POINT (-113.50712 53.55261),CENTRAL MCDOUGALL,1980,N,RA8,58.2480,106000.00,RESIDENTIAL,100,,,,
1016658,2018,,1203,105 STREET NW,Plan: 8023036  Block: 20  Lot: 1,53.44253,-113.49702,POINT (-113.49702 53.44253),BEARSPAW,1984,Y,RF1,623.1090,427000.00,RESIDENTIAL,100,,,,
1003607,2013,,,,Plan: 3423RS  Lot: R,53.48114,-113.6292,POINT (-113.6292 53.48114),RIVER VALLEY OLESKIW,,N,A,25612.9610,126500.00,COMMERCIAL,100,,,,
1013648,2018,,31,WESTRIDGE CRESCENT NW,Plan: 4697TR  Block: 4  Lot: 25,53.50858,-113.61255,POINT (-113.61255 53.50858),WESTRIDGE,1975,Y,RF1,806.8820,623500.00,RESIDENTIAL,100,,,,
1011386,2015,,203,WESTRIDGE ROAD NW,Plan: 4697TR  Block: 2  Lot: 14U,53.51114,-113.61231,POINT (-113.61231 53.51114),WESTRIDGE,,N,RF1,682.7350,11500.00,RESIDENTIAL,100,,,,
