PermitNum,PermitClass,PermitClassMapped,PermitTypeMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,AppliedDate,IssuedDate,ExpiresDate,CompletedDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1
6790508-CN,Single Family/Duplex,Residential,Building,New,"***PLAN REVIEW REQ'D***Project is to build a new garage at alley level, with an art studio (and possibly living space) above it, accessible from backyard level. Demo existing garage but re-use foundation.",1,1,1,21000,,,,,Scheduled,9231 24TH AVE SW,SEATTLE,WA,98106,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6790508-CN,47.52008794,-122.36350132,"9231 24TH AVE SW
SEATTLE, WA 98106
(47.52008794, -122.36350132)"
6750978-DM,Single Family/Duplex,Residential,Demolition,,"Demo existing single family residence and accessory structures, per plan.",1,1,5,1043550,2020-01-10,2020-09-30,2022-03-30,,Issued,9239 14TH AVE NW,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6750978-DM,47.6972014,-122.3744464,"9239 14TH AVE NW
SEATTLE, WA 98117
(47.6972014, -122.3744464)"
6811803-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,Add a retaining wall and patio in south yard.,,,,15000,,,,,Additional Info Requested,204 ward ST,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6811803-CN,47.62833548,-122.35255667,"204 ward ST
(47.62833548, -122.35255667)"
6467867-CN,Commercial,Non-Residential,Building,New,"Shoring and excavation for future construction of a residential and retail building with below grade parking, per plan.",,0,0,600000,2015-05-15,2017-09-16,2022-03-16,,Issued,743 N 35TH ST,SEATTLE,WA,98103,BRIER PROJECT MANAGEMENT LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6467867-CN,47.64993468,-122.34803266,"743 N 35TH ST
SEATTLE, WA 98103
(47.64993468, -122.34803266)"
6699020-CN,Multifamily,Residential,Building,New,"Construct WEST townhouse building, per plan (Establish use as and construct east and west townhouse residences; review and process for to records under 6693199-CN).",1,1,6,452154,2019-02-19,2019-11-01,2021-05-01,2020-10-20,Completed,6915 CARLETON AVE S,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699020-CN,47.54079266,-122.32256955,"6915 CARLETON AVE S
(47.54079266, -122.32256955)"
6800610-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,Construct new garage in rear yard per plans. Subject to field inspection (STFI).,,,,40000,2020-09-15,2020-09-16,2022-03-16,,Issued,850 33RD AVE E,SEATTLE,WA,98112,MCKINNEY GROUP,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6800610-CN,47.62769538,-122.28921832,"850 33RD AVE E
SEATTLE, WA 98112
(47.62769538, -122.28921832)"
6781802-CN,Commercial,Non-Residential,Building,Addition/Alteration,"Construct alterations to structurally reinforce an existing telecommunications tower, per plan.",,,,15000,,,,,Additional Info Requested,1715 E MADISON ST,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6781802-CN,47.61565184,-122.30950122,"1715 E MADISON ST
SEATTLE, WA 98122
(47.61565184, -122.30950122)"
6811800-DM,Single Family/Duplex,Residential,Demolition,,DEMOLISH EXISTING SFR. CONSTRUCT TWO NEW SFR WITH PARKING PER PLAN. FUTURE UNIT LOT SUBDIVISION. (North - Lot 3),,,,350000,,,,,Scheduled,4406 39th AVE SW,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6811800-DM,47.56440285,-122.38104726,"4406 39th AVE SW
(47.56440285, -122.38104726)"
6709414-CN,Single Family/Duplex,Residential,Building,New,"Establish use and Construct single-family residence, per plan.",0,0,1,407965,2019-02-26,2019-12-10,2021-06-10,,Completed,9058 PALATINE AVE N,SEATTLE,WA,98103,DMITRIY STAROVEROV,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709414-CN,47.69588706,-122.35650614,"9058 PALATINE AVE N
SEATTLE, WA 98103
(47.69588706, -122.35650614)"
6802357-CN,Commercial,Non-Residential,Building,Addition/Alteration,"Repair and replace exterior cornice for commercial building, per plan.",,,,150000,2020-10-07,,,,Reviews In Process,411 1ST AVE S,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6802357-CN,47.5987815,-122.33459085,"411 1ST AVE S
(47.5987815, -122.33459085)"
6812233-CN,Single Family/Duplex,Residential,Building,New,Remove an existing detached garage and construct a new DADU with a garage on the main floor and an apartment on the second floor.,1,0,1,200000,,,,,Scheduled,5622 Keystone PL N,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6812233-CN,47.66939538,-122.33313902,"5622 Keystone PL N
(47.66939538, -122.33313902)"
6777162-DM,Single Family/Duplex,Residential,Demolition,,"Demolish existing structures, subject to field inspection (STFI).",,,,400000,2020-10-30,2020-11-02,2022-05-02,,Issued,11342 23rd AVE NE,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6777162-DM,47.7115195,-122.30385206,"11342 23rd AVE NE
(47.7115195, -122.30385206)"
6783880-EX,Institutional,Non-Residential,Building,Street Improvement Exception,"Viewlands Elementary SchoolBuild new Viewlands Elementary School (TYPE 2 PRIORITY). Related site work to include parking, loading areas, playfields and utilities. Existing Viewlands Elementary School will be demolished and portables removed.",,,,58700000,2020-05-22,,,,Completed,10525 3RD AVE NW,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6783880-EX,47.70597862,-122.36114406,"10525 3RD AVE NW
SEATTLE, WA 98177
(47.70597862, -122.36114406)"
6804938-CN,Multifamily,Residential,Building,New,Demolish existing family house and construct (4) townhouse units with surface parking,1,1,4,300000,,,,,Scheduled,2227 NW 63RD ST,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6804938-CN,47.67440135,-122.38598564,"2227 NW 63RD ST
SEATTLE, WA 98107
(47.67440135, -122.38598564)"
6783600-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,adding a deck to a existing single family home replacing existing window with a door to help with egress,,,,5000,,,,,Scheduled,1119 ELM PL SW,SEATTLE,WA,98116,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6783600-CN,47.59317967,-122.38406241,"1119 ELM PL SW
SEATTLE, WA 98116
(47.59317967, -122.38406241)"
6644555-CN,Multifamily,Residential,Building,New,"Establish use as rowhouse and construct townhouse building, per plan.",,,,1085878,2018-06-28,,,,Corrections Required,3646 13TH AVE W,SEATTLE,WA,98119,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6644555-CN,47.65357971,-122.37330733,"3646 13TH AVE W
SEATTLE, WA 98119
(47.65357971, -122.37330733)"
6799585-EX,Single Family/Duplex,Residential,Building,Shoreline Exemption,"We propose to repair both docks on the property (North and South); North Dock: We propose to remove (4) mooring piles, remove (4) dock piles,remove the 28L.F finger, repair (6) existing wood piles and redeck the dock with thruflow grated decking; South Dock: We propose to remove (8) dock piles, removedecking approx 27' out while reconstructing dock ELL to be rectangular, repair (23) existing piles and redeck the dock with thruflow grated decking.",,,,229775,2020-09-08,,,,Completed,4939 NE LAURELCREST LN,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6799585-EX,47.65371143,-122.27494943,"4939 NE LAURELCREST LN
SEATTLE, WA 98105
(47.65371143, -122.27494943)"
6800692-CN,Single Family/Duplex,Residential,Building,New,Construct a 814 SF Detached Accessory Dwelling Unit to replace existing detached garage structure with off-street parking in front yard.,1,0,1,200000,,,,,Additional Info Requested,9546 46TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6800692-CN,47.69888038,-122.27853756,"9546 46TH AVE NE
SEATTLE, WA 98115
(47.69888038, -122.27853756)"
6769370-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct alterations to existing single family residence, subject to field inspection (STFI).  REVISION 03/13/2020: Add 3 new egress windows, fur/insulate all perimeter walls on main level (substantial alterations), subject to field inspection (STFI).",,,,30000,2020-01-30,2020-01-30,2021-07-30,2020-10-14,Completed,906 22ND AVE,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6769370-CN,47.61028,-122.30351139,"906 22ND AVE
SEATTLE, WA 98122
(47.61028, -122.30351139)"
6675499-CN,Multifamily,Residential,Building,New,"Construct south townhouse structure #1, per plan. (Establish use as rowhouse and construct 2 townhouse structures with surface parking. Review and process for 2 record numbers under 6675499-CN)",0,0,6,442577,2018-10-10,2019-07-18,2021-01-18,2020-11-20,Completed,2210 NW 59TH ST,SEATTLE,WA,98107,MRN HOMES INC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6675499-CN,47.67184857,-122.3853952,"2210 NW 59TH ST
SEATTLE, WA 98107
(47.67184857, -122.3853952)"
6779479-CN,Single Family/Duplex,Residential,Building,New,"Construct west SFR w/ AADU (Establish use as and construct (2) single family residences w/ attached accessory dwelling unit (AADU), per plan.  Review and process (2) records under 6779479-CN)",1,1,4,360648,2020-08-20,,,,Corrections Required,2511 E FIR ST,SEATTLE,WA,98122,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6779479-CN,47.60253699,-122.29935987,"2511 E FIR ST
SEATTLE, WA 98122
(47.60253699, -122.29935987)"
6680527-CN,Industrial,Non-Residential,Building,Addition/Alteration,"Change use from warehouse to research office on portion of level 3 of a mixed use building, construct alterations for same, occupy per plans",0,0,0,9491165,2020-04-07,2020-09-30,2022-03-30,,Issued,6050 EAST MARGINAL WAY S,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6680527-CN,47.54806005,-122.33134132,"6050 EAST MARGINAL WAY S
SEATTLE, WA 98108
(47.54806005, -122.33134132)"
6692271-CN,Single Family/Duplex,Residential,Building,New,"Establish use and construct new single-family residence, per plan.",1,1,1,410159,2018-12-04,2019-05-09,2020-11-09,2020-11-06,Completed,3047 NW 59TH ST,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6692271-CN,47.6715023,-122.39764598,"3047 NW 59TH ST
SEATTLE, WA 98107
(47.6715023, -122.39764598)"
6792746-CN,Multifamily,Residential,Building,Addition/Alteration,"Construct alterations to minor telecommunications facility [T-MOBILE] at the rooftop level of mixed-use residential building, per plan.",0,0,0,25000,2020-08-07,2020-11-18,2022-05-18,,Issued,121 VINE ST,SEATTLE,WA,98121,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6792746-CN,47.61553253,-122.34883741,"121 VINE ST
SEATTLE, WA 98121
(47.61553253, -122.34883741)"
6806510-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct non-structural alterations to replace windows for single-family residence, subject to field inspection [STFI].",,,,6877,2020-10-20,2020-10-20,2022-04-20,,Issued,6533 20TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6806510-CN,47.67682781,-122.30691999,"6533 20TH AVE NE
SEATTLE, WA 98115
(47.67682781, -122.30691999)"
6716604-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct 2nd story addition and alterations to existing single family residence, per plan.",1,0,0,40000,2019-05-09,2019-06-18,2020-12-18,2020-10-20,Completed,6532 30TH AVE NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6716604-CN,47.67676138,-122.29487158,"6532 30TH AVE NE
SEATTLE, WA 98115
(47.67676138, -122.29487158)"
6611143-CN,Commercial,Non-Residential,Building,Addition/Alteration,"Interior alterations to existing customer service office and alterations to parking for accessibility improvements, per plans.",,0,0,80000,2017-11-20,2018-07-05,2021-07-05,,Issued,4825 RAINIER AVE S,SEATTLE,WA,98118,WESTMARK CONSTRUCTION,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6611143-CN,47.55883684,-122.28598431,"4825 RAINIER AVE S
SEATTLE, WA 98118
(47.55883684, -122.28598431)"
6742370-CN,Single Family/Duplex,Residential,Building,New,"Establish use as and construct single family residence, per plan.",,,,450000,2020-02-06,,,,Corrections Required,3741 SW 98TH ST,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6742370-CN,47.51537001,-122.38116164,"3741 SW 98TH ST
SEATTLE, WA 98126
(47.51537001, -122.38116164)"
6401135-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,Construct additions and alterations to existing single family residence per plan. RENEWAL from 3.20.2018 to 9.20.2019,,0,0,300000,2014-11-20,2015-03-20,2019-09-20,,Completed,1313 NW NORCROSS WAY,SEATTLE,WA,98177,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6401135-CN,47.70815768,-122.37334312,"1313 NW NORCROSS WAY
SEATTLE, WA 98177
(47.70815768, -122.37334312)"
6781804-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct a combined detached garage/ detached accessory dwelling unit for a single-family residence, per plan.",,,,187655,2020-07-28,,,,Reviews In Process,2310 S VERN CT,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6781804-CN,47.55275104,-122.30346728,"2310 S VERN CT
SEATTLE, WA 98108
(47.55275104, -122.30346728)"
6763821-DM,Commercial,Non-Residential,Demolition,Demolition,"Demo existing commercial building, per plan.",,,,0,2020-08-14,2020-09-30,2022-03-30,,Issued,1932 9TH AVE,SEATTLE,WA,98101,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6763821-DM,47.61640831,-122.33535962,"1932 9TH AVE
SEATTLE, WA 98101
(47.61640831, -122.33535962)"
6783415-CN,Commercial,Non-Residential,Building,Addition/Alteration,"Change use of portion of first floor from retail to café and construct tenant improvements for Can't Hot, per plan.",0,0,0,30000,2020-09-28,2020-10-27,2022-04-27,,Issued,523 MAYNARD AVE S,SEATTLE,WA,98104,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6783415-CN,47.59769241,-122.32538156,"523 MAYNARD AVE S
SEATTLE, WA 98104
(47.59769241, -122.32538156)"
6793143-GR,Institutional,Non-Residential,Grading,,Run fiber optic cable and conduit to the Mt. Baker Rowing & Sailing facility.,,,,300000,,,,,Withdrawn,3800 Lake Washington BLVD S,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6793143-GR,47.57046164,-122.27764459,"3800 Lake Washington BLVD S
(47.57046164, -122.27764459)"
6809380-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Alterations to remodel basement, main floor and portion of upper floor of single family residence, subject to field inspection.",,,,250000,2020-11-06,2020-11-06,2022-05-06,,Issued,1160 20th AVE E,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6809380-CN,47.63043866,-122.30567871,"1160 20th AVE E
(47.63043866, -122.30567871)"
6708735-CN,Multifamily,Residential,Building,New,"Establish use as rowhouse and construct 3-unit townhouse, per plan.",1,1,3,563518,2019-03-28,,,,Corrections Required,9413 ROOSEVELT WAY NE,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6708735-CN,47.69717776,-122.31785402,"9413 ROOSEVELT WAY NE
SEATTLE, WA 98115
(47.69717776, -122.31785402)"
6738418-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Fire damage repair and alterations throughout single family residence, per plans.",1,0,0,225000,2019-08-01,2019-09-20,2021-03-20,2020-09-15,Completed,2533 NE 92ND ST,SEATTLE,WA,98115,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6738418-CN,47.6953857,-122.30002634,"2533 NE 92ND ST
SEATTLE, WA 98115
(47.6953857, -122.30002634)"
6509366-CN,Multifamily,Residential,Building,New,"Construct new mixed building, occupy per plan.",,0,48,3667505,2016-06-01,2018-10-09,2021-10-09,,Issued,3519 FREMONT PL N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6509366-CN,47.65092988,-122.35110434,"3519 FREMONT PL N
SEATTLE, WA 98103
(47.65092988, -122.35110434)"
6771282-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct substantial alterations to convert garage to detached accessory dwelling unit (DADU) to existing single family residence, per plan.",1,0,1,32122,2020-04-08,2020-07-24,2022-01-24,2020-11-06,Completed,5648 38TH AVE SW,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6771282-CN,47.55055998,-122.37981923,"5648 38TH AVE SW
SEATTLE, WA 98126
(47.55055998, -122.37981923)"
6810702-EX,Multifamily,Residential,Building,Environmentally Critical Area Exemption,"We need to replace temporary water supply pipe, which was installed after our original water pipe broke due to shifting soils.  Since it is on a steep slope with sandy soil prone to sliding, our engineers have designed a system to bring the pipe up the slope above ground, rather than bury it again in the soil, as is usual.  The manager of SPU Plumbing Inspection office, Bob Hubbert, has reviewed the plans and told us to proceed.  Rob MacIntosh, of the SDIC office, reviewed the plans and thinks",,,,40000,2020-11-15,,,,Reviews In Process,2565 DEXTER AVE N,SEATTLE,WA,98109,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6810702-EX,47.6436483,-122.34646235,"2565 DEXTER AVE N
SEATTLE, WA 98109
(47.6436483, -122.34646235)"
6811209-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Interior remodel of 2nd floor bathroom, subject to field inspection (STFI). =",,,,12000,2020-11-18,2020-11-18,2022-05-18,,Issued,5714 43RD AVE NE,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6811209-CN,47.6708298,-122.2818818,"5714 43RD AVE NE
SEATTLE, WA 98105
(47.6708298, -122.2818818)"
6735769-CN,Single Family/Duplex,Residential,Building,New,"Establish use as and construct new duplex, per plan.",1,1,7,433583,2019-12-19,2020-10-07,2022-04-07,,Issued,1472 NW 80TH ST,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6735769-CN,47.68709133,-122.37571668,"1472 NW 80TH ST
SEATTLE, WA 98117
(47.68709133, -122.37571668)"
6549598-CN,Multifamily,Residential,Building,New,"Establish use as and construct new apartment building, per plan.",,0,14,573607,2016-12-30,2017-09-30,2020-09-30,,Expired,4263 7TH AVE NE,SEATTLE,WA,98105,WAYNE DAKE,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6549598-CN,47.65931526,-122.32111021,"4263 7TH AVE NE
SEATTLE, WA 98105
(47.65931526, -122.32111021)"
6780346-CN,Commercial,Non-Residential,Building,Addition/Alteration,"Construct interior alterations to retail store [ROSS] at shopping mall [WESTWOOD VILLAGE], per plan.",0,0,0,45000,2020-05-12,2020-10-20,2022-04-20,,Ready for Issuance,2600 SW BARTON ST,SEATTLE,WA,98126,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6780346-CN,47.52254474,-122.36628417,"2600 SW BARTON ST
SEATTLE, WA 98126
(47.52254474, -122.36628417)"
6778536-CN,Multifamily,Residential,Building,New,"Construct duplex and occupy, per plan (Establish use as rowhouse and townhouse and construction one townhouse and one duplex/review & process for 2 AP's under #6724589-CN). per plans",1,1,6,418418,2020-04-02,2020-10-20,2022-04-20,,Issued,825 NW 54TH ST,SEATTLE,WA,98107,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6778536-CN,47.66769848,-122.36730805,"825 NW 54TH ST
SEATTLE, WA 98107
(47.66769848, -122.36730805)"
6786742-DM,Single Family/Duplex,Residential,Demolition,Demolition,"Demolish existing structures, per plan.",1,1,0,5000,2020-08-03,2020-11-02,2022-05-02,,Issued,7359 20TH AVE NW,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6786742-DM,47.68303364,-122.38245533,"7359 20TH AVE NW
SEATTLE, WA 98117
(47.68303364, -122.38245533)"
6800695-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct interior alterations to a single-family residence to create an attached accessory dwelling unit (AADU) in the basement, per plan",1,0,2,129661,2020-10-16,,,,Corrections Required,6524 4TH AVE NW,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6800695-CN,47.67674381,-122.36122497,"6524 4TH AVE NW
SEATTLE, WA 98117
(47.67674381, -122.36122497)"
6772524-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,Construct interior alterations to existing single family residence subject to field inspection (STFI),,,,60000,2020-02-19,2020-02-19,2021-08-19,,Completed,8649 39TH AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6772524-CN,47.52465272,-122.28400221,"8649 39TH AVE S
SEATTLE, WA 98118
(47.52465272, -122.28400221)"
6803154-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,CONSTRUCT LEGAL ACCESSORY DWELLING UNIT IN BASEMENT OF EXISTING STRUCTURE. PROVIDE COOKTOP AND EXHAUST IN UNIT. NO ADDITIONAL PARKING PROPOSED.,,,,4000,,,,,Scheduled,1234 19TH AVE E,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6803154-CN,47.63163227,-122.30684109,"1234 19TH AVE E
SEATTLE, WA 98112
(47.63163227, -122.30684109)"
6777751-CN,Single Family/Duplex,Residential,Building,New,"Establish use as and construct single family residence, per plan.",1,1,1,450000,2020-06-11,,,,Corrections Required,11027 ARROYO BEACH PL SW,SEATTLE,WA,98146,BAKSTAD CONSTRUCTION LLC,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6777751-CN,47.50385763,-122.38735733,"11027 ARROYO BEACH PL SW
SEATTLE, WA 98146
(47.50385763, -122.38735733)"
6781058-DM,Single Family/Duplex,Residential,Demolition,,Demolish single family residence and detached garage.,1,1,0,450000,2020-09-23,,,,Awaiting Information,8312 11TH AVE NW,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6781058-DM,47.68920175,-122.37014646,"8312 11TH AVE NW
SEATTLE, WA 98117
(47.68920175, -122.37014646)"
6703020-DM,Single Family/Duplex,Residential,Demolition,Demolition,"Demolish existing single-family home, per plan.",1,1,1,428000,2019-11-07,2020-09-15,2022-03-15,,Issued,9702 4TH AVE NW,SEATTLE,WA,98117,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6703020-DM,47.69985581,-122.36173727,"9702 4TH AVE NW
SEATTLE, WA 98117
(47.69985581, -122.36173727)"
6799409-CN,Multifamily,Residential,Building,New,"Construct mixed-use building with below-grade parking, occupy per plan. Re vest of 6689835-CN.",,,,29715623,2020-12-01,,,,Reviews In Process,8600 RAINIER AVE S,SEATTLE,WA,98118,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6799409-CN,47.52612721,-122.26957497,"8600 RAINIER AVE S
SEATTLE, WA 98118
(47.52612721, -122.26957497)"
6675824-DM,Single Family/Duplex,Residential,Demolition,,"Demolish existing single family residence, per plan.",,,,0,2019-04-15,2019-04-16,2022-04-16,2020-11-17,Completed,10845 11TH AVE NE,SEATTLE,WA,98125,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6675824-DM,47.70831266,-122.31615747,"10845 11TH AVE NE
SEATTLE, WA 98125
(47.70831266, -122.31615747)"
6812263-DM,Single Family/Duplex,Residential,Demolition,,"Replace existing Floating On Water Residence (FOWR) #895 with new, including floatation system and dwelling.",,,,420000,,,,,Additional Info Requested,624 W Ewing ST,,,,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6812263-DM,47.65300961,-122.36503204,"624 W Ewing ST
(47.65300961, -122.36503204)"
6805759-CN,Single Family/Duplex,Residential,Building,New,DADU IN REAR YARD OF EXISTING SINGLE FAMILY HOUSE,,,,20000,,,,,Scheduled,2953 S GRAHAM ST,SEATTLE,WA,98108,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6805759-CN,47.54605075,-122.29448965,"2953 S GRAHAM ST
SEATTLE, WA 98108
(47.54605075, -122.29448965)"
6732222-CN,Commercial,Non-Residential,Building,Addition/Alteration,"Construct non structural tenant improvement to existing south level floor 7, per STFI",,,,8600,2019-06-11,2019-06-11,2020-12-11,2020-11-23,Completed,1812 BOREN AVE,SEATTLE,WA,98101,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6732222-CN,47.61698493,-122.33196572,"1812 BOREN AVE
SEATTLE, WA 98101
(47.61698493, -122.33196572)"
6809585-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct alterations to existing single family residence, per plan.",,,,100000,2020-12-01,,,,Reviews In Process,9304 FOREST CT SW,SEATTLE,WA,98136,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6809585-CN,47.51972353,-122.38534091,"9304 FOREST CT SW
SEATTLE, WA 98136
(47.51972353, -122.38534091)"
6485370-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Alterations to lift single-family residence, alterations to basement and 1st floor, additions to basement and full 2nd floor, per plan.",,0,0,250000,2015-12-01,2018-05-26,2019-11-26,,Completed,4033 SUNNYSIDE AVE N,SEATTLE,WA,98103,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6485370-CN,47.65653575,-122.33055173,"4033 SUNNYSIDE AVE N
SEATTLE, WA 98103
(47.65653575, -122.33055173)"
6800524-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"SINGLE-FAMILY 3,120 SQ FT INTERIOR RENOVATION, WITH 561 SQ FT ADU ADDITION AND AN 85 SQ FT BASEMENT ADDITION.",1,0,1,500000,,,,,Scheduled,5655 NE WINDERMERE RD,SEATTLE,WA,98105,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6800524-CN,47.66644647,-122.26350552,"5655 NE WINDERMERE RD
SEATTLE, WA 98105
(47.66644647, -122.26350552)"
6787437-CN,Commercial,Non-Residential,Building,New,"DEMOLISH EXISTING DUPLEX, CONSTRUCT NEW 5 STORY MIXED-USE BUILDING CONSISTING COMMERCIAL ON LEVEL 1 (STREET LEVEL) AND APARTMENT FROM LEVEL 2 TO LEVEL 5",,,,216000000,,,,,Scheduled,327 N 105TH ST,SEATTLE,WA,98133,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6787437-CN,47.70489841,-122.35410301,"327 N 105TH ST
SEATTLE, WA 98133
(47.70489841, -122.35410301)"
6423807-CN,Single Family/Duplex,Residential,Building,New,"Establish use as and construct new single family residence with attached garage, per plan.",,0,1,582088,2016-03-09,2017-11-07,2022-05-07,,Completed,2405 BOYER AVE E,SEATTLE,WA,98112,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6423807-CN,47.64098661,-122.31379743,"2405 BOYER AVE E
SEATTLE, WA 98112
(47.64098661, -122.31379743)"
6679584-CN,Single Family/Duplex,Residential,Building,Addition/Alteration,"Construct foundation repairs and new deck and stairs for existing single family residence, per plan.",1,0,0,29000,2018-12-13,,,,Reviews In Process,3047 23RD AVE W,SEATTLE,WA,98199,,https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679584-CN,47.64797045,-122.38629683,"3047 23RD AVE W
SEATTLE, WA 98199
(47.64797045, -122.38629683)"
