_id,Permit_No,Permit_Sticker_No,Permit_Class,Permit_Holder,Permit_Address_Street_No,Permit_Address_Street_Name,Permit_Address_Unit,Permit_Address_Postal_Code,Permit_Address_Ward,Permit_Contact_Phone_No_,Issue_Date,Cancellation_Date,geometry
157079,P90-4843187,P09320,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,80,ELLESMERE RD,,M1R4C2,21,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.3108463461, 43.7593600107)}"
157080,P90-4843185,P09348,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,511,EAST AVE,,M1C2X1,25,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.1387727026, 43.7985605009)}"
157081,P90-4843173,P09311,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,140,LA ROSE AVE,,M9P1B2,2,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.5239531048, 43.6856336775)}"
157082,P90-4841528,P09349,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,744,BROWNS LINE,,M8W3W1,3,(416) 757-9656,20180924,20201103.0,"{u'type': u'Point', u'coordinates': (-79.5483652089, 43.6079219168)}"
157083,P90-4931025,P09124,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),KB TEXTILES INTERNATIONAL LTD,436,KIPLING AVE,,M8Z5C9,3,(416) 757-9656,20190517,20201103.0,"{u'type': u'Point', u'coordinates': (-79.5209262422, 43.6068715104)}"
157084,P90-4964499,P09272,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),AMJ RECYCLING INC,3268,FINCH AVE E,,M1W3P7,22,(647) 295-6973,20190828,20201112.0,"{u'type': u'Point', u'coordinates': (-79.3187494911, 43.7964450868)}"
157085,P90-4678077,P08342,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,825,DON MILLS RD,,M3C1V4,16,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.3389655969, 43.7220152607)}"
157086,P90-4678074,P08337,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,1755,BRIMLEY RD,,M1P0A3,21,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.2633205196, 43.7781595673)}"
157087,P90-4676819,P08338,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,1755,BRIMLEY RD,,M1P0A3,21,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.2633205196, 43.7781595673)}"
157088,P90-4676818,P08341,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,3650,DANFORTH AVE,,M1N2E8,20,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.2662473659, 43.6979272443)}"
157089,P90-4676802,P08364,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,75,WYNFORD HEIGHTS CRES,,M3C3H9,16,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.3261749099, 43.7286087644)}"
157090,P90-4676801,P08343,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,825,DON MILLS RD,,M3C1V4,16,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.3389655969, 43.7220152607)}"
157091,P90-4676795,P08349,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,18,KENASTON GDNS,,M2K1G8,17,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.3861484138, 43.7658203922)}"
157092,P90-4676794,P08344,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,45,DUNFIELD AVE,,M4S2H4,12,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.394356438, 43.7062660713)}"
157093,P90-4676793,900018,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,1225,SHAW ST,,M6G3N9,12,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.427764341, 43.6741456999)}"
157094,P90-4676792,900017,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,2549,WESTON RD,,M9N2A7,5,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.5338539255, 43.7099586211)}"
157095,P90-4676791,900016,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,20,FONTENAY CRT,,M9A4W4,2,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.512861413, 43.682596017)}"
157096,P90-4676745,900013,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,61,CLAIREVILLE DR,,M9W5Z7,1,(416) 363-3373,20161014,20201113.0,"{u'type': u'Point', u'coordinates': (-79.6250026664, 43.7392916464)}"
157097,P90-4738806,P08456,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,75,TALARA DR,,M2K2X4,17,(416) 363-3373,20171101,20201113.0,"{u'type': u'Point', u'coordinates': (-79.3800734934, 43.7657613877)}"
157098,P90-4746055,900095,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,51,GERRY FITZGERALD DR,,M3J3N4,6,(416) 363-3373,20171101,20201113.0,"{u'type': u'Point', u'coordinates': (-79.4715137532, 43.7848269908)}"
157099,P90-4739502,900092,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),CANADIAN DIABETES ASSOCIATION,51,GERRY FITZGERALD DR,,M3J3N4,6,(416) 363-3373,20171101,20201113.0,"{u'type': u'Point', u'coordinates': (-79.4715137532, 43.7848269908)}"
157100,P90-4425748,P08691,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR CEREBRAL PALSY,20,CHICHESTER PL,,M1T1G6,22,(416) 244-9686,20160209,20201209.0,"{u'type': u'Point', u'coordinates': (-79.321766948, 43.777312321)}"
157101,P90-4647615,P09013,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,20,CHICHESTER PL,,M1T1G6,22,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.321766948, 43.777312321)}"
157102,P90-4647608,P09014,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,50,AURORA CRT,,M1W2M6,22,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.315225557, 43.7934585291)}"
157103,P90-4647607,P09015,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,40,AURORA CRT,,M1W2M5,22,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.315638344, 43.7947061514)}"
157104,P90-4425732,P09028,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,100,SPRUCEWOOD CRT,,M1W2P2,22,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3239937212, 43.7943401956)}"
157105,P90-4425750,P07674,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,21,RICHGROVE DR,,M9R2L2,1,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5656427016, 43.6757315347)}"
157106,P90-4425776,P09022,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,3700,LAWRENCE AVE E,,M1G3T2,24,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2173016754, 43.7620164362)}"
157107,P90-4425779,P09021,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,41,ANTRIM CRES,,M1P4T1,21,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.287922032, 43.771912239)}"
157108,P90-4425729,P09038,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1,ANTRIM CRES,,M1P4P2,21,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2834762458, 43.7706671849)}"
157109,P90-4425733,P09027,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,11,ANTRIM CRES,,M1P4P3,21,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2843673903, 43.7707832946)}"
157110,P90-4425770,P09023,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,30,ANTRIM CRES,,M1P4S4,21,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2859346865, 43.7723180506)}"
157111,P90-4425803,P09019,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,7,RICHGROVE DR,,M9R2L1,1,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5645067572, 43.6759915224)}"
157112,P90-4425752,P09026,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,22,OAKMOUNT RD,,M6P2M7,4,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4635445637, 43.6551760526)}"
157113,P90-4646690,P09016,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,23,GAGE AVE,,M1J1T3,21,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.248828649, 43.7490357018)}"
157114,P90-4425762,P09025,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,263,DIXON RD,,M9R1R6,2,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.547766738, 43.695514613)}"
157115,P90-4425764,P09024,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,265,DIXON RD,,M9R1R7,2,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.548620626, 43.695934451)}"
157116,P90-4425801,P09020,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,620,MARTIN GROVE RD,,M9R0A5,1,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5651657948, 43.6752699855)}"
157117,P90-4425818,P09018,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,150,ALTON TOWERS CIR,,M1V4X7,23,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2736737875, 43.8259164953)}"
157118,P90-4425858,P09017,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,DAVISVILLE AVE,,M4S1G4,12,(416) 244-9686,20160324,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3937477292, 43.6984485373)}"
157119,P90-4425800,P08988,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,642,SHEPPARD AVE E,,M2K1B9,17,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3827196424, 43.7691854547)}"
157120,P90-4425794,P08993,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,3744,ST CLAIR AVE E,,M1M1T8,20,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2430985709, 43.7209375824)}"
157121,P90-4425830,P08975,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,644,SHEPPARD AVE E,,M2K1C1,17,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3831227878, 43.769673908)}"
157122,P90-4425797,P08991,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,4049,DUNDAS ST W,,M6S4Z5,4,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5037202734, 43.6634553526)}"
157123,P90-4425780,P08999,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,41,MARKBROOK LANE,,M9V5E6,1,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5863930002, 43.7582884603)}"
157124,P90-4425828,P08976,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,3050,PHARMACY AVE,,M1W2N7,22,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3274423479, 43.7955806314)}"
157125,P90-4425816,P08982,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1217,YORK MILLS RD,,M3A1Y4,16,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.331947834, 43.759244437)}"
157126,P90-4425835,P08974,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,QUEBEC AVE,,M6P2T4,4,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4672963222, 43.655398071)}"
157127,P90-4425796,P08992,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,40,HIGH PARK AVE,,M6P2S1,4,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4663714027, 43.6547197987)}"
157128,P90-4425824,P08977,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2345,LAKE SHORE BLVD W,,M8V1B7,3,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4873996152, 43.6162111371)}"
157129,P90-4425742,P09007,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1407,ROYAL YORK RD,,M9P3A6,2,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5263097197, 43.6837870806)}"
157130,P90-4425798,P08990,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,420,MILL RD,,M9C1Z1,2,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5889237177, 43.6441339229)}"
157131,P90-4425761,P09001,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2550,KINGSTON RD,,M1M1L7,20,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2481266679, 43.7123137855)}"
157132,P90-4425812,P08984,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,100,ROWENA DR,,M3A1R1,16,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3143707442, 43.7517238195)}"
157133,P90-4425784,P08997,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,37,LORD SEATON RD,,M2P1K3,15,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4059855057, 43.7525712767)}"
157134,P90-4425821,P08979,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2185,LAWRENCE AVE E,,M1P2P6,21,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.282547131, 43.7475535553)}"
157135,P90-4425759,P09002,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,250,BRENYON WAY,,M1B3G3,25,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.215658011, 43.806620945)}"
157136,P90-4425799,P08989,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,50,PANORAMA CRT,,M9V4A9,1,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.577118319, 43.7481679361)}"
157137,P90-4425758,P09003,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,25,MARTHA EATON WAY,,M6M5B7,5,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.48903821, 43.698103059)}"
157138,P90-4425861,P08972,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,125,NEPTUNE DR,,M6A1X3,8,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4396616962, 43.7308769994)}"
157139,P90-4425740,P09008,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,121,COMBERMERE DR,,M3A2W7,16,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.318888833, 43.7593614541)}"
157140,P90-4425862,P08971,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,177,LINUS RD,,M2J4S5,17,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.357472636, 43.791226667)}"
157141,P90-4425736,P09010,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,260,SENECA HILL DR,,M2J4S6,17,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3580179305, 43.789716156)}"
157142,P90-4425737,P09009,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,350,SENECA HILL DR,,M2J4S7,17,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3561321835, 43.7907821979)}"
157143,P90-4425813,P08983,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,111,GORDON BAKER RD,,M2H3R1,17,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.343937969, 43.802003851)}"
157144,P90-4425822,P08978,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,22,BISHOP TUTU BLVD,,M5V2Z7,10,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4004316237, 43.6353969634)}"
157145,P90-4425804,P08986,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,77,FINCH AVE E,B,M2N6H8,18,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4110962225, 43.7801894874)}"
157146,P90-4425859,P08973,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1130,WILSON AVE,,M3M1K3,6,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.4849202644, 43.7264399728)}"
157147,P90-4425787,P08996,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,545,THE WEST MALL,,M9C1G6,2,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.568128213, 43.651935308)}"
157148,P90-4425782,P08998,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,51,TRAILRIDGE CRES,,M1E4S9,24,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.206148943, 43.78311931)}"
157149,P90-4425767,P09000,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2667,KIPLING AVE,,M9V4N9,1,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.583366602, 43.748495858)}"
157150,P90-4425754,P09004,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2239,EGLINTON AVE E,,M1K2N1,20,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2746041829, 43.7300968339)}"
157151,P90-4425820,P08980,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1779,JANE ST,,M9N3V7,5,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5039896221, 43.706202447)}"
157152,P90-4425802,P08987,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,65,WYNFORD HEIGHTS CRES,,M3C1L6,16,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3241417766, 43.7283181853)}"
157153,P90-4425790,P08994,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,55,WYNFORD HEIGHTS CRES,,M3C1L5,16,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3250508572, 43.7273105049)}"
157154,P90-4425807,P08985,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,875,KENNEDY RD,,M1K2G1,21,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.270177266, 43.739089427)}"
157155,P90-4425753,P09005,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,22,WILLOWRIDGE RD,,M9R3Y9,1,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5693913161, 43.674963269)}"
157156,P90-4425731,P09012,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,10,WILLOWRIDGE RD,,M9R3Y8,1,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.568401265, 43.675076516)}"
157157,P90-4425788,P08995,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,55,COSBURN AVE,,M4K2E9,14,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3520019211, 43.6884922382)}"
157158,P90-4425734,P09011,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,111,COMBERMERE DR,,M3A2W6,16,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.319372054, 43.7587471272)}"
157159,P90-4425819,P08981,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,160,ALTON TOWERS CIR,,M1V4X8,23,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2750135067, 43.8263784383)}"
157160,P90-4425746,P09006,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,20,ANTRIM CRES,,M1P4N3,21,(416) 244-9686,20160331,20201209.0,"{u'type': u'Point', u'coordinates': (-79.2853142425, 43.7720555044)}"
157161,P90-4649907,P09133,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,152,CACTUS AVE,,M2R2V3,18,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.436541145, 43.7934706537)}"
157162,P90-4649016,P09134,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1217,YORK MILLS RD,,M3A1Y4,16,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.331947834, 43.759244437)}"
157163,P90-4649015,P09135,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,51,TRAILRIDGE CRES,,M1E4S9,24,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.206148943, 43.78311931)}"
157164,P90-4649003,P09136,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,2,TRIBURNHAM PL,,M9C3P4,2,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.5784906979, 43.6425908284)}"
157165,P90-4649001,P09137,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,1,BIGGIN CRT,,M4A1L9,16,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3050102685, 43.7284796451)}"
157166,P90-4648997,P09138,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,25,BISHOP TUTU BLVD,,M5V2Z9,10,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.399857548, 43.635725128)}"
157167,P90-4648994,P09139,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,640,SHEPPARD AVE E,,M2K1B8,17,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.3827681491, 43.7684778574)}"
157168,P90-4425777,P09146,CLOTHING DROP BOX LOCATION PERMIT (NON-PROFIT),ONTARIO FEDERATION FOR THE CEREBRAL PALSIED,39,RICHVIEW RD,,M9A4M7,2,(416) 244-9686,20160519,20201209.0,"{u'type': u'Point', u'coordinates': (-79.515234861, 43.684216417)}"
