Building Address,Construction Completion Year,Name of Historic Resource,Neighbourhood,Warning Type 1,Warning Type 2,Latitude,Longitude,Location
12710 - 41 AVENUE SW,1912,House and Farm Complex,DESROCHERS AREA,Inventory of Historic Resources,,53.396792,-113.542541,"(53.396791553432074, -113.54254145114348)"
9738 - 86 AVENUE NW,1905,McKeen Residence,STRATHCONA,Inventory of Historic Resources,,53.522040,-113.481285,"(53.52203964298007, -113.48128492484908)"
6274 - ADA BOULEVARD NW,1927,Baker Residence,HIGHLANDS,Inventory of Historic Resources,,53.562853,-113.435118,"(53.56285291543024, -113.43511781568535)"
10340 Connaught Drive NW,1927,Lowe Residence,GLENORA,Inventory of Historic Resources,,53.545371,-113.544608,"(53.5453711878226, -113.54460847382796)"
5004 - ELLERSLIE ROAD SW,1936,St. Paul's Lutheran Church,CHARLESWORTH,Inventory of Historic Resources,,53.425381,-113.419572,"(53.42538148254935, -113.41957158079448)"
10533 - 134 STREET NW,1950,Smith Residence,GLENORA,Inventory of Historic Resources,,53.548812,-113.552485,"(53.548812224940754, -113.55248465452318)"
10606 - 84 AVENUE NW,1908,Major Arthur Davies Residence,STRATHCONA,Inventory of Historic Resources,,53.520302,-113.503851,"(53.520301597014765, -113.50385140947786)"
11703 - 97 STREET NW,1933,Maurice Code Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.568990,-113.491288,"(53.56898960544001, -113.49128818184072)"
6824 - 128 AVENUE NW,1925,Russian Orthodox Church of St. Vladmir,BALWIN,Inventory of Historic Resources,,53.586319,-113.446538,"(53.58631855830463, -113.44653812972716)"
10524 - 76 AVENUE NW,1925,Mount Carmel School,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.512769,-113.501823,"(53.51276872619022, -113.50182261831647)"
10004 - 105 STREET NW,1959,Baker Clinic,DOWNTOWN,Inventory of Historic Resources,,53.539160,-113.501608,"(53.539159584652374, -113.5016084854194)"
12202 - 129 AVENUE NW,1912,West Edmonton Groceries,CALDER,Inventory of Historic Resources,,53.587759,-113.532396,"(53.587758510865115, -113.53239635377531)"
10216 - CONNAUGHT DRIVE NW,1920,Williamson Residence,GLENORA,Inventory of Historic Resources,,53.543401,-113.541993,"(53.54340057683844, -113.54199302936127)"
9623 - 110 Avenue,1940,Singer Residence,MCCAULEY,Inventory of Historic Resources,,53.557249,-113.489887,"(53.557249398143504, -113.4898866934573)"
10248 - 123 STREET NW,1913,George Caywood Residence,OLIVER,Inventory of Historic Resources,,53.544433,-113.534617,"(53.54443253164022, -113.53461709984006)"
6423 - 112 AVENUE NW,1913,Gibbard Block,HIGHLANDS,Municipal Historic Resource,Provincial Registered Historic Resource,53.564711,-113.437485,"(53.56471129939647, -113.43748505549564)"
10237 - 149 STREET NW,1935,Wallace Howe Residence,GROVENOR,Inventory of Historic Resources,,53.543099,-113.577474,"(53.5430985847677, -113.57747419873596)"
13101 - 104 AVENUE NW,1913,Field/Secord Residence,GLENORA,Inventory of Historic Resources,,53.545904,-113.548174,"(53.545903977931275, -113.54817420001139)"
10820 - 101 STREET NW,1949,Victoria Composite High School,CENTRAL MCDOUGALL,Inventory of Historic Resources,,53.553888,-113.496107,"(53.55388845938376, -113.49610710817123)"
12520 - 109A AVENUE NW,1922,Hunt Residence,WESTMOUNT,Municipal Historic Resource,,53.555957,-113.538736,"(53.555956653003854, -113.53873643168247)"
12116 - 102 AVENUE NW,1921,Christ Church Anglican Church,OLIVER,Inventory of Historic Resources,,53.543351,-113.531788,"(53.543351145078844, -113.53178794194592)"
9100 - WALTERDALE HILL NW,1904,John Walter House (1904),RIVER VALLEY WALTERDALE,Municipal Historic Resource,Provincial Historic Resource,53.527125,-113.508172,"(53.52712466640168, -113.50817177636111)"
10960 - 125 STREET NW,1930,Ferguson Residence,WESTMOUNT,Inventory of Historic Resources,,53.555902,-113.538184,"(53.55590185069645, -113.53818363359653)"
106 Street and 53 Avenue,1902,St. Anthony Cemetery,PLEASANT VIEW,Inventory of Historic Resources,,53.431964,-113.424213,"(53.43196443216361, -113.42421251845786)"
14004 - 100 AVENUE NW,1952,Fleming Residence,GLENORA,Inventory of Historic Resources,,53.540543,-113.563367,"(53.54054253434769, -113.5633671962937)"
12903 - 102 Avenue,1913,Chauffeur's Residence,GLENORA,Inventory of Historic Resources,,53.541831,-113.543958,"(53.54183119451204, -113.54395790968407)"
10903 - 79 AVENUE NW,1938,Kenneth Hawkings Residence,GARNEAU,Inventory of Historic Resources,,53.514937,-113.512349,"(53.514936766725604, -113.51234944369776)"
10008 - 82 AVENUE NW,1912,Moreau & Sons Grocers,STRATHCONA,Inventory of Historic Resources,,53.518377,-113.489086,"(53.51837706044501, -113.48908646549555)"
10549 - 126 STREET NW,1913,Richard Hardisty Residence,WESTMOUNT,Inventory of Historic Resources,,53.549228,-113.538954,"(53.54922814103138, -113.53895374633142)"
10133 - 108 STREET NW,1935,El Mirador Apartments,DOWNTOWN,Inventory of Historic Resources,,53.541879,-113.506059,"(53.541879326620574, -113.50605868071469)"
12 Tweedsmuir Crescent NW,1935,Driscoll Residence,GLENORA,Inventory of Historic Resources,,53.542640,-113.552165,"(53.5426403973859, -113.55216486744924)"
9943 - 88 AVENUE NW,1914,Roy Gerolamy Residence II,STRATHCONA,Inventory of Historic Resources,,53.523276,-113.488293,"(53.52327564201295, -113.48829337785857)"
9837 - 84 AVENUE NW,1913,William Lowes Residence,STRATHCONA,Municipal Historic Resource,,53.519722,-113.484680,"(53.5197220734337, -113.48467959797934)"
12420 - JASPER AVENUE NW,1930,Andrews Residence,WESTMOUNT,Inventory of Historic Resources,,53.542024,-113.536928,"(53.542023939700904, -113.53692786416218)"
13109 - 104 Avenue NW,1931,Pearson Residence,GLENORA,Inventory of Historic Resources,,53.545904,-113.548634,"(53.5459038735968, -113.54863403044386)"
8205 - 90 AVENUE NW,1958,Bonnie Doon Composite High School,IDYLWYLDE,Inventory of Historic Resources,,53.524379,-113.453322,"(53.52437926088144, -113.45332199140502)"
10421 - 82 AVENUE NW,1907,Champman Brothers Ltd.,QUEEN ALEXANDRA,Inventory of Historic Resources,Provincial Registered Historic Resource,53.517759,-113.498633,"(53.517759146530146, -113.49863346911623)"
11820 - 107 AVENUE NW,1959,Edmonton Cemetery Office,QUEEN MARY PARK,Inventory of Historic Resources,,53.551329,-113.526487,"(53.551329186966996, -113.52648693861934)"
10105 - 96 STREET NW,1956,St. Barbara's Russian Orthodox Church,BOYLE STREET,Inventory of Historic Resources,,53.543229,-113.481200,"(53.54322878127556, -113.48119960746251)"
10907 - UNIVERSITY AVENUE NW,1932,Dudley Menzies Residence,MCKERNAN,Inventory of Historic Resources,,53.513887,-113.512529,"(53.51388748993162, -113.51252908998323)"
11526 - 91 STREET NW,1920,George L. Brodie Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.566584,-113.481623,"(53.56658374476268, -113.48162344605868)"
10840 - 126 Street NW,1912,McLear Residence,WESTMOUNT,Municipal Historic Resource,DC1 Heritage Area,53.553735,-113.539954,"(53.553735411248276, -113.53995396582664)"
11425 - 142 Street,1906,Coronation Park,WOODCROFT,Inventory of Historic Resources,,53.562105,-113.561267,"(53.56210481083767, -113.56126733545238)"
9100 - WALTERDALE HILL NW,1884,John Walter House (1884),RIVER VALLEY WALTERDALE,Municipal Historic Resource,Provincial Historic Resource,53.527125,-113.508172,"(53.52712466640168, -113.50817177636111)"
7304 - 105A STREET NW,1924,Harry Lynn Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.509506,-113.503106,"(53.50950551451984, -113.50310644445037)"
9527 - 103 AVENUE NW,1908,Thomas Dalling Residence,BOYLE STREET,Inventory of Historic Resources,,53.546544,-113.480986,"(53.5465442081, -113.48098618449616)"
13831 - 114 AVENUE NW,1960,Queen Elizabeth II Planetarium,WOODCROFT,Municipal Historic Resource,,53.563099,-113.562333,"(53.5630986951971, -113.56233300832918)"
12812 - FORT ROAD NW,1914,Commercial Block,BELVEDERE,Inventory of Historic Resources,,53.586408,-113.440960,"(53.58640785893889, -113.44095983292715)"
11404 - 89 AVENUE NW,1914,Pembina Hall,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.527140,-113.526124,"(53.52713968374802, -113.52612354718134)"
11601 - 96 STREET NW,1915,Edgar Young Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.567459,-113.489774,"(53.56745868052142, -113.48977391315857)"
17480 - FORT ROAD NW,1923,Alberta Hospital Edmonton,RURAL NORTH EAST HORSE HILL,Inventory of Historic Resources,,53.636263,-113.374926,"(53.63626326372762, -113.37492632258699)"
10030 - 115 STREET NW,1911,William McAdams Residence,OLIVER,Inventory of Historic Resources,,53.539756,-113.519993,"(53.53975576503234, -113.51999289626835)"
9907/09/11/13 - 108 AVENUE NW,1964,Commercial Block,MCCAULEY,Inventory of Historic Resources,,53.553564,-113.492866,"(53.55356399936907, -113.49286628849158)"
10950 - 127 STREET NW,1940,Westglen School,WESTMOUNT,Inventory of Historic Resources,,53.554591,-113.542007,"(53.55459092161241, -113.54200697901463)"
12934 - 115 Street,1925,Olynyk Residence,CALDER,Inventory of Historic Resources,,53.588864,-113.520451,"(53.588864376071555, -113.52045053536632)"
10925 - University Avenue,1939,Solon Low Residence,MCKERNAN,Inventory of Historic Resources,,53.513951,-113.513287,"(53.513951004477356, -113.513286682306)"
8525 - 101 STREET NW,1913,King Edward School,STRATHCONA,Inventory of Historic Resources,,53.521382,-113.489977,"(53.521381786316795, -113.48997679299806)"
10931 - 77 AVENUE NW,1912,William J. McKernan Residence,MCKERNAN,Inventory of Historic Resources,,53.512966,-113.513561,"(53.51296596664569, -113.51356097751669)"
9666 - JASPER AVENUE NW,1913,Brighton Block,BOYLE STREET,Municipal Historic Resource,,53.542818,-113.484409,"(53.542818060709465, -113.48440883489107)"
8310 - 88 AVENUE NW,1959,Idylwylde Library And Health Clinic Complex,BONNIE DOON,Inventory of Historic Resources,,53.523844,-113.456878,"(53.523843717422395, -113.45687762792234)"
12845 - 102 Avenue NW,1965,Provincial Museum and Archives of Alberta,GLENORA,Inventory of Historic Resources,,53.541831,-113.543958,"(53.54183119451204, -113.54395790968407)"
13101 Churchill Crescent,1914-1915,West Residence,GLENORA,Inventory of Historic Resources,,53.544293,-113.548668,"(53.54429326779972, -113.54866773002601)"
10643 - 124 STREET NW,1938,Street Railway Substation #600,WESTMOUNT,Municipal Historic Resource,,53.550649,-113.535396,"(53.55064923152831, -113.53539603603987)"
9633 - 95 AVENUE NW,1912,Molstad Residence,BONNIE DOON,Municipal Historic Resource,Provincial Historic Resource,53.531788,-113.476954,"(53.53178771919098, -113.47695392397699)"
11234 - 63 STREET NW,1913,Dr. Atkinson Residence,HIGHLANDS,Inventory of Historic Resources,,53.566389,-113.435973,"(53.56638884886821, -113.43597290777404)"
10045 - 156 Street NW,1981,Grant MacEwan Community College Jasper Place Campus,WEST JASPER PLACE,Inventory of Historic Resources,,53.540053,-113.589408,"(53.54005287751089, -113.58940771455178)"
7622 - 101 Avenue,,Hebrew WWII Memorial,FOREST HEIGHTS,Inventory of Historic Resources,,53.542221,-113.445123,"(53.54222119872178, -113.4451233523687)"
9910 - 103 STREET NW,1912,J.C. McDougall Residence (Hilltop House),DOWNTOWN,Inventory of Historic Resources,,53.537629,-113.497934,"(53.53762948421565, -113.49793382321897)"
10317 - VILLA AVENUE NW,1912,Dr. Oscar Strong Residence,WESTMOUNT,Inventory of Historic Resources,,53.545164,-113.540052,"(53.545163760789734, -113.54005200231866)"
10440 - 108 AVENUE NW,1915,Prince of Wales Armouries,CENTRAL MCDOUGALL,Municipal Historic Resource,Provincial Historic Resource,53.553478,-113.500402,"(53.55347827266358, -113.50040166174074)"
13802 - RAVINE DRIVE NW,1954,Kennedy Residence,GLENORA,Inventory of Historic Resources,,53.540823,-113.560073,"(53.540822938413314, -113.56007253088069)"
9807 - 106 STREET NW,1974,Edmonton Separate School Board,DOWNTOWN,Inventory of Historic Resources,,53.536090,-113.502388,"(53.536089783427435, -113.50238822827343)"
13719 - 101A AVENUE NW,1952,Jenner Residence,GLENORA,Inventory of Historic Resources,,53.542000,-113.559426,"(53.54199987079603, -113.55942636843224)"
7000 - 143 Street,1886,Bellerose School,FORT EDMONTON,Inventory of Historic Resources,,53.501459,-113.578921,"(53.50145916249133, -113.5789205489005)"
11752 - Kingsway Avenue,1967,Stanley Engineering Building,EDMONTON MUNICIPAL AIRPORT,Inventory of Historic Resources,,53.567616,-113.522063,"(53.56761649891652, -113.52206281352434)"
11410 - KINGSWAY NW,1940,Hangar #14,BLATCHFORD AREA,Municipal Historic Resource,Provincial Historic Resource,53.565678,-113.517177,"(53.565678204059914, -113.51717655644816)"
11123 - 97 Street,1944,John Hardin Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.559768,-113.491196,"(53.5597681819932, -113.4911959450556)"
10423 - 86 Avenue,1917,Caspar Rummell Residence,STRATHCONA,Inventory of Historic Resources,,53.521564,-113.498776,"(53.5215642817496, -113.49877595929931)"
10312 - VILLA AVENUE NW,1912,Aubrey Fullerton Residence,WESTMOUNT,Inventory of Historic Resources,,53.545634,-113.540943,"(53.54563413736971, -113.54094265759574)"
10130 - 100 Street,1915,McLeod Block,DOWNTOWN,Municipal Historic Resource,Provincial Historic Resource,53.541974,-113.490894,"(53.541973509597604, -113.49089404739603)"
92 Street - 76 Avenue,1902,Mill Creek Trestle Bridge,BRIDGE,Municipal Historic Resource,,53.512389,-113.469545,"(53.512389, -113.469545)"
8404 - 91 Street,1910,Faculte St. Jean,BONNIE DOON,Inventory of Historic Resources,,53.521046,-113.470256,"(53.52104634952915, -113.47025570325195)"
9322 - EDINBORO ROAD NW,1914,Helen Rutherford Residence,WINDSOR PARK,Inventory of Historic Resources,,53.529874,-113.535232,"(53.529874233652215, -113.53523170915794)"
13882 Ravine Drive NW,1953,Dittrich Residence,GLENORA,Inventory of Historic Resources,,53.539563,-113.564666,"(53.53956340876384, -113.56466647134467)"
7622 - 101 Avenue,1907,Edmonton Hebrew Cementery,FOREST HEIGHTS,Inventory of Historic Resources,,53.542221,-113.445123,"(53.54222119872178, -113.4451233523687)"
111 Street - Saskatchewan Drive,1874,Garneau Tree,GARNEAU,Inventory of Historic Resources,,53.526679,-113.519519,"(53.52667934518349, -113.51951908056452)"
11820 - 107 AVENUE NW,1936,Edmonton Cemetery,QUEEN MARY PARK,Inventory of Historic Resources,,53.551329,-113.526487,"(53.551329186966996, -113.52648693861934)"
10236 - CONNAUGHT DRIVE NW,1915,Mayor Dantzer Residence,GLENORA,Inventory of Historic Resources,,53.543867,-113.542646,"(53.54386669602845, -113.542646225255)"
10201-10247 - 104 Street,1912/20,Revillon Building,DOWNTOWN,Inventory of Historic Resources,,53.543325,-113.498709,"(53.543325128999165, -113.49870933905741)"
10955 - 79 AVENUE NW,1942,William M. Stewart Residence,GARNEAU,Inventory of Historic Resources,,53.514939,-113.514623,"(53.514939406869324, -113.51462291901431)"
10230 - JASPER AVENUE NW,1939,Hudson's Bay Company Store,DOWNTOWN,Municipal Historic Resource,,53.541473,-113.496484,"(53.541473262612094, -113.49648396526247)"
9812 - 77 Avenue,1914,Friedrick Lange Residence,RITCHIE,Inventory of Historic Resources,,53.513522,-113.483516,"(53.51352230636287, -113.48351611555312)"
11159 - 53 STREET NW,1914,Nyes Residence,HIGHLANDS,Inventory of Historic Resources,,53.566979,-113.422642,"(53.56697936142799, -113.42264178248361)"
11631 - 85 Street,1925,Residence,PARKDALE,Inventory of Historic Resources,,53.568297,-113.471376,"(53.56829687675773, -113.47137591429708)"
7024 - 101 AVENUE NW,,Poplar Tree,TERRACE HEIGHTS,Inventory of Historic Resources,,53.541460,-113.436487,"(53.54146031665856, -113.43648747270919)"
11328 - 67 STREET NW,1948,Residence,BELLEVUE,Inventory of Historic Resources,,53.566309,-113.442631,"(53.566309241759875, -113.4426314322544)"
52 St. George's Crescent NW,1929,MacLeod Residence,GLENORA,Inventory of Historic Resources,,53.539659,-113.552208,"(53.539658983842195, -113.55220800941831)"
11012 - 87 AVENUE NW,1913,Donald Duncan Residence,UNIVERSITY OF ALBERTA,Inventory of Historic Resources,,53.523850,-113.516446,"(53.52384998703999, -113.51644594316868)"
7507 - BORDEN PARK ROAD NW,1957,Borden Park Lodge And Caretakers Apartment,VIRGINIA PARK,Inventory of Historic Resources,,53.562686,-113.455772,"(53.56268560043413, -113.4557721624193)"
12827 - 121 STREET NW,1944,Eliasson Residence,CALDER,Inventory of Historic Resources,,53.586893,-113.529971,"(53.58689280007564, -113.52997138153926)"
13210 - BUENA VISTA ROAD NW,1949,Yorath House,RIVER VALLEY CAPITOL HILL,Municipal Historic Resource,,53.513140,-113.545788,"(53.513139937298355, -113.54578832629446)"
9826 - 69 Avenue,1914,Alexander C. Girvan Residence,HAZELDEAN,Inventory of Historic Resources,,53.505958,-113.484253,"(53.50595849550012, -113.48425347477745)"
13308 - 102 AVENUE NW,1944,Curlett Residence,GLENORA,Inventory of Historic Resources,,53.543377,-113.551769,"(53.54337674551067, -113.55176878967757)"
9217 - 99 STREET NW,1912,Weltha Brown Residence,STRATHCONA,Inventory of Historic Resources,,53.527874,-113.485161,"(53.52787444083785, -113.48516067562646)"
5629 - 111 AVENUE NW,1950,Residence,HIGHLANDS,Inventory of Historic Resources,,53.565162,-113.429090,"(53.565162179124414, -113.42909008223896)"
11036 - 85 AVENUE NW,1914,R.W. McKinnell Residence,GARNEAU,Inventory of Historic Resources,,53.521270,-113.516673,"(53.52126964513884, -113.51667330512123)"
10141 - 95 STREET NW,1914,Hecla Block,BOYLE STREET,Municipal Historic Resource,Provincial Registered Historic Resource,53.544499,-113.477972,"(53.544498950334, -113.47797238749332)"
13110 - 104 Avenue NW,1930,Boyce Residence,GLENORA,Inventory of Historic Resources,,53.546478,-113.548405,"(53.546478449773154, -113.54840491475719)"
49-50 Street - 11 Avenue,1884,Rosedale St. Paul Lutheran Cemetery,RURAL SE,Inventory of Historic Resources,,53.425381,-113.419572,"(53.42538148254935, -113.41957158079448)"
11011 - 80 AVENUE NW,1912,John Wallace Residence,GARNEAU,Inventory of Historic Resources,,53.515889,-113.515693,"(53.51588867583999, -113.51569309618671)"
10839 - 84 AVENUE NW,1912,Thornton Graham Residence,GARNEAU,Inventory of Historic Resources,,53.519772,-113.511238,"(53.51977221015917, -113.51123766140603)"
9817 - 93 AVENUE NW,1914,Arthur Whetstone Residence,STRATHCONA,Inventory of Historic Resources,,53.527988,-113.483681,"(53.52798756561388, -113.48368136344524)"
13359 - 62 STREET NW,1960,Belvedere School,BELVEDERE,Inventory of Historic Resources,,53.594532,-113.435139,"(53.594531744092826, -113.43513881658829)"
9935 - 86 AVENUE NW,1905,Dr. Leeham Residence,STRATHCONA,Inventory of Historic Resources,,53.521558,-113.487815,"(53.52155798178756, -113.48781481582111)"
9809 - 93 AVENUE NW,1913,W.J. Woods Residence,STRATHCONA,Inventory of Historic Resources,,53.527986,-113.483330,"(53.52798552543375, -113.4833300310722)"
9663 - 87 AVENUE NW,1913,T.R. Feffly Residence,STRATHCONA,Inventory of Historic Resources,,53.522386,-113.478862,"(53.522386497467366, -113.47886201334076)"
10616 - 103 AVENUE NW,1947,Massey Ferguson Building,DOWNTOWN,Inventory of Historic Resources,,53.545261,-113.503437,"(53.54526064684773, -113.50343666312479)"
9803 - 101 Street,,Diamond Park,ROSSDALE,Inventory of Historic Resources,,53.536261,-113.492647,"(53.53626082798774, -113.49264695223253)"
10 Wellington Crescent NW,1929,Geggie Residence,GLENORA,Inventory of Historic Resources,,53.540978,-113.546232,"(53.54097795095799, -113.54623222864248)"
9990 - Jasper Avenue,1951/54,Imperial Bank of Commerce,DOWNTOWN,Municipal Historic Resource,,53.541521,-113.489937,"(53.5415212649309, -113.48993654434675)"
10837 - 83 AVENUE NW,1912,Nightingale Nursing Home,GARNEAU,Inventory of Historic Resources,,53.518824,-113.510934,"(53.51882378455042, -113.51093441461224)"
10821 - 96 STREET NW,1913,Catholic Parish of the Sacred Heart of Jesus,MCCAULEY,Inventory of Historic Resources,,53.554906,-113.487007,"(53.55490576380487, -113.48700661168685)"
13808 - 111 Avenue NW,1967,Peter Hemingway Leisure Centre,WOODCROFT,Inventory of Historic Resources,,53.559728,-113.560220,"(53.55972810238443, -113.56021978217464)"
CONNORS RD,1900,Low Level Bridge,,Inventory of Historic Resources,,53.537912,-113.486770,"(53.537912, -113.48677)"
10934 - 85 Avenue,1933,Stuart Residence,GARNEAU,Inventory of Historic Resources,,53.521264,-113.513713,"(53.521263963316855, -113.51371316099608)"
9902 - 152 Street NW,,Fuller Residence,WEST JASPER PLACE,Inventory of Historic Resources,,53.537923,-113.583803,"(53.537923349374346, -113.58380308849682)"
10612 - 97 Avenue,1914,Park View Apartments,DOWNTOWN,Municipal Historic Resource,,53.534301,-113.503395,"(53.534300817228804, -113.50339491183428)"
11707 - 88 STREET NW,1936,Meyer Sheckter Residence,PARKDALE,Inventory of Historic Resources,,53.569153,-113.476190,"(53.569152642161846, -113.47619001913934)"
11943 - 88 STREET NW,1915,Residence,EASTWOOD,Inventory of Historic Resources,,53.573231,-113.475691,"(53.573231064766254, -113.47569125998672)"
10519 - 76 Avenue NW,,Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.511991,-113.501517,"(53.51199057176753, -113.50151673774042)"
10826 - 123 Street NW,1921,Kellas Residence,WESTMOUNT,Inventory of Historic Resources,,53.553349,-113.534630,"(53.55334909290952, -113.5346296642678)"
10902 - 96 Street,1920,Holy Trinity Canadian Orthodox Church,MCCAULEY,Inventory of Historic Resources,,53.556074,-113.488436,"(53.55607361129564, -113.48843649900522)"
11212 - 95A STREET NW,1909,Frank W. Anderson Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.561496,-113.489070,"(53.561496090982146, -113.48907038820631)"
11607 - 97 STREET NW,1931,William E. Moore Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.567634,-113.491275,"(53.56763400269609, -113.49127514464249)"
10277 - 97 STREET NW,1907,Kingston Powell BLDG,BOYLE STREET,Municipal Historic Resource,,53.545732,-113.486474,"(53.54573202943541, -113.48647357036256)"
7013 - 106 STREET NW,1913,John Snook Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.506956,-113.503897,"(53.50695569376724, -113.50389696316154)"
23190 - 17 STREET NE,1920,Excelsior Grain Elevator,EDMONTON ENERGY AND TECHNOLOGY PARK,Inventory of Historic Resources,,53.692346,-113.323318,"(53.692345747935875, -113.32331819455567)"
11801 - 102 AVENUE NW,1922,Row Houses,OLIVER,Inventory of Historic Resources,,53.542846,-113.525508,"(53.542846090622035, -113.52550772395819)"
10223 - 133 Street NW,1941,Burrell Residence,GLENORA,Inventory of Historic Resources,,53.543725,-113.550758,"(53.54372493792532, -113.55075829720614)"
640 - ELLERSLIE ROAD SW,1912,House and Barn,DECOTEAU,Inventory of Historic Resources,,53.428584,-113.350677,"(53.42858431140706, -113.35067656147734)"
5910-103 Avenue,1961,Fulton Place Elementary School and Portables,FULTON PLACE,Inventory of Historic Resources,,53.545389,-113.425102,"(53.545389076964085, -113.42510177262201)"
9320 - 118 AVENUE NW,1952,Page Cleaner and Furrier Ltd.,ALBERTA AVENUE,Inventory of Historic Resources,,53.570646,-113.485081,"(53.57064561953147, -113.48508088402201)"
10126 - 100 STREET NW,1910,Canada Permanent Building,DOWNTOWN,Inventory of Historic Resources,Provincial Historic Resource,53.541769,-113.490858,"(53.54176893700014, -113.49085796619146)"
10828 - 79 AVENUE NW,1915,Dr. William George Hardy Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.515476,-113.510812,"(53.51547616838628, -113.5108115262325)"
12420 - 103 AVENUE NW,1911,John Benson Residence,WESTMOUNT,Inventory of Historic Resources,,53.544925,-113.536943,"(53.54492501866597, -113.5369431589038)"
10412 - 159 Street NW,1968,Holy Spirit Roman Catholic Church,BRITANNIA YOUNGSTOWN,Inventory of Historic Resources,,53.546830,-113.596182,"(53.54682993927901, -113.59618201943753)"
10131 - 81 AVENUE NW,1940,Arndt's Machine Shop,RITCHIE,Municipal Historic Resource,,53.516800,-113.492660,"(53.51680031616086, -113.49266018890737)"
13029 - 104 Avenue NW,1930,McNeill Residence,GLENORA,Inventory of Historic Resources,,53.545890,-113.547411,"(53.54589046940811, -113.54741090988139)"
10814 - 126 STREET NW,1914,William McLeod Residence,WESTMOUNT,Inventory of Historic Resources,,53.553035,-113.539953,"(53.55303463970764, -113.53995300086247)"
10225 - 158 Street NW,1952,Stingley Residence,BRITANNIA YOUNGSTOWN,Inventory of Historic Resources,,53.544017,-113.593378,"(53.54401739357664, -113.59337759011937)"
10804 - 126 STREET NW,1912,Robert MacDonald Residence,WESTMOUNT,Inventory of Historic Resources,,53.552704,-113.539953,"(53.552703901386785, -113.53995254649972)"
10065 - 80 AVENUE NW,1912,Adolph Adams Residence,RITCHIE,Inventory of Historic Resources,,53.515847,-113.490925,"(53.51584743966038, -113.49092478432695)"
11319 - 96 Street,1909,Rupert Settle Residence,ALBERTA AVENUE,Inventory of Historic Resources,,53.563301,-113.489735,"(53.563301391890455, -113.48973501018071)"
8901 - 101 AVENUE NW,1924,Riverdale Elementry School,RIVERDALE,Inventory of Historic Resources,,53.543262,-113.468249,"(53.54326152782155, -113.46824863852582)"
10435 - 140 STREET NW,1948,Klapecki Residence,GLENORA,Inventory of Historic Resources,,53.547462,-113.562582,"(53.54746183626264, -113.56258206734817)"
7300 - 105A STREET NW,1912,Fleming Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.509356,-113.503107,"(53.50935590819845, -113.50310653234473)"
10731 - 80 AVENUE NW,1912,David Shearer Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.515878,-113.507912,"(53.5158778772699, -113.50791217717448)"
11234 - 123 STREET NW,1915,Harold Ross Residence,INGLEWOOD,Inventory of Historic Resources,,53.561525,-113.534645,"(53.56152515247896, -113.5346448717105)"
12403 - MOUNT LAWN ROAD NW,1936,Canada Packers Chimney Stack,YELLOWHEAD CORRIDOR EAST,Municipal Historic Resource,,53.580689,-113.448760,"(53.58068918585699, -113.44875959219479)"
10428 - 82 Avenue,1910,Tipton Investment Company Building,STRATHCONA,Municipal Historic Resource,Provincial Historic Resource,53.518395,-113.498708,"(53.51839461472042, -113.49870831130444)"
10175 - 101 STREET NW,1915,Kelly Ramsey Building,DOWNTOWN,Municipal Historic Resource,,53.542447,-113.492724,"(53.54244693760035, -113.4927236235352)"
10661 - 82 AVENUE NW,1947,St. Anthony's Pro-Cathedral,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.517772,-113.505656,"(53.517772370668965, -113.50565647760934)"
9820 - 107 Street,1958,Federal Public Building,DOWNTOWN,Inventory of Historic Resources,,53.533641,-113.505573,"(53.533640741030474, -113.50557267257675)"
8232 - GATEWAY BOULEVARD NW,1913,Canadian West Commerical Building,STRATHCONA,Inventory of Historic Resources,,53.518842,-113.495514,"(53.518841971199514, -113.49551363001764)"
9731 - 87 Avenue,1948,Henry Weitzel Residence,STRATHCONA,Inventory of Historic Resources,,53.522391,-113.481246,"(53.52239117424151, -113.48124567631677)"
10630 - 72 AVENUE NW,1912,Herbt C. Boyd Residence,QUEEN ALEXANDRA,Inventory of Historic Resources,,53.508743,-113.505934,"(53.50874346567786, -113.50593409301004)"
1 - Sir Winston Churchill Square,1936,Edmonton Cenotaph,DOWNTOWN,Inventory of Historic Resources,,53.545358,-113.490179,"(53.54535818034866, -113.49017935806253)"
9530 - 106A AVENUE NW,1912,George Bell Residence,MCCAULEY,Inventory of Historic Resources,,53.552177,-113.484173,"(53.552177298393715, -113.48417265451673)"
