Maintenance Area,Neighbourhood Name,Planned Start Week,Earliest Scheduled Start Date,Latest Scheduled Start Date,Planned Start Date,Street Cleaning Status,Location,Data Update,Planned Start Week Revised/Postponed,Note,Revised Start Week,Revised Earliest Scheduled Start Date,Revised Latest Scheduled Start Date,Revised Start Date
225,Blackburne,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.43223145, -113.5047877)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
105,"parts of (Oliver, and Westmount)",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.53987205, -113.5228492)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
115,"Delton and parts of (Alberta Avenue, and Eastwood)",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.57617058, -113.4799895)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
426,Mayliewan and Ozerna,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,12-May-2020,Completed,"(53.62244735, -113.4554128)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
309,Canora and Highpark,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.55022467, -113.5843894)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
424,"Belle Rive, and Eaux Claires",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,07-May-2020,Completed,"(53.62157311, -113.480112)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
306,parts of Inglewood,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,05-May-2020,Completed,"(53.56472402, -113.5437956)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
315,parts of Glenwood,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,15-May-2020,Completed,"(53.53653998, -113.5966534)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
203,Belgravia,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.5102983, -113.5356211)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
314,West Jasper Place,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,14-May-2020,Completed,"(53.53648738, -113.5843134)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
248,Riverview,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.447325, -113.651914)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
229,MacEwan,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.43103153, -113.5295443)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
237,Carter Crest and Leger,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.46148846, -113.5682401)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
378,Sheffield and High Park Industrial,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5612314, -113.5904991)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
529,"Larkspur, Wild Rose",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4752262, -113.3816149)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
501,"Hazeldean, and Argyll",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.50567126, -113.4724132)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
423,"Klavatten, and Lago Lindo",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,11-May-2020,Completed,"(53.63970988, -113.4791312)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
513,Kenilworth,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.52170998, -113.4309968)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,04-May-2020
312,parts of Glenora and Westmount,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,07-May-2020,Completed,"(53.5423397, -113.5509181)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
100,"McCauley, and parts of (Alberta Avenue)",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.55582659, -113.4818267)",09/23/2020 10:22:26 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
579,Parts of Strathcona and Pap schase Industrial,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,09-May-2020,Completed,"(53.4776525, -113.4856741)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,09-May-2020
329,Mistatim Industrial,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,27-May-2020,Completed,"(53.6062844, -113.6053492)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
585,"Parts of Weir, Morris and Lambton Industrial",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.5155562, -113.4063691)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
416,Lauderdale,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,29-Apr-2020,Completed,"(53.5865816, -113.5044716)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,05-May-2020
431,Gorman,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6223204, -113.3835373)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
538,Mattson and parts of The Orchards at Ellerslie,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4018153, -113.4319951)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
303,"Sherbrooke, and parts of (Hagman Estate Industrial)",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,28-Apr-2020,Completed,"(53.57782219, -113.5501884)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
214,"Callingwood South, and Ormsby Place",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.4994241, -113.6390561)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
116,"Westwood, and parts of (Spruce Avenue)",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.57015894, -113.4986147)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
212,"Callingwood North, and Lymburn",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.50785242, -113.6393124)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
429,Dunluce,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.62170265, -113.5304934)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
420,"Canossa, and Rapperswill",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,29-Apr-2020,Completed,"(53.63976132, -113.529027)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
514,"Micheals Park, and Tweddle Place",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.47892087, -113.4549901)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
321,Lynnwood,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.51598506, -113.5875786)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
110,parts of (Beverly Heights),18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.56428329, -113.4092887)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
304,Dovercourt,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.57625143, -113.5578384)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,20-Apr-2020 thru 26-Apr-2020,20-Apr-2020,26-Apr-2020,23-Apr-2020
524,"Greenview, and Hillview",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.47614412, -113.4294031)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
528,Charlesworth East of 50 street SW,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,21-May-2020,Completed,"(53.4303941, -113.4060597)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
218,Royal Gardens,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.47967017, -113.5288913)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
589,Maple Ridge and Maple Ridge Industrial,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,18-May-2020,Completed,"(53.4990479, -113.356996)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
301,Athlone,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.58837176, -113.5516239)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
536,Rural Southeast,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.410252, -113.381488)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
300,Wellington,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.59592617, -113.5534274)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
250,Riverview,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.432323, -113.669981)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
433,"Fraser, and Bannerman",01-Jun-2020 thru 07-Jun-2020,2020-06-01,2020-06-07,29-May-2020,Completed,"(53.60802318, -113.372491)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,01-Jun-2020 thru 07-Jun-2020,01-Jun-2020,07-Jun-2020,01-Jun-2020
317,Meadowlark Park,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,22-May-2020,Completed,"(53.5256394, -113.5967571)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,01-Jun-2020 thru 07-Jun-2020,01-Jun-2020,07-Jun-2020,03-Jun-2020
302,"Prince Charles, and parts of (Hagman Estate Industrial)",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.57694666, -113.5362037)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,20-Apr-2020 thru 26-Apr-2020,20-Apr-2020,26-Apr-2020,24-Apr-2020
434,Rural Northeast/South Sturgeon,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6100373, -113.3315832)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
510,Capilano,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.55599501, -113.4186228)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
526,"Bisset, Weinlos, and Minchau",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.46347893, -113.4076757)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
577,Parsons Industrial,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.4601032, -113.4803172)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
117,"Blatchford, and parts of (Spruce Avenue)",18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.57029574, -113.5168037)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
206,"Empire Park, and Pleasantview",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.49010703, -113.5045143)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,04-May-2020
452,Rural Northeast/Horsehills,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.7024279, -113.3073155)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
588,Southeast Industrial,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,18-May-2020,Completed,"(53.4990487, -113.3812302)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
410,Killarney,04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.588005, -113.4798154)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
106,parts of (Boyle Street and Downtown),25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.54343509, -113.4932697)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
324,Aldergrove,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.51713752, -113.6453692)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
325,"Summerlea, and Terra Losa",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.5273811, -113.6233874)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
517,"Meyonohk, and Millwoods Park",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.45552754, -113.4511899)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
238,"Henderson Estates, and Haddow",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.47637305, -113.6073468)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
313,Crestwood,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,13-May-2020,Completed,"(53.53523699, -113.5677483)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
210,"Brander Gardens, and Ramsay Heights",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.49084443, -113.5789745)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
219,"Duggan, and Rideau Park",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.4747232, -113.5038)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
380,"Norwester, Alberta park and Garside Industrial",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.5669823, -113.5970576)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
505,Holyrood,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.53152219, -113.450387)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
205,"Allendale, and as parts (Queen Alexandra)",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,04-May-2020,Completed,"(53.505301, -113.5030715)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,11-May-2020
512,Ottewell,27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.53167377, -113.4309449)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,04-May-2020
389,"Hawks Ridge, Rural West Big Lake, and Big Lake Estate",01-Jun-2020 thru 07-Jun-2020,2020-06-01,2020-06-07,01-Jun-2020,Completed,"(53.58146436, -113.7015849)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,13-May-2020
377,Huff Bremner Estate Industrial,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.564498, -113.5719976)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
322,Elmwood,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,22-May-2020,Completed,"(53.51601941, -113.6063694)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,01-Jun-2020 thru 07-Jun-2020,01-Jun-2020,07-Jun-2020,02-Jun-2020
509,Fulton Place,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.54641301, -113.4296745)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
201,"Garneau, and parts of (Queen Alexandra, and Strathcona)",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,30-Apr-2020,Completed,"(53.51881244, -113.5079124)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,04-May-2020
421,"Beaumaris, and Lorelei",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,28-Apr-2020,Completed,"(53.62167132, -113.5060273)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
405,Casselman and McLeod,18-May-2020 thru 24-May-2020,2020-05-18,2020-05-24,19-May-2020,Completed,"(53.61047983, -113.4304792)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,25-May-2020 thru 31-May-2020,25-May-2020,31-May-2020,TBD
240,Edgemont,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.472409, -113.673075)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
209,Brookside,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.49431869, -113.5627512)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
244,Wedgewood Heights Donsdale,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.48158135, -113.6404438)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
213,"Granville, and Glastonbury",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.5041551, -113.675725)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
504,"Bonnie Doon, and Idylwylde",27-Apr-2020 thru 03-May-2020,2020-04-27,2020-05-03,27-Apr-2020,Completed,"(53.5255319, -113.4679146)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,04-May-2020 thru 10-May-2020,04-May-2020,10-May-2020,04-May-2020
477,Parts of Clover Bar Area,Not Applicable thru Not Applicable,,,Not Applicable,Completed,"(53.5937225, -113.3326624)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
446,Parts of Energy and Technology Park,Not Applicable thru Not Applicable,,,Not Applicable,Not Required,"(53.6493504, -113.4264218)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
311,"Grovenor, and parts of Glenora",04-May-2020 thru 10-May-2020,2020-05-04,2020-05-10,05-May-2020,Completed,"(53.54493203, -113.5670724)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
103,"parts of (Oliver, Central McDougall, and Queen Mary Park)",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.5452667, -113.5150494)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
108,"Virgina Park, Cromdale, Riverdale, and parts of (Boyle Street)",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,26-May-2020,Completed,"(53.56115624, -113.4636697)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
211,"Patricia Heights, Quesnell Heights and Rio Terrace",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.50782343, -113.5828497)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
407,Kildare,11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,13-May-2020,Completed,"(53.6034344, -113.4555176)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,11-May-2020 thru 17-May-2020,11-May-2020,17-May-2020,Not Applicable
224,Twin Brooks,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,20-Apr-2020,Completed,"(53.44330324, -113.5276329)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
327,"Breckenridge Greens, Potter Greens, Suder Greens, Stewart Greens, Lewis Farms Industrial, and Webber Greens",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,28-May-2020,Completed,"(53.52705047, -113.6746441)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
243,"Dechene, and Gariepy",25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.49120351, -113.627854)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
515,"Lee Ridge, and Richfield",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.46982559, -113.4529012)",09/23/2020 10:22:29 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
323,Thorncliff,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.51697631, -113.6232677)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
583,Roper Industrial and parts of Davies Industrial East,25-May-2020 thru 31-May-2020,2020-05-25,2020-05-31,25-May-2020,Completed,"(53.495322, -113.4312843)",09/23/2020 10:22:29 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
508,Forest Heights,20-Apr-2020 thru 26-Apr-2020,2020-04-20,2020-04-26,21-Apr-2020,Completed,"(53.5441159, -113.4591243)",09/23/2020 10:22:28 AM,YES,Please plan to have your vehicles moved during the day.,27-Apr-2020 thru 03-May-2020,27-Apr-2020,03-May-2020,27-Apr-2020
230,"Magrath Heights, and Mactaggart",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.44471255, -113.5605771)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
425,"Crystallina Nera, Schonsee, and Crystallina Nera East",11-May-2020 thru 17-May-2020,2020-05-11,2020-05-17,11-May-2020,Completed,"(53.6396951, -113.4544895)",09/23/2020 10:22:28 AM,NO,Please plan to have your vehicles moved during the day.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
