Contravention Date,Contravention In Last 7 Days,Ticket Type,Ticket Description,Contravention Code,Contravention Code Suffix,Contravention Code Description,Ticket Issued Via CCTV Camera,Controlled Parking Zone Area,Street,Vehicle Category,Vehicle Removed,Status Of Case,Charging Band Description,Civil Enforcement Officer Error,Penalty Charge Notice Cancelled,Penalty Charge Notice Written Off,Cancellation Reason,Foreign Vehicle,Country Vehicle Registered To,Has Appeal,Formal Representation,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
02/06/2014,No,O/S TMA,On Street Contravention,21R,R,Parked wholly or partly in a suspended bay or space - residents` bay,No,CA-B,GLENMORE ROAD NW3,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:49 AM,146864
14/03/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-E,HUNTLEY STREET WC1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:32:04 AM,19600
04/04/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-N,MURRAY STREET NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:27 AM,11278
20/01/2015,No,MTC,Moving Traffic Contravention,53J,J,Failing to comply with a restriction on vehicles entering a pedestrian zone - camera enforcement,Yes,CA-D,LAYSTALL STREET EC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,531188,182027,-0.110477,51.521933,"(51.521933, -0.110477)",Fixed CCTV Camera,31/12/2017 01:51:46 AM,291243
10/01/2015,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-G,ROBERT STREET NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000142,Regent's Park,528916,182708,-0.142955,51.528575,"(51.528575, -0.142955)",Civil Enforcement Officer GPS Location,31/12/2017 02:27:48 AM,645777
02/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-D,BRITANNIA STREET WC1,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000141,King's Cross,530662,182850,-0.11775,51.529444,"(51.529444, -0.11775)",Civil Enforcement Officer GPS Location,31/12/2017 03:03:13 AM,1036826
15/05/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-D,HERBAL HILL EC1,N/A,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:49:16 AM,211596
29/01/2015,No,CCTV TMA,CCTV Parking Contravention,23J,J,Parked in a parking place or area not designated for that class of vehicle - camera enforcement,Yes,CA-C,HIGH HOLBORN WC1,Taxi,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530730,181561,-0.117248,51.517851,"(51.517851, -0.117248)",Fixed CCTV Camera,31/12/2017 02:25:31 AM,612778
05/04/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,HAVERSTOCK HILL (CA-F) NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000136,Haverstock,528055,184501,-0.154706,51.544879,"(51.544879, -0.154706)",Civil Enforcement Officer GPS Location,31/12/2017 03:32:22 AM,1383173
22/12/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-H,HAMPSTEAD HIGH STREET NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:07 AM,48181
14/10/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-B,BELSIZE LANE NW3,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Lines & Signs Issue,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:35 AM,68657
21/05/2014,No,O/S TMA,On Street Contravention,21R,R,Parked wholly or partly in a suspended bay or space - residents` bay,No,CA-B,GLENMORE ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:46 AM,146255
08/02/2015,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-R,COMPAYNE GARDENS NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:56 AM,178342
16/11/2014,No,CCTV TMA,CCTV Parking Contravention,99J,J,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags - camera enforcement,Yes,CA-E,TORRINGTON PLACE WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,529724,182109,-0.131537,51.523008,"(51.523008, -0.131537)",Fixed CCTV Camera,31/12/2017 01:50:02 AM,221918
16/08/2014,No,O/S TMA,On Street Contravention,27,,"Parked in a special enforcement area adjacent to a footway, cycle track or verge lowered to meet the level of the carriageway",No,CA-C,BEDFORD SQUARE WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:33 AM,154493
03/10/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-Q,PALMERSTON ROAD NW6,N/A,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:36 AM,68960
28/04/2014,No,O/S TMA,On Street Contravention,24,,Not parked correctly within the markings of the bay or space,No,CA-H,WEDDERBURN ROAD NW3,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:08 AM,149674
16/06/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-F,FERDINAND STREET NW1,Small Van,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:53 AM,57615
28/06/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-Q,KILBURN HIGH ROAD,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,525008,184149,-0.198753,51.542404,"(51.542404, -0.198753)",Fixed CCTV Camera,31/12/2017 02:05:49 AM,435207
16/02/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-D,ELM STREET WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530996,182152,-0.113191,51.523097,"(51.523097, -0.113191)",Civil Enforcement Officer GPS Location,31/12/2017 03:04:17 AM,1053407
26/05/2014,No,CCTV TMA,CCTV Parking Contravention,47J,J,Stopped on a restricted bus stop/stand - camera enforcement,Yes,CA-B,CONSTANTINE ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,527313,185511,-0.16504,51.554129,"(51.554129, -0.16504)",Fixed CCTV Camera,31/12/2017 01:59:28 AM,359777
14/10/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-B,FITZJOHNS AVENUE (CA-B) NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000133,Frognal and Fitzjohns,526583,184939,-0.175761,51.549147,"(51.549147, -0.175761)",Civil Enforcement Officer GPS Location,31/12/2017 02:27:30 AM,641690
15/01/2015,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-G,ROBERT STREET NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,Yes,Yes,E05000142,Regent's Park,529155,182565,-0.139558,51.527237,"(51.527237, -0.139558)",Civil Enforcement Officer GPS Location,31/12/2017 03:38:53 AM,1424083
26/01/2015,No,CCTV TMA,CCTV Parking Contravention,25J,J,Parked in a loading place or bay during restricted hours without loading camera enforcement,Yes,CA-E,CHARLOTTE STREET W1,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:29 AM,153757
30/10/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,BLOOMSBURY STREET WC1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,530003,181532,-0.12773,51.517758,"(51.517758, -0.12773)",Fixed CCTV Camera,31/12/2017 02:08:04 AM,460701
07/03/2015,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-F,OVAL ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:34:36 AM,40989
15/05/2014,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-E,MALET STREET WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000129,Bloomsbury,529724,182109,-0.131537,51.523008,"(51.523008, -0.131537)",Fixed CCTV Camera,31/12/2017 01:58:10 AM,322483
30/04/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-F,PARKWAY NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:24 AM,64834
05/10/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-F,HAWLEY CRESCENT NW1,(Private) Car,No,Outstanding,Band A (Lower),No,No,No,,Yes,France,No,No,,,,,,,,Unknown,31/12/2017 01:34:52 AM,44408
07/10/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,CASTLE ROAD NW1,(Private) Car,No,Cancelled,Band A (Higher),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:30:56 AM,3132
27/01/2015,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-F,HAWLEY CRESCENT NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:41 AM,41962
13/05/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-F,MORNINGTON CRESCENT NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:36:05 AM,60557
23/08/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-D,BIDBOROUGH STREET WC1,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000141,King's Cross,530185,182782,-0.124645,51.528949,"(51.528949, -0.124645)",Civil Enforcement Officer GPS Location,31/12/2017 02:27:59 AM,648242
12/11/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-G,OSNABURGH STREET NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:09 AM,138208
09/12/2014,No,O/S TMA,On Street Contravention,16Q,Q,Parked in a permit space or zone without clearly displaying a valid permit - market traders` bay,No,CA-D,ST. CROSS STREET EC1,Motorcycle,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:41:52 AM,121986
07/07/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-R,GOLDHURST TERRACE NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:02 AM,4193
24/10/2014,No,O/S TMA,On Street Contravention,62,,Parked with one or more wheels on or over a footpath or any part of a road other than a carriageway,No,CA-E,KIRKMAN PLACE W1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:49:13 AM,210991
22/06/2014,No,MTC,Moving Traffic Contravention,50L,L,Performing a prohibited turn (no left turn),Yes,CA-D,PHOENIX PLACE WC1,Other,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:38 AM,174605
28/07/2014,No,MTC,Moving Traffic Contravention,50R,R,Performing a prohibited turn (no right turn),Yes,CA-R,COMPAYNE GARDENS NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:47:59 AM,180613
01/04/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:49 AM,205609
02/12/2014,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-E,HUNTLEY STREET WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:22 AM,51180
17/04/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,BLOOMSBURY STREET WC1,Motorcycle,No,WrittenOff,Band A (Higher),No,No,Yes,Write Off,No,United Kingdom,No,No,E05000129,Bloomsbury,530003,181532,-0.12773,51.517758,"(51.517758, -0.12773)",Fixed CCTV Camera,31/12/2017 02:08:11 AM,462021
01/05/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-L,WEEDINGTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:32 AM,144216
12/06/2014,No,O/S TMA,On Street Contravention,05S,S,Parked after the expiry of paid for time - Shared use bay,No,CA-C,SERLE STREET WC2,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,530946,181274,-0.114235,51.515222,"(51.515222, -0.114235)",Civil Enforcement Officer GPS Location,31/12/2017 03:14:35 AM,1181750
28/09/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,PARKWAY NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528714,183669,-0.145518,51.537255,"(51.537255, -0.145518)",Civil Enforcement Officer GPS Location,31/12/2017 03:39:17 AM,1431380
30/01/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-E,WHITFIELD STREET W1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:37:07 AM,74940
03/12/2014,No,MTC,Moving Traffic Contravention,31J,J,Entering and stopping in a box junction when prohibited - camera enforcement,Yes,CA-B,FITZJOHN'S AVENUE (NETHERHALL GARDENS),(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:45:00 AM,157792
27/09/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-Q,KILBURN HIGH ROAD,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,525008,184149,-0.198753,51.542404,"(51.542404, -0.198753)",Fixed CCTV Camera,31/12/2017 02:05:48 AM,434965
03/12/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-F,PRINCE OF WALES ROAD (CA-F) NW5,Small Van,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:52 AM,44418
03/03/2015,No,CCTV TMA,CCTV Parking Contravention,02J,J,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force - camera enforcement,Yes,CA-M,KENTISH TOWN ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:33:35 AM,31005
27/01/2015,No,O/S TMA,On Street Contravention,16E,E,Parked in a permit space or zone without clearly displaying a valid permit - car club bay,No,CA-D,LAMBS CONDUIT STREET WC1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530661,181900,-0.118115,51.520914,"(51.520914, -0.118115)",Civil Enforcement Officer GPS Location,31/12/2017 02:37:08 AM,756592
01/11/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-D,SANDLAND STREET WC1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530790,181652,-0.11635,51.51865,"(51.51865, -0.11635)",Civil Enforcement Officer GPS Location,31/12/2017 03:15:29 AM,1199438
04/10/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-C,SOUTHAMPTON ROW (CA-C) WC1,Large Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530476,181683,-0.120861,51.519006,"(51.519006, -0.120861)",Fixed CCTV Camera,31/12/2017 02:11:39 AM,492267
24/04/2014,No,CCTV TMA,CCTV Parking Contravention,99J,J,Stopped on a pedestrian crossing and/or crossing area marked by zig-zags - camera enforcement,Yes,CA-H,SOUTH END ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:49:52 AM,220223
29/11/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-Q,KILBURN HIGH ROAD,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,525008,184149,-0.198753,51.542404,"(51.542404, -0.198753)",Fixed CCTV Camera,31/12/2017 02:05:47 AM,434740
03/06/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,Taxi,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:51 AM,206523
03/05/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-D,ENDSLEIGH GARDENS WC1,Small Van,No,Cancelled,Band A (Lower),No,Yes,No,Liability Waived,No,United Kingdom,No,No,E05000129,Bloomsbury,529746,182363,-0.131125,51.525279,"(51.525279, -0.131125)",Civil Enforcement Officer GPS Location,31/12/2017 03:08:07 AM,1120420
19/05/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,KINGS TERRACE NW1,Small Van,No,Cancelled,Band A (Higher),No,Yes,No,Liability Waived,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:27 AM,11287
27/06/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:51 AM,206881
11/05/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,HARMOOD STREET NW1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:32:03 AM,19468
08/07/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-M,FORTESS ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:41 AM,55445
09/01/2015,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-G,DRUMMOND STREET NW1,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,Yes,,,,,,,,Unknown,31/12/2017 01:35:55 AM,58108
06/02/2015,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-U,GROVE TERRACE NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:53 AM,208323
13/11/2014,No,O/S TMA,On Street Contravention,24,,Not parked correctly within the markings of the bay or space,No,CA-K,PRIORY ROAD NW6,(Private) Car,No,Cancelled,Band A (Lower),No,Yes,No,Discretion / Mitigation,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:02 AM,148348
02/05/2014,No,MTC,Moving Traffic Contravention,52M,M,Failing to comply with a prohibition on certain types of vehicle (no motor vehicles),Yes,CA-L,GRAFTON ROAD NW5,Other,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:48:49 AM,206141
25/09/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-D,FREDERICK STREET WC1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000141,King's Cross,530785,182728,-0.116025,51.528324,"(51.528324, -0.116025)",Civil Enforcement Officer GPS Location,31/12/2017 03:38:59 AM,1425687
23/12/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-H,HAMPSTEAD HIGH STREET NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:40 AM,54816
30/07/2014,No,O/S TMA,On Street Contravention,05S,S,Parked after the expiry of paid for time - Shared use bay,No,CA-J,ELSWORTHY RISE NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:01 AM,47182
17/11/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-H,HAMPSTEAD HIGH STREET NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:37 AM,54353
27/03/2015,No,O/S TMA,On Street Contravention,11,,Parked without payment of the parking charge,No,CA-M,FRIDESWIDE PLACE NW5,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000139,Kentish Town,529053,185075,-0.140115,51.549817,"(51.549817, -0.140115)",Civil Enforcement Officer GPS Location,31/12/2017 03:04:41 AM,1059379
06/08/2014,No,MTC,Moving Traffic Contravention,33G,G,Using a route restricted to certain vehicles (local buses only),Yes,CA-C,VERNON PLACE WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:45:34 AM,166130
22/12/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-H,FITZJOHNS AVENUE (CA-H) NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:34:28 AM,39251
12/10/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,HAWLEY CRESCENT NW1,Small Van,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000130,Camden Town with Primrose Hill,528898,184099,-0.142713,51.541077,"(51.541077, -0.142713)",Civil Enforcement Officer GPS Location,31/12/2017 03:37:28 AM,1398649
14/10/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-F,CROGSLAND ROAD NW1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:31:12 AM,7032
30/04/2014,No,O/S TMA,On Street Contravention,01,,Parked in a restricted street during prescribed hours,No,CA-K,MUTRIX ROAD NW6,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000140,Kilburn,525456,183822,-0.192415,51.53936,"(51.53936, -0.192415)",Civil Enforcement Officer GPS Location,31/12/2017 03:39:27 AM,1433553
09/12/2014,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-B,BELSIZE PARK GARDENS NW3,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:14 AM,139323
17/02/2015,No,O/S TMA,On Street Contravention,05U,U,Parked after the expiry of paid for time mobile phone parking,No,CA-L,GRAFTON ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:35:30 AM,52900
30/09/2014,No,BUS,Bus Lane Contravention,34J,J,Being in a bus lane - camera enforcement,Yes,CA-D,THEOBALDS ROAD WC1,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,E05000138,Holborn and Covent Garden,530578,181804,-0.119347,51.52007,"(51.52007, -0.119347)",Fixed CCTV Camera,31/12/2017 02:06:14 AM,442275
14/08/2014,No,O/S TMA,On Street Contravention,30P,P,Parked for longer than permitted - pay & display,No,CA-M,HIGHGATE ROAD NW5,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:44:40 AM,155494
08/01/2015,No,O/S TMA,On Street Contravention,21,,Parked wholly or partly in a suspended bay or space,No,CA-L,QUEENS CRESCENT NW5,(Private) Car,No,Paid/Closed,Band A (Higher),No,No,No,,No,United Kingdom,No,No,,,,,,,,Unknown,31/12/2017 01:43:31 AM,144029
09/04/2014,No,O/S TMA,On Street Contravention,05P,P,Parked after the expiry of paid for time - Pay & display,No,CA-H,UPPER TERRACE NW3,(Private) Car,No,Outstanding,Band A (Lower),No,No,No,,Yes,Germany,No,No,E05000135,Hampstead Town,526311,186170,-0.179245,51.560277,"(51.560277, -0.179245)",Civil Enforcement Officer GPS Location,31/12/2017 03:15:09 AM,1192820
07/10/2014,No,O/S TMA,On Street Contravention,06,,Parked without clearly displaying a valid pay & display ticket or voucher,No,CA-H,THURLOW ROAD NW3,(Private) Car,No,Paid/Closed,Band A (Lower),No,No,No,,No,United Kingdom,No,No,E05000135,Hampstead Town,526825,185524,-0.172073,51.554355,"(51.554355, -0.172073)",Civil Enforcement Officer GPS Location,31/12/2017 03:06:45 AM,1096871
