index,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,cast,director
2718,12000000,Comedy Drama Romance,,9603,puberty high school make a match spoiled child gay interest,en,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",16.051328,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1995-07-19,0,97.0,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Sex. Clothes. Popularity. Is there a problem here?,Clueless,6.9,803,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison,Amy Heckerling
611,68000000,Thriller Action Drama,http://www.paramount.com/movies/sum-all-fears,4614,cia terrorist atomic bomb cold war nuclear explosion,en,The Sum of All Fears,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.",22.392544,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}, {""name"": ""MFP Munich Film Partners GmbH & Company I. Produktions KG"", ""id"": 21409}, {""name"": ""S.O.A.F. Productions"", ""id"": 21410}, {""name"": ""Mel's Cite du Cinema"", ""id"": 54502}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-05-31,193000000,124.0,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""uk"", ""name"": ""\u0423\u043a\u0440\u0430\u0457\u043d\u0441\u044c\u043a\u0438\u0439""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"27,000 nuclear weapons. One is missing.",The Sum of All Fears,5.9,437,Ben Affleck Morgan Freeman James Cromwell Ken Jenkins Liev Schreiber,Phil Alden Robinson
2042,22000000,Comedy Music,,19366,manager pop secret small town garage,en,Josie and the Pussycats,"Josie, Melody and Val are three small-town girl musicians determined to take their rock band out of their garage and straight to the top, while remaining true to their look, style and sound. They get a record deal which brings fame and fortune but soon realize they are pawns of two people who want to control the youth of America. They must clear their names, even if it means losing fame and fortune.",6.404571,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Riverdale Productions"", ""id"": 24851}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-04-06,0,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"They were three small time girls, with big time dreams. Now, fate is giving the Pussycats, the chance of a lifetime.",Josie and the Pussycats,5.3,72,Rachael Leigh Cook Rosario Dawson Tara Reid Gabriel Mann Alan Cumming,Deborah Kaplan
4077,2000000,Adventure Action Thriller Science Fiction,,8810,explosive boomerang pilot chase post-apocalyptic,en,Mad Max 2,"Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.",37.117362,"[{""name"": ""Kennedy Miller Productions"", ""id"": 2537}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",1981-12-24,24600832,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"When all that's left is one last chance, pray that he's still out there ... somewhere!",Mad Max 2: The Road Warrior,7.3,957,Mel Gibson Bruce Spence Michael Preston Max Phipps Vernon Wells,George Miller
3879,0,Drama Romance,http://www.foxsearchlight.com/adam/,22051,children's book asperger's syndrome electrical engineer asperger's,en,Adam,"Adam, a lonely man with Asperger's Syndrome, develops a relationship with his upstairs neighbor, Beth.",8.308442,"[{""name"": ""Vox3 Films"", ""id"": 3279}, {""name"": ""Serenade Films"", ""id"": 3459}, {""name"": ""Olympus Pictures"", ""id"": 7400}, {""name"": ""Deer Path Productions"", ""id"": 9352}, {""name"": ""Northwood Productions"", ""id"": 9353}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-07-29,2277396,99.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A story about two strangers. One a little stranger than the other...,Adam,6.9,150,Hugh Dancy Rose Byrne Peter Gallagher Amy Irving Frankie Faison,Max Mayer
4622,0,,http://www.lookingglassfilm.com/,365052,,en,The Looking Glass,"Troubled 13-year-old Julie loses her mother and must go to Indiana to live with her grandmother Karen. A former star of stage and screen, Karen has the early stages of Alzheimer's and wants to pass on all she knows to her granddaughter before it's too late. Will their troubled relationship allow this to happen?",0.062979,"[{""name"": ""Filmacres"", ""id"": 66152}]",[],2015-10-23,0,110.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Looking Glass,7.0,1,Dorothy Tristan Jace Casey Jace Casey Harry Musselwhite Elizabeth Stenholt,John D. Hancock
2857,0,Drama,,14976,sister independent film maid of honor,en,Rachel Getting Married,A young woman who has been in and out from rehab for the past 10 years returns home for the weekend for her sister's wedding.,14.345428,"[{""name"": ""Clinica Estetico"", ""id"": 1274}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-10-03,0,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Rachel Getting Married,6.1,163,Anne Hathaway Rosemarie DeWitt Sebastian Stan Roslyn Ruff Bill Irwin,Jonathan Demme
774,72000000,Action Drama Thriller,,2100,prison general,en,The Last Castle,A Court Martialed general rallies together 1200 inmates to rise against the system that put him away.,15.433244,"[{""name"": ""DreamWorks SKG"", ""id"": 27}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-10-19,27642707,131.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A Castle Can Only Have One King,The Last Castle,7.0,285,Robert Redford James Gandolfini Mark Ruffalo Steve Burton Delroy Lindo,Rod Lurie
4578,0,Documentary,http://www.sonypictures.com/classics/dogtown/,1282,skateboarding independent film,en,Dogtown and Z-Boys,Dogtown and Z-Boys follows the evolution of skateboarding from the 60's and into the late 70's as skateboarding's california beach boy image is transformed into a low-riding surf oriented style.,3.291609,"[{""name"": ""Agi Orsi Productions"", ""id"": 794}, {""name"": ""Vans Off the Wall"", ""id"": 795}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-01-18,0,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Dogtown and Z-Boys,7.2,52,Sean Penn Jay Adams Henry Rollins Steve Caballero Tony Hawk,Stacy Peralta
1896,25000000,Comedy,,9352,paris berlin alcohol sex nudity,en,EuroTrip,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",25.848003,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""The Montecito Picture Company"", ""id"": 2364}, {""name"": ""Blue Sea Productions"", ""id"": 53012}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-02-20,20796847,93.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,No actual Europeans were harmed in the making of this film.,EuroTrip,6.5,656,Scott Mechlowicz Jacob Pitts Michelle Trachtenberg Travis Wester Vinnie Jones,Jeff Schaffer
4158,2000000,Thriller,http://www.screenmedia.net/project/shark-lake/,299553,lake shark attack,en,Shark Lake,"Meredith Hendricks happens to be the best cop in her quiet town on Lake Tahoe. When a black-market exotic species dealer named Clint is paroled from prison, something he let loose begins to make its presence known. Swimmers and land-lovers alike begin to become part of the food chain at an unbelievable rate. Meredith and her team discover that they're not just hunting one eating machine, but a whole family of them. Not everyone will make it out alive, but those who do will never forget this summer at Shark Lake.",1.187764,"[{""name"": ""FLF Films"", ""id"": 36684}, {""name"": ""Bottom Line Entertainment"", ""id"": 36685}, {""name"": ""Parkside Pictures"", ""id"": 56696}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-10-02,0,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,In this lake you have to fight to survive,Shark Lake,4.4,19,Dolph Lundgren James Chalke Sara Malakul Lane Michael Aaron Milligan Ibrahim Renno Jr.,Jerry Dugan
2839,12000000,Drama Crime,,10220,gambling law compulsive gambling roulette gain,en,Rounders,A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.,18.422007999999998,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Spanky Pictures"", ""id"": 1566}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-09-11,22921898,121.0,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",Released,Trust everyone... But always cut the cards.,Rounders,6.9,439,Matt Damon John Turturro Gretchen Mol Goran Visnjic Edward Norton,John Dahl
1593,30000000,Comedy,http://www.threestooges.com/movie/index.htm,76489,duringcreditsstinger,en,The Three Stooges,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality TV show.",14.585968,"[{""name"": ""Wessler Entertainment"", ""id"": 8890}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-04-13,54819301,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Just Say Moe.,The Three Stooges,4.9,140,Sean Hayes Will Sasso Chris Diamantopoulos Jane Lynch Sof\u00eda Vergara,Bobby Farrelly
3250,8000000,Drama Comedy Romance,,11971,shakespeare bachelor new love rage and hate lover,en,Much Ado About Nothing,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding.",10.193769999999999,"[{""name"": ""Renaissance Films"", ""id"": 3102}, {""name"": ""American Playhouse Theatrical Films"", ""id"": 8827}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1993-05-07,0,111.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Romance. Mischief. Seduction. Revenge. Remarkable.,Much Ado About Nothing,7.2,189,Kenneth Branagh Richard Briers Michael Keaton Robert Sean Leonard Keanu Reeves,Kenneth Branagh
2961,0,Crime Drama Mystery Thriller,http://www.sonyclassics.com/jindabyne/,4657,small town fishing male friendship australia marriage crisis,en,Jindabyne,"Stewart Kane, an Irishman living in the Australian town of Jindabyne, is on a fishing trip in isolated hill country with three other men when they discover the body of a murdered girl in the river. Rather than return to the town immediately, they continue fishing and report their gruesome find days later. The story of a murder and a marriage - a film about the things that haunt us.",8.950864,"[{""name"": ""Australian Film Finance Corporation (AFFC)"", ""id"": 8724}, {""name"": ""The New South Wales Film and Television Office"", ""id"": 29052}, {""name"": ""RGM Films"", ""id"": 57625}, {""name"": ""April Films"", ""id"": 57626}, {""name"": ""Red Chair Films"", ""id"": 57627}, {""name"": ""Babcock & Brown"", ""id"": 57628}, {""name"": ""The Australian Film Finance Corporation"", ""id"": 57629}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",2006-07-20,0,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Under the surface of every life lies a mystery,Jindabyne,5.7,25,Laura Linney Gabriel Byrne Deborra-Lee Furness John Howard Leah Purcell,Ray Lawrence
4515,0,Comedy,http://highroadmovie.com/,89857,,en,High Road,"Directed by Matt Walsh, a co-founding member of world-renowned comedy troupe Upright Citizens Brigade, High Road showcases a totally improvised script about Glenn “Fitz” Fitzgerald (James Pumphrey), a young man whose loyalties are split among his band, his girlfriend Monica(Abby Elliottt) and selling drugs. After his band breaks up, Fitz finds himself dealing drugs out of his garage and bonding with 16-year-old neighborhood kid Jimmy (Dylan O’Brien). As his former band mates (Zach Woods, Matt L. Jones, Lizzy Caplan) begin finding success and one of his drug deals goes awry, Fitz hits the road with Jimmy. Amid car chases, guns, broken bones, sassy cabbies and a suspicious doctor (Horatio Sanz), Fitz has to navigate their way to safe harbor--and he doesn’t even know about the surprise Monica has in store for him back home!",1.292948,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-03-06,0,87.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The road less traveled is filled with pot holes.,High Road,5.8,22,Kathryn Burns Lizzy Caplan Michael Coleman Andrew Daly Rich Fulcher,Matt Walsh
2847,12000000,Drama Mystery Romance,,286565,friendship high school teenager classmate based on young adult novel,en,Paper Towns,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life-dressed like a ninja and summoning him for an ingenious campaign of revenge-he follows. After their all-nighter ends and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues-and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees of the girl he thought he knew.",64.610671,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-18,85512300,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Get Lost. Get Found.,Paper Towns,6.1,1937,Nat Wolff Cara Delevingne Justice Smith Austin Abrams Halston Sage,Jake Schreier
3940,3000000,Drama Thriller Mystery Action,,670,sushi restaurant rage and hate notebook daughter hostility,ko,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",56.763490000000004,"[{""name"": ""Egg Films"", ""id"": 398}, {""name"": ""Show East"", ""id"": 399}]","[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}]",2003-01-01,14980005,120.0,"[{""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Released,"15 years of imprisonment, five days of vengeance",Oldboy,8.0,1945,Choi Min-sik Yoo Ji-tae Kang Hye-jung Kim Byeong-ok Oh Dal-su,Park Chan-wook
2131,20000000,Drama,,16052,musical tejano elopement bustier fan club,en,Selena,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an English-language album which, tragically, she would never complete.",6.92592,"[{""name"": ""Q Productions"", ""id"": 4729}, {""name"": ""Esparza / Katz Productions"", ""id"": 9313}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-03-21,60000000,127.0,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Discover the true story of one of America's brightest stars... that faded too soon.,Selena,7.0,114,Jennifer Lopez Edward James Olmos Constance Marie Jon Seda Lupe Ontiveros,Gregory Nava
3339,7500000,Comedy Drama Romance,http://500days.com,19913,date sex jealousy fight architect,en,(500) Days of Summer,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",45.610993,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Watermark"", ""id"": 4364}, {""name"": ""Dune Entertainment III"", ""id"": 6332}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-07-17,60722734,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}]",Released,It was almost like falling in love.,(500) Days of Summer,7.2,2904,Joseph Gordon-Levitt Zooey Deschanel Chlo\u00eb Grace Moretz Geoffrey Arend Matthew Gray Gubler,Marc Webb
1774,25000000,Comedy Drama,http://whatjusthappenedfilm.com/,8944,film producer midlife crisis independent film divorce,en,What Just Happened,"During the course of an ordinary week in Hollywood, movie producer Ben (Robert De Niro) must navigate his way through shark-infested waters as he struggles to complete his latest projects. A demanding studio boss (Catherine Keener) demands extensive changes to a movie starring Sean Penn, while another chief won't greenlight a project unless star Bruce Willis shaves his beard. Meanwhile, Ben tries to reconcile with his wife and maintain a relationship with his young daughter.",8.31653,"[{""name"": ""2929 Productions"", ""id"": 846}, {""name"": ""Linson Entertainment"", ""id"": 4700}, {""name"": ""Art Linson Productions"", ""id"": 8769}, {""name"": ""Tribeca Productions"", ""id"": 11391}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-10-17,6673422,104.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",Released,Admit nothing.,What Just Happened,5.2,127,Bruce Willis Robert De Niro Sean Penn Robin Wright Stanley Tucci,Barry Levinson
3038,0,Animation Family,,17710,,en,Hey Arnold! The Movie,"When a powerful developer named Mr. Scheck wants to knock down all the stores and houses in Arnold's neighborhood to build a huge ""mall-plex"", it looks likes the neighborhood is doomed to disappear. But with the help of a superhero and a mysterious deep-voiced stranger, Arnold and Gerald will need to recover a crucial document in order to save their beloved neighborhood.",5.856363,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Nickelodeon Animation Studios"", ""id"": 4859}, {""name"": ""Paramount Animation"", ""id"": 24955}, {""name"": ""Snee-Oosh Productions"", ""id"": 67244}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-06-28,0,76.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A Big Problem Calls For a Big Head,Hey Arnold! The Movie,5.6,62,Spencer Klein Francesca Smith Jamil Walker Smith Dan Castellaneta Tress MacNeille,Tuck Tucker
3337,6000000,Drama Crime,http://www.thegodfather.com/,238,italy love at first sight loss of father patriarch organized crime,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",143.659698,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Alfran Productions"", ""id"": 10211}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1972-03-14,245066411,175.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,An offer you can't refuse.,The Godfather,8.4,5893,Marlon Brando Al Pacino James Caan Richard S. Castellano Robert Duvall,Francis Ford Coppola
2927,10500000,Drama Romance Thriller,,796,upper class sexual obsession sex bet sadistic,en,Cruel Intentions,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession.",23.449703,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Cruel Productions"", ""id"": 505}, {""name"": ""Newmarket Capital Group"", ""id"": 506}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-03-05,75902208,97.0,"[{""iso_639_1"": ""vi"", ""name"": ""Ti\u1ebfng Vi\u1ec7t""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,"In the game of seduction, There is only one rule: Never fall in love.",Cruel Intentions,6.6,827,Sarah Michelle Gellar Ryan Phillippe Reese Witherspoon Selma Blair Louise Fletcher,Roger Kumble
4751,0,Drama Romance,,42109,,pt,"Gabriela, Cravo e Canela","In 1925, Gabriela becomes cook, mistress, and then wife of Nacib, a bar owner in a small Brazilian coastal town runs by the local colonels. Nacib becomes tired of Gabriela's uneducated ways, and annuls the marriage when he finds her in bed with his friend Tonico. The political ways of the town modernize slightly and Gabriela returns as Nacib's mistress.",0.557602,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Sultana"", ""id"": 8517}]","[{""iso_3166_1"": ""BR"", ""name"": ""Brazil""}]",1983-03-24,0,99.0,"[{""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,,Gabriela,6.0,2,S\u00f4nia Braga Marcello Mastroianni Antonio Cantafora Paulo Goulart Tania Boscoli,Bruno Barreto
4357,0,Drama,http://www.octoberbabymovie.net/,83860,adoption college,en,October Baby,OCTOBER BABY is the coming of age story of a beautiful and naive college freshman who discovers that her entire life is a lie and sets out on a road trip with a host of misfits to discover herself and the answers she craves.,1.86221,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-10-30,5355847,107.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every Life Is Beautiful,October Baby,6.8,35,Rachel Hendrix  Jason Burkey Robert Amaya  John Schneider,Andrew Erwin
2964,0,Science Fiction Thriller Horror,,190847,mars science fiction zombie,en,The Last Days on Mars,"On the last day of the first manned mission to Mars, a crew member of Tantalus Base believes he has made an astounding discovery – fossilized evidence of bacterial life. Unwilling to let the relief crew claims all the glory, he disobeys orders to pack up and goes out on an unauthorized expedition to collect further samples. But a routine excavation turns to disaster when the porous ground collapses and he falls into a deep crevice and near certain death. His devastated colleagues attempt to recover his body. However, when another vanishes, they start to suspect that the life-form they have discovered is not without danger.",18.764453,"[{""name"": ""Qwerty Films"", ""id"": 892}, {""name"": ""Irish Film Board"", ""id"": 5267}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""British Film Institute (BFI)"", ""id"": 7281}, {""name"": ""Fantastic Films"", ""id"": 18078}]","[{""iso_3166_1"": ""IE"", ""name"": ""Ireland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2013-08-11,0,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The search for life is about to end.,The Last Days on Mars,5.2,302,Liev Schreiber Romola Garai Elias Koteas Olivia Williams Johnny Harris,Ruairi Robinson
213,125000000,Adventure Action Thriller,http://www.missionimpossible.com/,955,terror spain cia helicopter secret identity,en,Mission: Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",54.931334,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Munich Film Partners & Company (MFP) MI2 Productions"", ""id"": 51199}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-05-24,546388105,123.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Expect the impossible again.,Mission: Impossible II,5.9,1928,Tom Cruise Dougray Scott Thandie Newton Ving Rhames Richard Roxburgh,John Woo
696,60000000,Crime Drama Mystery Thriller,,2275,suicide detective based on novel bondage general,en,The General's Daughter,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",18.345613,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MFP Munich Film Partners GmbH & Company I. Produktions KG"", ""id"": 21409}, {""name"": ""Krane Entertainment"", ""id"": 25358}, {""name"": ""Neufeld Rehme Productions"", ""id"": 38005}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-06-18,149705852,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Go behind the lies.,The General's Daughter,6.1,205,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
257,110000000,Action Science Fiction Drama,http://www.steelgetsreal.com/,39254,father son relationship fight sport robot prizefighting,en,Real Steel,"In the near-future, Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After Charlie's robot is trashed, he reluctantly teams up with his estranged son Max to rebuild and train an unlikely contender.",37.19504600000001,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""21 Laps Entertainment"", ""id"": 2575}, {""name"": ""Reliance Entertainment"", ""id"": 7294}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""ImageMovers"", ""id"": 11395}, {""name"": ""Angry Films"", ""id"": 12087}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}, {""name"": ""Wardour Street Pictures"", ""id"": 76069}]","[{""iso_3166_1"": ""IN"", ""name"": ""India""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-09-28,299268508,127.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"If you get one shot, make it real.",Real Steel,6.6,2692,Hugh Jackman Dakota Goyo Evangeline Lilly Anthony Mackie Kevin Durand,Shawn Levy
181,130000000,Adventure Animation Family Comedy,http://www.kungfupanda.com/,9502,china martial arts kung fu mentor snake,en,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",84.68964799999998,"[{""name"": ""DreamWorks Animation"", ""id"": 521}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-06-04,631744560,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prepare for awesomeness.,Kung Fu Panda,6.9,3145,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,Mark Osborne
